farm_id,year,n_turb,layout_type,wake_model,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s,layout_group,theta_opt,s1_expected_AEP,s1_expected_WakeLoss,farm_id_int,axis_deg,paradigm,n_turbines,depth_m,region,axis_deviation,AEP_GWh
1,2016,2,real,gauss,China,68427220.04085764,68952759.02146289,0.4279375862467645,0.0076217251936454,0.9173166000000492,real,0,17865812535.860077,0.1352016181440522,,,,,,,,0.06842722004085765
3,2019,2,real,gauss,China,60978212.20302364,61532791.95264448,0.3787466596461096,0.0090127512830497,0.8824396000018169,real,10,13540802940.263298,0.1571064159828343,3.0,55.9,B,3.0,98.0,Europe,-45.9,0.06097821220302364
10,2014,2,real,gauss,United Kingdom,97669694.63700037,100843495.38343312,0.5887263088426784,0.0314725380587528,0.9418800999992528,real,160,11032177717.026846,0.0821222191234648,10.0,83.5,A,60.0,16.0,East_Asia,76.5,0.09766969463700037
10,2015,2,real,gauss,United Kingdom,102765727.07138306,104949101.29764906,0.6246397220482802,0.0208041250403247,1.1533578999988094,real,160,11032177717.026846,0.0821222191234648,10.0,83.5,A,60.0,16.0,East_Asia,76.5,0.10276572707138305
10,2016,2,real,gauss,United Kingdom,92525582.12875757,95009405.36942276,0.5606251946725495,0.0261429195457797,1.5390738999994935,real,160,11032177717.026846,0.0821222191234648,10.0,83.5,A,60.0,16.0,East_Asia,76.5,0.09252558212875757
10,2017,2,real,gauss,United Kingdom,101323662.91135149,103585032.54650916,0.6127459053661798,0.0218310462386767,1.213211099999171,real,160,11032177717.026846,0.0821222191234648,10.0,83.5,A,60.0,16.0,East_Asia,76.5,0.10132366291135149
46,2014,2,real,gauss,China,105637007.71295504,106172282.28232288,0.6449145770021675,0.0050415660082025,1.130494600001839,real,100,5780082844.182592,0.0432094533642231,46.0,98.1,A,38.0,9.0,East_Asia,1.9000000000000057,0.10563700771295505
46,2015,2,real,gauss,China,114887646.19477148,115308207.65191372,0.6941012940718432,0.0036472811927821,0.9945702999975764,real,100,5780082844.182592,0.0432094533642231,46.0,98.1,A,38.0,9.0,East_Asia,1.9000000000000057,0.11488764619477149
46,2016,2,real,gauss,China,105376201.46295092,105909294.4022262,0.6491080538558021,0.005033485892661,1.0980730000010226,real,100,5780082844.182592,0.0432094533642231,46.0,98.1,A,38.0,9.0,East_Asia,1.9000000000000057,0.10537620146295092
46,2017,2,real,gauss,China,113824585.4033282,114315375.14810592,0.6875956590753183,0.0042932960167595,1.129537299999356,real,100,5780082844.182592,0.0432094533642231,46.0,98.1,A,38.0,9.0,East_Asia,1.9000000000000057,0.1138245854033282
46,2018,2,real,gauss,China,108349528.09786378,108886454.58280323,0.6630126551087001,0.0049310677530708,1.1193091999994067,real,100,5780082844.182592,0.0432094533642231,46.0,98.1,A,38.0,9.0,East_Asia,1.9000000000000057,0.10834952809786377
46,2019,2,real,gauss,China,114209604.73143584,114716121.430103,0.6882584351659385,0.0044153924692769,1.095138799999404,real,100,5780082844.182592,0.0432094533642231,46.0,98.1,A,38.0,9.0,East_Asia,1.9000000000000057,0.11420960473143583
46,2020,2,real,gauss,China,119874506.55388656,120342358.5095158,0.710830802620295,0.0038876748089681,1.316629599998123,real,100,5780082844.182592,0.0432094533642231,46.0,98.1,A,38.0,9.0,East_Asia,1.9000000000000057,0.11987450655388657
58,2018,2,real,gauss,France,66235665.8023276,66731139.7442524,0.4159486674348631,0.0074249285089944,1.2896055999990494,real,140,2355796116.254008,0.1268818594390415,58.0,140.0,A,29.0,11.0,East_Asia,0.0,0.0662356658023276
58,2019,2,real,gauss,France,69530940.84362122,70008249.81856717,0.4343512046702975,0.006817896121999,1.1291295000009995,real,140,2355796116.254008,0.1268818594390415,58.0,140.0,A,29.0,11.0,East_Asia,0.0,0.06953094084362123
58,2020,2,real,gauss,France,77204455.23642796,77709389.1010358,0.4798884587047984,0.0064977201654659,1.117821299998468,real,140,2355796116.254008,0.1268818594390415,58.0,140.0,A,29.0,11.0,East_Asia,0.0,0.07720445523642797
58,2021,2,real,gauss,France,69377748.65210518,69887700.02603029,0.4296367887794475,0.0072967256575215,1.099947600003361,real,140,2355796116.254008,0.1268818594390415,58.0,140.0,A,29.0,11.0,East_Asia,0.0,0.06937774865210518
63,2016,2,real,gauss,China,59582547.7898788,60364173.50613784,0.3800876996037178,0.0129485035719003,1.1089414000016404,real,30,1976731925.648138,0.1719992622799727,63.0,27.7,A,28.0,29.0,East_Asia,2.299999999999997,0.0595825477898788
89,2014,2,real,gauss,China,70471331.36187705,71085063.97175449,0.4314395210106346,0.0086337772745242,1.0801883000021917,real,130,1776627349.0934415,0.1340003055185573,89.0,67.0,C,56.0,1.0,East_Asia,63.0,0.07047133136187705
89,2015,2,real,gauss,China,62721237.52550327,63324157.23244819,0.3925474873294735,0.0095211643280421,1.1054446999987704,real,130,1776627349.0934415,0.1340003055185573,89.0,67.0,C,56.0,1.0,East_Asia,63.0,0.06272123752550327
93,2021,2,real,gauss,United Kingdom,82602316.83826888,83053889.24099052,0.5261294066131775,0.0054371012224527,1.0991226999976789,real,40,1652413140.7673235,0.0558185476746598,,,,,,,,0.08260231683826888
93,2022,2,real,gauss,United Kingdom,98820425.74223804,99289901.84422232,0.601683059804177,0.0047283368526324,1.3752377000018896,real,40,1652413140.7673235,0.0558185476746598,,,,,,,,0.09882042574223804
98,2018,2,real,gauss,China,44535036.86929513,45015193.799226776,0.2933796895210482,0.0106665525438634,1.7780304999978398,real,0,1034698087.0005236,0.1448116039020899,98.0,44.8,A,10.0,2.0,Europe,-44.8,0.04453503686929513
101,2014,2,real,gauss,China,92766876.32924974,93233903.0548152,0.5803007402054907,0.0050091941907748,1.5863673999992898,real,10,2296623140.1402483,0.0551940574527258,101.0,100.5,A,10.0,3.0,Europe,89.5,0.09276687632924974
101,2015,2,real,gauss,China,102826039.7874254,103287662.00121117,0.6350422417701668,0.0044692870846504,1.646479900002305,real,10,2296623140.1402483,0.0551940574527258,101.0,100.5,A,10.0,3.0,Europe,89.5,0.1028260397874254
110,2022,2,real,gauss,China,62169613.1809665,62830313.37257052,0.3974530953904008,0.010515627825795,1.6134444999988773,real,50,1062887110.852681,0.0822316917862373,110.0,93.8,A,80.0,17.0,Europe,-43.8,0.0621696131809665
112,2020,2,real,gauss,Vietnam,40214541.41342624,40848205.67468024,0.2671352558351683,0.0155126584090517,1.34867579999991,real,10,701189813.3658266,0.0503226209553643,112.0,147.7,B,27.0,44.0,Europe,42.30000000000001,0.040214541413426244
124,2016,2,real,gauss,China,87478307.86006337,87941685.7738386,0.5586812355349557,0.0052691497746233,1.3627650999987964,real,40,1350747339.0183282,0.0786315813829859,124.0,102.9,A,284.0,27.0,Europe,-62.900000000000006,0.08747830786006337
124,2017,2,real,gauss,China,95645339.14801948,96117467.84950931,0.5961439737473166,0.0049119968727125,1.6726593999992474,real,40,1350747339.0183282,0.0786315813829859,124.0,102.9,A,284.0,27.0,Europe,-62.900000000000006,0.09564533914801948
124,2018,2,real,gauss,China,89388573.99580732,89880540.04395978,0.5684126541765695,0.0054735546527851,1.4618678000006184,real,40,1350747339.0183282,0.0786315813829859,124.0,102.9,A,284.0,27.0,Europe,-62.900000000000006,0.08938857399580732
124,2019,2,real,gauss,China,95452468.63408785,95983021.6704072,0.5911101599832043,0.0055275717213948,1.379576100000122,real,40,1350747339.0183282,0.0786315813829859,124.0,102.9,A,284.0,27.0,Europe,-62.900000000000006,0.09545246863408785
130,2020,2,real,gauss,Vietnam,34480668.867593706,35449288.491810136,0.2323808388434675,0.0273240921165515,1.5382464000031175,real,20,412304524.4017415,0.0969352790386742,130.0,64.7,A,73.0,14.0,Europe,-44.7,0.034480668867593704
148,2016,2,real,gauss,Finland,68985144.96838948,71438470.3134856,0.4307802233569969,0.0343417955945928,1.494538000002649,real,70,361018514.3887772,0.1226263445233468,148.0,37.5,E,140.0,28.0,Europe,32.5,0.06898514496838948
155,2021,2,real,gauss,Italy,34608777.010929346,35613595.62308484,0.2764279313971992,0.0282144668230063,1.1599099000013666,real,90,160050644.1335389,0.0942934739697509,155.0,63.5,E,71.0,29.0,Europe,26.5,0.03460877701092935
5,2018,3,real,gauss,United Kingdom,149805028.2035293,150574717.58497065,0.6034442223707122,0.0051116774036585,1.4371780000001309,real,150,15384855814.309584,0.0677956430677513,5.0,65.0,B,8.0,37.0,US_East,85.0,0.1498050282035293
14,2017,3,real,gauss,China,88759663.74850412,89870530.76721373,0.3930723340352691,0.0123607483924516,1.2495911000005435,real,150,5590333529.642476,0.123670672922411,14.0,170.9,A,24.0,11.0,East_Asia,-20.900000000000006,0.08875966374850412
21,2021,3,real,gauss,China,121095541.70455515,122705911.0074786,0.499445441328694,0.0131238119639184,1.3184318000021449,real,120,6650494511.094637,0.0661060132479147,21.0,118.3,A,50.0,7.0,East_Asia,1.7000000000000028,0.12109554170455515
39,2020,3,real,gauss,Taiwan,113442335.50147092,118065080.04165758,0.4978816567982046,0.0391542066337954,1.1218690999994578,real,130,4180714161.271755,0.0568190498095271,39.0,65.4,E,55.0,4.0,East_Asia,64.6,0.11344233550147093
66,2020,3,real,gauss,China,83013123.68736142,90757968.8420157,0.3482824572576523,0.0853351529730231,1.291785000001255,real,100,2287763608.657392,0.1362310526056515,66.0,14.8,C,36.0,27.0,East_Asia,85.19999999999999,0.08301312368736143
71,2016,3,real,gauss,Taiwan,105338584.97548054,109283446.865144,0.5117001116073085,0.0360975243993853,1.2389073999984248,real,60,2642345019.065771,0.0582728852308136,71.0,25.5,A,55.0,18.0,East_Asia,34.5,0.10533858497548054
71,2017,3,real,gauss,Taiwan,115664397.28869,119650905.39533325,0.5595761842703919,0.0333178265009495,1.2357455999990634,real,60,2642345019.065771,0.0582728852308136,71.0,25.5,A,55.0,18.0,East_Asia,34.5,0.11566439728869
71,2018,3,real,gauss,Taiwan,105878412.45182964,109733107.79538392,0.5170349274920872,0.0351279155488974,1.223390900002414,real,60,2642345019.065771,0.0582728852308136,71.0,25.5,A,55.0,18.0,East_Asia,34.5,0.10587841245182965
72,2018,3,real,gauss,China,95835810.6287062,98303949.77510148,0.3910548440392793,0.0251072225687968,1.2372876000008546,real,10,2150374395.284104,0.140400010399499,72.0,63.1,A,128.0,26.0,East_Asia,-53.1,0.0958358106287062
