farm_id,theta_opt,axis_deg,axis_deviation,paradigm
3,10,55.9,-45.9,B
10,160,83.5,76.5,A
46,100,98.1,1.9000000000000057,A
58,140,140.0,0.0,A
63,30,27.7,2.299999999999997,A
89,130,67.0,63.0,C
98,0,44.8,-44.8,A
101,10,100.5,89.5,A
110,50,93.8,-43.8,A
112,10,147.7,42.30000000000001,B
124,40,102.9,-62.900000000000006,A
130,20,64.7,-44.7,A
148,70,37.5,32.5,E
155,90,63.5,26.5,E
5,150,65.0,85.0,B
14,150,170.9,-20.900000000000006,A
21,120,118.3,1.7000000000000028,A
39,130,65.4,64.6,E
66,100,14.8,85.19999999999999,C
71,60,25.5,34.5,A
72,10,63.1,-53.1,A
95,150,65.4,84.6,B
111,150,165.7,-15.699999999999989,A
115,170,152.6,17.400000000000006,A
135,160,129.1,30.900000000000006,E
139,0,102.6,77.4,C
167,0,51.2,-51.2,C
168,10,138.0,52.0,A
169,100,171.3,-71.30000000000001,A
170,10,140.5,49.5,E
143,20,81.3,-61.3,A
147,30,81.5,-51.5,B
165,80,112.0,-32.0,B
166,90,90.1,-0.09999999999999432,A
34,140,21.9,-61.900000000000006,A
40,0,13.9,-13.900000000000006,C
97,30,90.4,-60.400000000000006,C
129,40,116.6,-76.6,A
162,50,71.4,-21.400000000000006,A
163,60,57.0,3.0,A
164,30,120.1,89.9,A
4,40,40.6,-0.5999999999999943,E
52,0,175.3,4.699999999999989,A
81,20,76.4,-56.400000000000006,C
92,140,113.6,26.400000000000006,A
152,0,92.1,87.9,A
156,100,116.9,-16.900000000000006,B
32,10,118.5,71.5,E
117,10,85.7,-75.7,A
157,100,98.6,1.4000000000000057,B
158,60,62.2,-2.200000000000003,A
159,20,135.9,64.1,E
0,0,165.4,14.599999999999994,A
45,0,175.5,4.5,A
154,20,13.0,7.0,A
56,110,154.9,-44.900000000000006,A
127,110,27.6,82.4,A
149,0,51.2,-51.2,A
74,170,4.3,-14.300000000000011,A
131,40,13.4,26.599999999999994,A
138,100,139.1,-39.099999999999994,A
146,100,56.4,43.599999999999994,E
151,0,27.7,-27.700000000000003,A
153,20,142.2,57.80000000000001,A
62,30,66.9,-36.900000000000006,B
107,30,12.5,17.5,A
150,120,127.5,-7.5,E
133,10,6.2,3.799999999999997,A
19,20,105.9,-85.9,B
145,10,22.6,-12.599999999999994,A
99,50,102.8,-52.8,A
144,30,134.8,75.19999999999999,A
141,150,74.9,75.1,E
142,170,76.5,-86.5,A
86,20,36.0,-16.0,A
88,30,25.2,4.799999999999997,C
109,30,108.1,-78.1,B
134,90,175.8,-85.80000000000001,E
137,50,127.3,-77.3,E
140,10,80.8,-70.8,A
136,20,82.5,-62.5,A
8,170,79.0,-89.0,A
23,160,33.6,-53.599999999999994,A
119,40,49.5,-9.5,A
125,140,173.2,-33.19999999999999,E
78,150,89.7,60.30000000000001,A
104,70,169.9,80.1,A
128,170,39.6,-49.599999999999994,E
132,30,145.9,64.1,E
84,110,69.2,40.80000000000001,C
126,140,137.2,2.8000000000000114,B
121,90,155.8,-65.80000000000001,B
122,70,131.6,-61.599999999999994,A
123,130,3.7,-53.69999999999999,A
118,0,172.2,7.800000000000011,A
120,10,35.1,-25.099999999999994,B
91,140,90.0,50.0,C
114,70,116.9,-46.900000000000006,B
41,90,7.3,82.69999999999999,A
116,30,82.8,-52.8,B
113,160,148.8,11.199999999999989,B
68,0,20.8,-20.799999999999997,B
106,170,102.5,67.5,E
87,100,31.8,68.19999999999999,C
103,140,90.5,49.5,A
108,170,94.7,75.30000000000001,E
47,70,9.2,60.80000000000001,A
80,90,163.8,-73.80000000000001,A
105,140,48.3,-88.30000000000001,A
79,130,171.0,-41.0,A
69,80,16.8,63.19999999999999,B
15,90,156.9,-66.9,A
102,140,70.2,69.80000000000001,A
50,0,5.8,-5.799999999999997,A
57,40,6.7,33.3,A
100,30,90.1,-60.099999999999994,C
31,30,14.4,15.599999999999994,A
44,0,128.3,51.69999999999999,A
64,0,73.4,-73.4,A
94,0,47.3,-47.3,B
96,60,168.7,71.30000000000001,B
12,60,174.7,65.30000000000001,E
85,130,19.9,-69.9,C
90,130,56.9,73.1,C
82,10,122.6,67.4,C
83,120,151.7,-31.69999999999999,C
48,60,63.8,-3.799999999999997,A
77,160,76.6,83.4,A
76,170,119.5,50.5,A
75,140,62.8,77.19999999999999,B
38,40,151.1,68.9,C
73,20,62.5,-42.5,A
70,10,102.8,87.19999999999999,A
29,0,6.0,-6.0,A
59,90,25.8,64.19999999999999,A
67,100,17.6,82.4,B
65,150,38.6,-68.6,A
18,90,174.9,-84.9,A
25,60,29.4,30.599999999999994,A
16,0,172.2,7.800000000000011,A
20,10,40.3,-30.299999999999997,A
42,20,136.9,63.099999999999994,A
60,0,44.3,-44.3,B
61,0,172.4,7.599999999999994,B
27,20,175.9,24.099999999999994,E
55,10,113.3,76.69999999999999,A
54,130,157.8,-27.80000000000001,A
53,20,72.3,-52.3,B
51,0,88.8,-88.8,A
35,170,6.1,-16.099999999999994,A
49,160,72.3,87.69999999999999,A
26,70,28.4,41.599999999999994,A
22,140,177.0,-37.0,A
33,10,2.1,7.900000000000006,A
43,10,100.8,89.19999999999999,A
37,90,170.3,-80.30000000000001,E
6,170,171.9,-1.9000000000000057,B
36,90,164.0,-74.0,A
30,70,145.0,-75.0,A
7,160,168.7,-8.699999999999989,E
28,50,153.9,76.1,A
24,30,82.8,-52.8,A
17,20,76.9,-56.900000000000006,A
2,20,45.8,-25.799999999999997,A
11,10,27.7,-17.700000000000003,A
13,90,21.2,68.80000000000001,A
9,140,95.6,44.400000000000006,A
