farm_id,ws_bin_m_s,wakeloss_pct,model
162,0.0,0.0,gauss
162,3.0,22.3958,gauss
162,4.0,7.4419,gauss
162,5.0,6.1039,gauss
162,6.0,5.8832,gauss
162,7.0,5.5868,gauss
162,8.0,5.6225,gauss
162,9.0,5.5616,gauss
162,10.0,5.2825,gauss
162,11.0,3.5162,gauss
162,12.0,1.4946,gauss
162,13.0,0.2078,gauss
162,14.0,0.0,gauss
162,16.0,0.0,gauss
162,18.0,0.0,gauss
162,20.0,0.0,gauss
162,22.0,0.0,gauss
162,25.0,0.0,gauss
162,30.0,0.0,gauss
162,0.0,0.0,jensen
162,3.0,21.8429,jensen
162,4.0,8.3571,jensen
162,5.0,7.3852,jensen
162,6.0,7.0087,jensen
162,7.0,6.5519,jensen
162,8.0,6.473,jensen
162,9.0,6.2483,jensen
162,10.0,5.7168,jensen
162,11.0,3.6292,jensen
162,12.0,0.9913,jensen
162,13.0,0.0,jensen
162,14.0,0.0,jensen
162,16.0,0.0,jensen
162,18.0,0.0,jensen
162,20.0,0.0,jensen
162,22.0,0.0,jensen
162,25.0,0.0,jensen
162,30.0,0.0,jensen
153,0.0,0.0,gauss
153,3.0,72.6556,gauss
153,4.0,60.5804,gauss
153,5.0,57.1248,gauss
153,6.0,53.084,gauss
153,7.0,50.6543,gauss
153,8.0,48.717,gauss
153,9.0,47.3605,gauss
153,10.0,44.231,gauss
153,11.0,36.3782,gauss
153,12.0,21.5842,gauss
153,13.0,9.5859,gauss
153,14.0,3.898,gauss
153,16.0,0.3594,gauss
153,18.0,0.0,gauss
153,20.0,0.0,gauss
153,22.0,0.0,gauss
153,25.0,0.0,gauss
153,30.0,0.0,gauss
153,0.0,0.0,jensen
153,3.0,65.6022,jensen
153,4.0,55.3,jensen
153,5.0,53.6646,jensen
153,6.0,51.0166,jensen
153,7.0,49.1871,jensen
153,8.0,47.3938,jensen
153,9.0,45.6643,jensen
153,10.0,42.0262,jensen
153,11.0,33.4933,jensen
153,12.0,16.4781,jensen
153,13.0,5.5983,jensen
153,14.0,1.9453,jensen
153,16.0,0.0,jensen
153,18.0,0.0,jensen
153,20.0,0.0,jensen
153,22.0,0.0,jensen
153,25.0,0.0,jensen
153,30.0,0.0,jensen
151,0.0,0.0,gauss
151,3.0,35.8596,gauss
151,4.0,9.7995,gauss
151,5.0,8.0562,gauss
151,6.0,6.3642,gauss
151,7.0,6.0362,gauss
151,8.0,5.4752,gauss
151,9.0,5.359,gauss
151,10.0,4.5198,gauss
151,11.0,1.7887,gauss
151,12.0,0.2165,gauss
151,13.0,0.0345,gauss
151,14.0,0.0,gauss
151,16.0,0.0,gauss
151,18.0,0.0,gauss
151,20.0,0.0,gauss
151,22.0,0.0,gauss
151,25.0,0.0,gauss
151,30.0,0.0,gauss
151,0.0,0.0,jensen
151,3.0,34.6133,jensen
151,4.0,13.0846,jensen
151,5.0,11.1298,jensen
151,6.0,8.6034,jensen
151,7.0,8.0812,jensen
151,8.0,7.2008,jensen
151,9.0,6.7983,jensen
151,10.0,5.5608,jensen
151,11.0,2.339,jensen
151,12.0,0.2886,jensen
151,13.0,0.0292,jensen
151,14.0,0.0,jensen
151,16.0,0.0,jensen
151,18.0,0.0,jensen
151,20.0,0.0,jensen
151,22.0,0.0,jensen
151,25.0,0.0,jensen
151,30.0,0.0,jensen
112,0.0,0.0,gauss
112,3.0,41.7525,gauss
112,4.0,19.2858,gauss
112,5.0,17.2303,gauss
112,6.0,8.8949,gauss
112,7.0,8.5095,gauss
112,8.0,4.3866,gauss
112,9.0,4.2984,gauss
112,10.0,4.0029,gauss
112,11.0,1.8921,gauss
112,12.0,0.5253,gauss
112,13.0,0.3132,gauss
112,14.0,0.1542,gauss
112,16.0,0.0,gauss
112,18.0,0.0,gauss
112,20.0,0.0,gauss
112,22.0,0.0,gauss
112,25.0,0.0,gauss
112,30.0,0.0,gauss
112,0.0,0.0,jensen
112,3.0,37.8795,jensen
112,4.0,19.8839,jensen
112,5.0,17.5856,jensen
112,6.0,9.6168,jensen
112,7.0,9.1516,jensen
112,8.0,4.9804,jensen
112,9.0,4.7192,jensen
112,10.0,4.1678,jensen
112,11.0,1.8276,jensen
112,12.0,0.512,jensen
112,13.0,0.2848,jensen
112,14.0,0.1292,jensen
112,16.0,0.0,jensen
112,18.0,0.0,jensen
112,20.0,0.0,jensen
112,22.0,0.0,jensen
112,25.0,0.0,jensen
112,30.0,0.0,jensen
107,0.0,0.0,gauss
107,3.0,53.3327,gauss
107,4.0,22.3361,gauss
107,5.0,19.2049,gauss
107,6.0,13.0876,gauss
107,7.0,12.4232,gauss
107,8.0,12.9246,gauss
107,9.0,12.6841,gauss
107,10.0,12.9736,gauss
107,11.0,6.1311,gauss
107,12.0,0.0974,gauss
107,13.0,0.0073,gauss
107,14.0,0.0,gauss
107,16.0,0.0,gauss
107,18.0,0.0,gauss
107,20.0,0.0,gauss
107,22.0,0.0,gauss
107,25.0,0.0,gauss
107,30.0,0.0,gauss
107,0.0,0.0,jensen
107,3.0,51.4834,jensen
107,4.0,25.2594,jensen
107,5.0,21.672,jensen
107,6.0,16.2277,jensen
107,7.0,15.1487,jensen
107,8.0,16.2769,jensen
107,9.0,15.3115,jensen
107,10.0,14.8653,jensen
107,11.0,6.5916,jensen
107,12.0,0.1015,jensen
107,13.0,0.0153,jensen
107,14.0,0.0,jensen
107,16.0,0.0,jensen
107,18.0,0.0,jensen
107,20.0,0.0,jensen
107,22.0,0.0,jensen
107,25.0,0.0,jensen
107,30.0,0.0,jensen
91,0.0,0.0,gauss
91,3.0,63.8892,gauss
91,4.0,28.3777,gauss
91,5.0,25.1577,gauss
91,6.0,24.7992,gauss
91,7.0,23.4535,gauss
91,8.0,22.2389,gauss
91,9.0,21.8536,gauss
91,10.0,18.1591,gauss
91,11.0,11.0631,gauss
91,12.0,2.5625,gauss
91,13.0,1.9348,gauss
91,14.0,1.1617,gauss
91,16.0,0.0,gauss
91,18.0,0.0,gauss
91,20.0,0.0,gauss
91,22.0,0.0,gauss
91,25.0,0.0,gauss
91,30.0,0.0,gauss
91,0.0,0.0,jensen
91,3.0,62.1324,jensen
91,4.0,38.1982,jensen
91,5.0,32.5223,jensen
91,6.0,31.5908,jensen
91,7.0,30.6822,jensen
91,8.0,29.2126,jensen
91,9.0,28.2069,jensen
91,10.0,22.954,jensen
91,11.0,14.545,jensen
91,12.0,3.4377,jensen
91,13.0,2.7039,jensen
91,14.0,1.67,jensen
91,16.0,0.0,jensen
91,18.0,0.0,jensen
91,20.0,0.0,jensen
91,22.0,0.0,jensen
91,25.0,0.0,jensen
91,30.0,0.0,jensen
83,0.0,0.0,gauss
83,3.0,82.8975,gauss
83,4.0,67.5658,gauss
83,5.0,61.3956,gauss
83,6.0,57.5202,gauss
83,7.0,55.1931,gauss
83,8.0,53.5322,gauss
83,9.0,52.6571,gauss
83,10.0,51.3547,gauss
83,11.0,45.0859,gauss
83,12.0,30.844,gauss
83,13.0,16.3784,gauss
83,14.0,6.6781,gauss
83,16.0,1.1697,gauss
83,18.0,0.0,gauss
83,20.0,0.0,gauss
83,22.0,0.0,gauss
83,25.0,0.0,gauss
83,30.0,0.0,gauss
83,0.0,0.0,jensen
83,3.0,80.6126,jensen
83,4.0,72.5276,jensen
83,5.0,68.7446,jensen
83,6.0,66.2838,jensen
83,7.0,63.8903,jensen
83,8.0,62.0515,jensen
83,9.0,59.898,jensen
83,10.0,56.9255,jensen
83,11.0,48.5942,jensen
83,12.0,31.0565,jensen
83,13.0,11.8787,jensen
83,14.0,2.1942,jensen
83,16.0,0.0,jensen
83,18.0,0.0,jensen
83,20.0,0.0,jensen
83,22.0,0.0,jensen
83,25.0,0.0,jensen
83,30.0,0.0,jensen
73,0.0,0.0,gauss
73,3.0,70.5127,gauss
73,4.0,33.3555,gauss
73,5.0,27.6652,gauss
73,6.0,24.8181,gauss
73,7.0,23.4581,gauss
73,8.0,23.1229,gauss
73,9.0,22.8072,gauss
73,10.0,21.5907,gauss
73,11.0,14.5047,gauss
73,12.0,4.3705,gauss
73,13.0,1.7104,gauss
73,14.0,0.7315,gauss
73,16.0,0.0,gauss
73,18.0,0.0,gauss
73,20.0,0.0,gauss
73,22.0,0.0,gauss
73,25.0,0.0,gauss
73,30.0,0.0,gauss
73,0.0,0.0,jensen
73,3.0,70.6812,jensen
73,4.0,43.753,jensen
73,5.0,36.9953,jensen
73,6.0,32.8788,jensen
73,7.0,30.5009,jensen
73,8.0,29.3137,jensen
73,9.0,28.0381,jensen
73,10.0,25.3437,jensen
73,11.0,16.2339,jensen
73,12.0,3.5868,jensen
73,13.0,1.0131,jensen
73,14.0,0.0011,jensen
73,16.0,0.0,jensen
73,18.0,0.0,jensen
73,20.0,0.0,jensen
73,22.0,0.0,jensen
73,25.0,0.0,jensen
73,30.0,0.0,jensen
21,0.0,0.0,gauss
21,3.0,65.3753,gauss
21,4.0,27.9373,gauss
21,5.0,23.4319,gauss
21,6.0,18.7096,gauss
21,7.0,17.7162,gauss
21,8.0,15.1658,gauss
21,9.0,14.9447,gauss
21,10.0,12.9586,gauss
21,11.0,6.0103,gauss
21,12.0,0.2735,gauss
21,13.0,0.1136,gauss
21,14.0,0.0792,gauss
21,16.0,0.0384,gauss
21,18.0,0.0,gauss
21,20.0,0.0,gauss
21,22.0,0.0,gauss
21,25.0,0.0,gauss
21,30.0,0.0,gauss
21,0.0,0.0,jensen
21,3.0,68.3398,jensen
21,4.0,38.8661,jensen
21,5.0,32.7942,jensen
21,6.0,27.214,jensen
21,7.0,25.4328,jensen
21,8.0,23.0609,jensen
21,9.0,22.052,jensen
21,10.0,18.7445,jensen
21,11.0,9.7182,jensen
21,12.0,0.3483,jensen
21,13.0,0.1341,jensen
21,14.0,0.0847,jensen
21,16.0,0.0,jensen
21,18.0,0.0,jensen
21,20.0,0.0,jensen
21,22.0,0.0,jensen
21,25.0,0.0,jensen
21,30.0,0.0,jensen
4,0.0,0.0,gauss
4,3.0,75.387,gauss
4,4.0,33.1178,gauss
4,5.0,27.5777,gauss
4,6.0,25.1577,gauss
4,7.0,23.8682,gauss
4,8.0,23.5704,gauss
4,9.0,23.3721,gauss
4,10.0,22.8303,gauss
4,11.0,14.7754,gauss
4,12.0,5.8295,gauss
4,13.0,3.2569,gauss
4,14.0,2.1347,gauss
4,16.0,0.5741,gauss
4,18.0,0.0,gauss
4,20.0,0.0,gauss
4,22.0,0.0,gauss
4,25.0,0.0,gauss
4,30.0,0.0,gauss
4,0.0,0.0,jensen
4,3.0,78.7803,jensen
4,4.0,51.9124,jensen
4,5.0,44.2499,jensen
4,6.0,40.4444,jensen
4,7.0,37.632,jensen
4,8.0,36.7175,jensen
4,9.0,35.6653,jensen
4,10.0,33.4254,jensen
4,11.0,23.468,jensen
4,12.0,8.2991,jensen
4,13.0,4.263,jensen
4,14.0,2.4129,jensen
4,16.0,0.0,jensen
4,18.0,0.0,jensen
4,20.0,0.0,jensen
4,22.0,0.0,jensen
4,25.0,0.0,jensen
4,30.0,0.0,jensen
