farm_id,ws_bin_m_s,wd_weighted_efficiency,energy_share,wakeloss_pct
167,0.0,1.0,0.120197,0.0
167,3.0,0.795365,0.184722,20.4635
167,4.0,0.934332,0.184722,6.5668
167,5.0,0.941026,0.184722,5.8974
167,6.0,0.972983,0.16656,2.7017
167,7.0,0.974332,0.16656,2.5668
167,8.0,0.985679,0.146664,1.4321
167,9.0,0.985615,0.146664,1.4385
167,10.0,0.98728,0.134343,1.272
167,11.0,0.996502,0.134343,0.3498
167,12.0,0.999601,0.147394,0.0399
167,13.0,0.999922,0.147394,0.0078
167,14.0,1.0,0.147394,0.0
167,16.0,1.0,0.081774,0.0
167,18.0,1.0,0.081774,0.0
167,20.0,1.0,0.018162,0.0
167,22.0,1.0,0.018162,0.0
167,25.0,1.0,0.018162,0.0
167,30.0,1.0,0.000183,0.0
168,0.0,1.0,0.134891,0.0
168,3.0,0.756214,0.248061,24.3786
168,4.0,0.901768,0.248061,9.8232
168,5.0,0.917065,0.248061,8.2935
168,6.0,0.924577,0.29707,7.5423
168,7.0,0.928547,0.29707,7.1453
168,8.0,0.93023,0.201698,6.977
168,9.0,0.932904,0.201698,6.7096
168,10.0,0.941088,0.082048,5.8912
168,11.0,0.963559,0.082048,3.6441
168,12.0,0.988637,0.032947,1.1363
168,13.0,0.999816,0.032947,0.0184
168,14.0,1.0,0.032947,0.0
168,16.0,1.0,0.003103,0.0
168,18.0,1.0,0.003103,0.0
168,20.0,1.0,0.000183,0.0
168,22.0,1.0,0.000183,0.0
168,25.0,1.0,0.000183,0.0
168,30.0,1.0,0.0,0.0
169,0.0,1.0,0.117368,0.0
169,3.0,0.741242,0.185543,25.8758
169,4.0,0.891983,0.185543,10.8017
169,5.0,0.914987,0.185543,8.5013
169,6.0,0.920793,0.240942,7.9207
169,7.0,0.925467,0.240942,7.4533
169,8.0,0.921028,0.227343,7.8972
169,9.0,0.923127,0.227343,7.6873
169,10.0,0.922948,0.137903,7.7052
169,11.0,0.953614,0.137903,4.6386
169,12.0,0.994129,0.074473,0.5871
169,13.0,1.0,0.074473,0.0
169,14.0,1.0,0.074473,0.0
169,16.0,1.0,0.015333,0.0
169,18.0,1.0,0.015333,0.0
169,20.0,1.0,0.001095,0.0
169,22.0,1.0,0.001095,0.0
169,25.0,1.0,0.001095,0.0
169,30.0,1.0,0.0,0.0
170,0.0,1.0,0.200055,0.0
170,3.0,0.785643,0.197773,21.4357
170,4.0,0.913815,0.197773,8.6185
170,5.0,0.928521,0.197773,7.1479
170,6.0,0.960492,0.177056,3.9508
170,7.0,0.962816,0.177056,3.7184
170,8.0,0.965907,0.142557,3.4093
170,9.0,0.966451,0.142557,3.3549
170,10.0,0.970938,0.118098,2.9062
170,11.0,0.984149,0.118098,1.5851
170,12.0,0.99429,0.112257,0.571
170,13.0,0.996966,0.112257,0.3034
170,14.0,0.99946,0.112257,0.054
170,16.0,1.0,0.042804,0.0
170,18.0,1.0,0.042804,0.0
170,20.0,1.0,0.0094,0.0
170,22.0,1.0,0.0094,0.0
170,25.0,1.0,0.0094,0.0
170,30.0,1.0,0.0,0.0
165,0.0,1.0,0.140093,0.0
165,3.0,0.68009,0.228347,31.991
165,4.0,0.847555,0.228347,15.2445
165,5.0,0.86815,0.228347,13.185
165,6.0,0.880188,0.281008,11.9812
165,7.0,0.887252,0.281008,11.2748
165,8.0,0.884341,0.211189,11.5659
165,9.0,0.888577,0.211189,11.1423
165,10.0,0.890828,0.091722,10.9172
165,11.0,0.928379,0.091722,7.1621
165,12.0,0.977055,0.040887,2.2945
165,13.0,0.995146,0.040887,0.4854
165,14.0,0.999792,0.040887,0.0208
165,16.0,1.0,0.006297,0.0
165,18.0,1.0,0.006297,0.0
165,20.0,1.0,0.000456,0.0
165,22.0,1.0,0.000456,0.0
165,25.0,1.0,0.000456,0.0
165,30.0,1.0,0.0,0.0
166,0.0,1.0,0.191841,0.0
166,3.0,0.742363,0.211372,25.7637
166,4.0,0.907807,0.211372,9.2193
166,5.0,0.924382,0.211372,7.5618
