layout_label,ws_m_s,p_wake_kW,p_noWake_kW,wake_efficiency,wakeloss_pct
standard_8x8_5D,3.0,245.7,2278.5,0.107842,89.2158
standard_8x8_5D,4.0,7559.2,26499.9,0.285256,71.4744
standard_8x8_5D,5.0,21948.7,64634.0,0.339584,66.0416
standard_8x8_5D,6.0,47354.0,118721.5,0.398866,60.1134
standard_8x8_5D,7.0,80540.3,189632.9,0.424717,57.5283
standard_8x8_5D,8.0,124056.5,284176.9,0.436547,56.3453
standard_8x8_5D,9.0,177900.7,405173.0,0.439073,56.0927
standard_8x8_5D,10.0,242429.6,544917.0,0.444893,55.5107
standard_8x8_5D,11.0,316475.1,640000.0,0.494492,50.5508
standard_8x8_5D,12.0,400179.0,640000.0,0.62528,37.472
standard_8x8_5D,13.0,489673.0,640000.0,0.765114,23.4886
standard_8x8_5D,14.0,582898.9,640000.0,0.91078,8.922
standard_8x8_5D,15.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,16.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,17.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,18.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,19.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,20.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,21.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,22.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,23.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,24.0,640000.0,640000.0,1.0,0.0
standard_8x8_5D,25.0,640000.0,640000.0,1.0,0.0
real_F99,3.0,245.2,1708.9,0.143458,85.6542
real_F99,4.0,6001.5,19874.9,0.301966,69.8034
real_F99,5.0,18471.7,48475.5,0.381053,61.8947
real_F99,6.0,37455.0,89041.1,0.420648,57.9352
real_F99,7.0,64970.4,142224.7,0.456815,54.3185
real_F99,8.0,100633.1,213132.7,0.472162,52.7838
real_F99,9.0,145646.6,303879.8,0.47929,52.071
real_F99,10.0,202339.4,408687.8,0.495095,50.4905
real_F99,11.0,267638.4,480000.0,0.55758,44.242
real_F99,12.0,337098.6,480000.0,0.702289,29.7711
real_F99,13.0,404247.8,480000.0,0.842183,15.7817
real_F99,14.0,462464.1,480000.0,0.963467,3.6533
real_F99,15.0,480000.0,480000.0,1.0,0.0
real_F99,16.0,480000.0,480000.0,1.0,0.0
real_F99,17.0,480000.0,480000.0,1.0,0.0
real_F99,18.0,480000.0,480000.0,1.0,0.0
real_F99,19.0,480000.0,480000.0,1.0,0.0
real_F99,20.0,480000.0,480000.0,1.0,0.0
real_F99,21.0,480000.0,480000.0,1.0,0.0
real_F99,22.0,480000.0,480000.0,1.0,0.0
real_F99,23.0,480000.0,480000.0,1.0,0.0
real_F99,24.0,480000.0,480000.0,1.0,0.0
real_F99,25.0,480000.0,480000.0,1.0,0.0
