turbine_id,lon,lat,x_km,y_km,point_role,commission_year,first_quarter,first_status
40,-2.604852,47.155237,-222.371,5249.321,substation,,2021Q3,offshore wind farm substation
81,-2.205789,47.056257,-188.304,5238.303,substation,,2016Q1,offshore wind farm substation
82,-2.53566,46.899317,-216.464,5220.832,substation,,2024Q3,offshore wind farm substation
84,-2.526706,46.891811,-215.7,5219.996,substation,,2024Q3,offshore wind farm substation
85,-2.561484,46.89731,-218.669,5220.609,substation,,2016Q1,offshore wind farm substation
86,-2.509765,46.901154,-214.254,5221.036,substation,,2024Q2,offshore wind farm substation
87,-2.544468,46.906828,-217.216,5221.668,substation,,2024Q3,offshore wind farm substation
88,-2.518653,46.908806,-215.012,5221.888,substation,,2024Q2,offshore wind farm substation
89,-2.536426,46.92383,-216.53,5223.561,substation,,2024Q2,offshore wind farm substation
90,-2.474958,46.895468,-211.282,5220.403,substation,,2024Q4,offshore wind farm substation
91,-2.483813,46.903101,-212.038,5221.253,substation,,2024Q4,offshore wind farm substation
92,-2.492631,46.910583,-212.791,5222.086,substation,,2017Q3,offshore wind farm substation
93,-2.578592,46.88806,-220.129,5219.579,substation,,2024Q3,offshore wind farm substation
102,141.320412,43.232887,12064.238,4812.685,substation,,2017Q2,offshore wind farm substation
125,-71.126961,41.177235,-6071.965,4583.85,substation,,2024Q3,offshore wind farm substation
126,-71.171196,41.175871,-6075.741,4583.698,substation,,2024Q3,offshore wind farm substation
127,-71.12677,41.160368,-6071.949,4581.972,substation,,2024Q3,offshore wind farm substation
128,-71.129234,41.209991,-6072.159,4587.496,substation,,2024Q4,offshore wind farm substation
136,-71.082146,41.144287,-6068.139,4580.182,substation,,2024Q3,offshore wind farm substation
137,-71.059074,41.111307,-6066.17,4576.511,substation,,2024Q3,offshore wind farm substation
138,-71.105213,41.160635,-6070.109,4582.002,substation,,2024Q3,offshore wind farm substation
139,-71.105064,41.177473,-6070.096,4583.876,substation,,2024Q3,offshore wind farm substation
