farm_id,centroid_lat,centroid_lon,coverage_flag
58,47.1594,-2.6062,1
145,43.2114,141.2564,1
167,43.1903,4.794,1
160,41.1157,-71.5218,1
156,41.1929,-71.1658,1
146,41.093,-71.1478,1
138,41.1238,-70.9609,1
135,40.2006,139.9778,1
14,39.4746,123.3788,1
78,39.4769,123.2027,1
63,38.9986,118.8044,1
147,38.6666,117.6375,1
168,38.6193,117.5806,1
132,38.6684,118.0399,1
76,38.3074,118.5609,1
44,38.2743,118.942,1
165,38.0457,118.4427,1
106,38.0237,119.2633,1
114,37.9135,121.8844,1
79,37.8351,120.3113,1
94,37.2621,119.4511,1
108,37.2428,119.6233,1
6,36.4678,121.5419,1
70,36.427,121.2355,1
139,35.4818,126.3176,1
151,34.9712,125.9495,1
98,34.6039,119.7916,1
88,34.5028,120.0532,1
50,34.5055,120.3623,1
131,34.4035,120.1958,1
19,34.2763,120.6226,1
1,33.462,121.1856,1
82,33.3213,121.5926,1
0,32.8436,121.4239,1
3,32.6831,121.8054,1
24,32.5335,121.232,1
109,32.3706,121.6844,1
28,32.1239,122.1411,1
89,30.9301,122.1242,1
118,30.7438,121.7988,1
37,30.6253,121.57,1
38,30.7484,121.983,1
66,30.462,121.4796,1
104,30.3864,121.6844,1
92,30.4497,121.896,1
110,29.531,122.0568,1
74,29.5814,122.2286,1
103,29.0656,122.0286,1
85,28.9259,121.9986,1
105,28.8353,121.8575,1
119,28.1833,121.5002,1
21,27.286,120.9217,1
46,25.8097,119.9959,1
52,25.6651,119.7641,1
101,25.5817,119.6054,1
81,25.4058,119.3996,1
45,25.2524,119.5441,1
124,25.2975,119.3727,1
34,25.1304,119.3921,1
71,24.7084,120.7773,1
42,24.1616,119.9117,1
39,23.9706,120.158,1
125,23.9216,118.2136,1
62,23.5921,120.028,1
41,23.243,117.0232,1
111,22.6779,115.9363,1
90,22.7327,116.1203,1
12,22.6333,116.2218,1
47,22.3059,114.9472,1
97,22.12,113.7329,1
91,21.901,113.4405,1
32,21.4359,112.2209,1
56,21.3394,108.211,1
4,21.2977,111.564,1
8,20.9951,111.5761,1
120,20.7161,110.5573,1
72,20.5798,110.6321,1
35,20.5948,110.7555,1
33,20.1389,109.2031,1
77,20.1437,109.4282,1
64,10.1591,106.8469,1
115,9.9279,106.6985,1
141,9.7455,106.585,1
112,9.6266,106.579,1
126,9.5244,106.456,1
57,9.2189,105.8099,1
107,9.0822,105.5854,1
130,9.1406,105.7125,1
86,8.9219,105.3984,1
133,8.6706,105.1538,1
143,8.5498,104.9308,1
148,61.6279,21.3546,1
10,58.1844,-2.8564,1
161,57.0045,-1.8649,1
40,56.5947,-1.6988,1
136,56.5932,8.0257,1
152,56.6648,8.2313,1
43,56.6015,11.2166,1
140,56.0791,7.9536,1
153,55.9692,10.3553,1
27,55.6337,7.6098,1
149,55.6945,12.6698,1
59,55.4865,7.8406,1
99,55.5128,12.7808,1
68,55.2017,6.8522,1
157,55.3441,10.9604,1
60,55.141,7.1997,1
162,55.1313,-1.4019,1
61,55.0168,7.7741,1
25,55.0056,13.0559,1
127,54.8185,13.657,1
95,54.8305,13.8582,1
29,54.8111,14.0932,1
128,54.6456,-1.0941,1
20,54.4774,6.3397,1
11,54.4594,7.6964,1
22,54.5529,11.6189,1
137,54.6098,12.6507,1
16,54.3337,5.9083,1
80,54.1164,-3.8162,1
9,54.0305,-3.5107,1
23,54.0433,6.1233,1
7,54.0049,6.5218,1
5,53.9099,1.7927,1
65,54.0341,5.8848,1
18,54.0239,6.953,1
116,53.8058,0.1494,1
142,53.8357,8.1683,1
67,53.6443,0.2928,1
121,53.6928,6.4755,1
53,53.4775,0.8387,1
13,53.4442,-3.5741,1
84,53.4864,-3.2425,1
51,53.2764,0.8416,1
30,53.1798,0.4738,1
73,53.2671,1.3778,1
55,53.1359,1.1474,1
54,53.0019,5.2635,1
158,52.7915,-5.9468,1
31,52.6531,4.2423,1
100,52.747,5.5908,1
122,52.6458,1.7875,1
113,52.607,4.4203,1
134,52.6039,5.5748,1
15,52.3293,4.0757,1
48,52.2364,2.5034,1
26,51.9273,1.9623,1
87,51.7743,1.9848,1
2,51.6448,2.9165,1
96,51.7298,1.2299,1
17,51.6283,1.4972,1
49,51.4309,1.632,1
36,50.6703,-0.2781,1
69,49.896,0.2344,1
75,48.857,-2.542,1
117,41.0531,-70.4351,1
155,40.4919,17.1398,1
169,34.4617,119.888,1
159,9.2966,106.1245,1
150,57.2233,-1.9953,1
144,56.9863,17.0187,1
93,56.2642,-2.2434,1
154,55.7218,10.5833,1
83,54.7534,-3.713,1
123,53.9928,-3.2982,1
102,51.458,1.0879,1
166,39.7726,140.0107,1
163,57.0371,18.1467,1
129,54.7288,1.7951,1
164,57.4875,-1.3561,1
170,41.6868,-9.0573,1
