farm_id,n_turb,centroid_lon,centroid_lat,area_km2,capacity_kW,density_per_km2,avg_depth_m,country
0,928,121.4239,32.8436,2754.86,9280000,0.34,0.0,China
1,589,121.1856,33.462,1451.24,5890000,0.41,0.0,China
2,572,2.9165,51.6448,770.2,5720000,0.74,0.0,Belgium
3,443,121.8054,32.6831,489.83,4430000,0.9,0.0,China
4,364,111.564,21.2977,327.91,3640000,1.11,0.0,China
5,339,1.7927,53.9099,1095.84,3390000,0.31,0.0,United Kingdom
6,293,121.5419,36.4678,445.93,2930000,0.66,0.0,China
7,284,6.5218,54.0049,285.32,2840000,1.0,0.0,Netherlands
8,278,111.5761,20.9951,423.59,2780000,0.66,0.0,China
9,267,-3.5107,54.0305,344.6,2670000,0.77,0.0,United Kingdom
10,246,-2.8564,58.1844,937.72,2460000,0.26,0.0,United Kingdom
11,246,7.6964,54.4594,215.49,2460000,1.14,0.0,Germany
12,244,116.2218,22.6333,258.02,2440000,0.95,0.0,China
13,215,-3.5741,53.4442,219.69,2150000,0.98,0.0,United Kingdom
14,189,123.3788,39.4746,342.88,1890000,0.55,0.0,China
15,182,4.0757,52.3293,441.61,1820000,0.41,0.0,Netherlands
16,178,5.9083,54.3337,205.96,1780000,0.86,0.0,Netherlands
17,175,1.4972,51.6283,132.4,1750000,1.32,0.0,United Kingdom
18,174,6.953,54.0239,305.4,1740000,0.57,0.0,Germany
19,171,120.6226,34.2763,177.74,1710000,0.96,0.0,China
20,167,6.3397,54.4774,164.18,1670000,1.02,0.0,Netherlands
21,162,120.9217,27.286,228.68,1620000,0.71,0.0,China
22,161,11.6189,54.5529,108.5,1610000,1.48,0.0,Germany
23,158,6.1233,54.0433,174.72,1580000,0.9,0.0,Netherlands
24,156,121.232,32.5335,127.23,1560000,1.23,0.0,China
25,152,13.0559,55.0056,434.33,1520000,0.35,0.0,Sweden
26,140,1.9623,51.9273,215.22,1400000,0.65,0.0,United Kingdom
27,138,7.6098,55.6337,262.62,1380000,0.53,0.0,Denmark
28,134,122.1411,32.1239,121.32,1340000,1.1,0.0,China
29,131,14.0932,54.8111,116.84,1310000,1.12,0.0,Sweden
30,129,0.4738,53.1798,85.37,1290000,1.51,0.0,United Kingdom
31,129,4.2423,52.6531,256.65,1290000,0.5,0.0,Netherlands
32,128,112.2209,21.4359,138.93,1280000,0.92,0.0,China
33,128,109.2031,20.1389,265.77,1280000,0.48,0.0,China
34,125,119.3921,25.1304,125.83,1250000,0.99,0.0,China
35,120,110.7555,20.5948,102.42,1200000,1.17,0.0,China
36,117,-0.2781,50.6703,76.77,1170000,1.52,0.0,United Kingdom
37,116,121.57,30.6253,210.2,1160000,0.55,0.0,China
38,115,121.983,30.7484,111.42,1150000,1.03,0.0,China
39,114,120.158,23.9706,178.72,1140000,0.64,0.0,Taiwan
40,114,-1.6988,56.5947,535.78,1140000,0.21,0.0,United Kingdom
41,113,117.0232,23.243,103.42,1130000,1.09,0.0,China
42,111,119.9117,24.1616,103.14,1110000,1.08,0.0,Taiwan
43,111,11.2166,56.6015,165.25,1110000,0.67,0.0,Denmark
44,108,118.942,38.2743,147.26,1080000,0.73,0.0,China
45,106,119.5441,25.2524,52.14,1060000,2.03,0.0,China
46,105,119.9959,25.8097,88.53,1050000,1.19,0.0,China
47,104,114.9472,22.3059,143.36,1040000,0.73,0.0,China
48,102,2.5034,52.2364,176.75,1020000,0.58,0.0,United Kingdom
49,101,1.632,51.4309,33.03,1010000,3.06,0.0,France
50,100,120.3623,34.5055,109.7,1000000,0.91,0.0,China
51,92,0.8416,53.2764,94.66,920000,0.97,0.0,United Kingdom
52,90,119.7641,25.6651,95.86,900000,0.94,0.0,China
53,90,0.8387,53.4775,170.17,900000,0.53,0.0,United Kingdom
54,89,5.2635,53.0019,41.47,890000,2.15,0.0,Netherlands
55,88,1.1474,53.1359,41.18,880000,2.14,0.0,United Kingdom
56,83,108.211,21.3394,63.17,830000,1.31,0.0,Vietnam
57,82,105.8099,9.2189,43.63,820000,1.88,0.0,Vietnam
58,81,-2.6062,47.1594,122.26,810000,0.66,0.0,France
59,80,7.8406,55.4865,26.58,800000,3.01,0.0,Denmark
60,80,7.1997,55.141,91.41,800000,0.88,0.0,Denmark
