id,lon,lat,first_year,active_2014,active_2015,active_2016,active_2017,active_2018,active_2019,active_2020,active_2021,active_2022,active_2023,active_2024
1,-2.690608,47.169798,2021,False,False,False,False,False,False,False,True,True,True,True
2,-2.647484,47.193111,2022,False,False,False,False,False,False,False,False,True,True,True
3,-2.632818,47.177099,2021,False,False,False,False,False,False,False,True,True,True,True
4,-2.654268,47.201164,2022,False,False,False,False,False,False,False,False,True,True,True
5,-2.675904,47.189232,2022,False,False,False,False,False,False,False,False,True,True,True
6,-2.64084,47.184515,2021,False,False,False,False,False,False,False,True,True,True,True
7,-2.687616,47.192806,2022,False,False,False,False,False,False,False,False,True,True,True
8,-2.652382,47.182753,2018,False,False,False,False,True,False,False,False,True,True,True
9,-2.677404,47.198555,2022,False,False,False,False,False,False,False,False,True,True,True
10,-2.663774,47.195518,2022,False,False,False,False,False,False,False,False,True,True,True
11,-2.645287,47.169893,2022,False,False,False,False,False,False,False,False,True,True,True
12,-2.672724,47.206348,2022,False,False,False,False,False,False,False,False,True,True,True
13,-2.597234,47.167315,2021,False,False,False,False,False,False,False,True,True,True,True
14,-2.675459,47.166111,2018,False,False,False,False,True,False,False,True,True,True,True
15,-2.660277,47.209114,2022,False,False,False,False,False,False,False,False,True,True,True
16,-2.674001,47.176981,2022,False,False,False,False,False,False,False,False,True,True,True
17,-2.686718,47.179964,2018,False,False,False,False,True,False,False,True,True,True,True
18,-2.608993,47.170404,2021,False,False,False,False,False,False,False,True,True,True,True
19,-2.659662,47.173439,2022,False,False,False,False,False,False,False,False,True,True,True
20,-2.664222,47.185936,2022,False,False,False,False,False,False,False,False,True,True,True
21,-2.630511,47.165909,2022,False,False,False,False,False,False,False,False,True,True,True
22,-2.621246,47.173943,2021,False,False,False,False,False,False,False,True,True,True,True
23,-2.614195,47.142101,2021,False,False,False,False,False,False,False,True,True,True,True
24,-2.674782,47.1434,2021,False,False,False,False,False,False,False,True,True,True,True
25,-2.64424,47.158751,2021,False,False,False,False,False,False,False,True,True,True,True
26,-2.6688,47.153574,2021,False,False,False,False,False,False,False,True,True,True,True
27,-2.681947,47.1562,2021,False,False,False,False,False,False,False,True,True,True,True
28,-2.628395,47.155119,2021,False,False,False,False,False,False,False,True,True,True,True
29,-2.659702,47.16243,2021,False,False,False,False,False,False,False,True,True,True,True
30,-2.641468,47.147846,2021,False,False,False,False,False,False,False,True,True,True,True
31,-2.650394,47.13903,2021,False,False,False,False,False,False,False,True,True,True,True
32,-2.614458,47.162144,2021,False,False,False,False,False,False,False,True,True,True,True
33,-2.662697,47.141233,2021,False,False,False,False,False,False,False,True,True,True,True
34,-2.611608,47.151165,2021,False,False,False,False,False,False,False,True,True,True,True
35,-2.638089,47.136801,2021,False,False,False,False,False,False,False,True,True,True,True
36,-2.627829,47.145182,2021,False,False,False,False,False,False,False,True,True,True,True
37,-2.625734,47.134541,2021,False,False,False,False,False,False,False,True,True,True,True
38,-2.687275,47.145617,2021,False,False,False,False,False,False,False,True,True,True,True
39,-2.655223,47.150719,2021,False,False,False,False,False,False,False,True,True,True,True
40,-2.604852,47.155237,9999,False,False,False,False,False,False,False,False,False,False,False
41,-2.571193,47.179041,2021,False,False,False,False,False,False,False,True,True,True,True
42,-2.558822,47.176029,2021,False,False,False,False,False,False,False,True,True,True,True
43,-2.546194,47.172695,2021,False,False,False,False,False,False,False,True,True,True,True
44,-2.575336,47.170887,2021,False,False,False,False,False,False,False,True,True,True,True
45,-2.531969,47.169313,2021,False,False,False,False,False,False,False,True,True,True,True
46,-2.559862,47.166723,2021,False,False,False,False,False,False,False,True,True,True,True
47,-2.694488,47.158667,2021,False,False,False,False,False,False,False,True,True,True,True
48,-2.600972,47.129997,2022,False,False,False,False,False,False,False,False,True,True,True
49,-2.600369,47.139597,2022,False,False,False,False,False,False,False,False,True,True,True
50,-2.597336,47.157467,2021,False,False,False,False,False,False,False,True,True,True,True
51,-2.613259,47.132425,2022,False,False,False,False,False,False,False,False,True,True,True
52,-2.57635,47.125685,2022,False,False,False,False,False,False,False,False,True,True,True
53,-2.581135,47.153564,2021,False,False,False,False,False,False,False,True,True,True,True
54,-2.52723,47.134478,2022,False,False,False,False,False,False,False,False,True,True,True
55,-2.543748,47.163876,2021,False,False,False,False,False,False,False,True,True,True,True
56,-2.512494,47.150173,2021,False,False,False,False,False,False,False,True,True,True,True
57,-2.53135,47.144619,2022,False,False,False,False,False,False,False,False,True,True,True
58,-2.52501,47.152134,2021,False,False,False,False,False,False,False,True,True,True,True
59,-2.592384,47.146826,2022,False,False,False,False,False,False,False,False,True,True,True
60,-2.554994,47.157816,2021,False,False,False,False,False,False,False,True,True,True,True
61,-2.552726,47.121086,2022,False,False,False,False,False,False,False,False,True,True,True
62,-2.539573,47.127943,2022,False,False,False,False,False,False,False,False,True,True,True
63,-2.588472,47.127871,2022,False,False,False,False,False,False,False,False,True,True,True
64,-2.574491,47.143293,2022,False,False,False,False,False,False,False,False,True,True,True
65,-2.515406,47.16531,2021,False,False,False,False,False,False,False,True,True,True,True
66,-2.570353,47.160688,2021,False,False,False,False,False,False,False,True,True,True,True
67,-2.567275,47.132967,2022,False,False,False,False,False,False,False,False,True,True,True
68,-2.54788,47.1476,2022,False,False,False,False,False,False,False,False,True,True,True
69,-2.585043,47.136543,2022,False,False,False,False,False,False,False,False,True,True,True
70,-2.508278,47.158138,2021,False,False,False,False,False,False,False,True,True,True,True
71,-2.527292,47.161242,2021,False,False,False,False,False,False,False,True,True,True,True
72,-2.564254,47.123365,2022,False,False,False,False,False,False,False,False,True,True,True
73,-2.585207,47.163551,2018,False,False,False,False,True,False,False,True,True,True,True
74,-2.539093,47.154959,2021,False,False,False,False,False,False,False,True,True,True,True
75,-2.514655,47.141312,2022,False,False,False,False,False,False,False,False,True,True,True
76,-2.544142,47.137575,2022,False,False,False,False,False,False,False,False,True,True,True
77,-2.557941,47.140223,2022,False,False,False,False,False,False,False,False,True,True,True
78,-2.564527,47.150545,2022,False,False,False,False,False,False,False,False,True,True,True
79,-2.500116,47.149012,2021,False,False,False,False,False,False,False,True,True,True,True
80,-2.46788,47.177521,2016,False,False,True,True,True,True,True,True,True,True,True
81,-2.205789,47.056257,9999,False,False,False,False,False,False,False,False,False,False,False
82,-2.53566,46.899317,9999,False,False,False,False,False,False,False,False,False,False,False
83,-2.527544,46.916288,2024,False,False,False,False,False,False,False,False,False,False,True
84,-2.526706,46.891811,9999,False,False,False,False,False,False,False,False,False,False,False
85,-2.561484,46.89731,9999,False,False,False,False,False,False,False,False,False,False,False
86,-2.509765,46.901154,9999,False,False,False,False,False,False,False,False,False,False,False
87,-2.544468,46.906828,9999,False,False,False,False,False,False,False,False,False,False,False
88,-2.518653,46.908806,9999,False,False,False,False,False,False,False,False,False,False,False
89,-2.536426,46.92383,9999,False,False,False,False,False,False,False,False,False,False,False
90,-2.474958,46.895468,9999,False,False,False,False,False,False,False,False,False,False,False
91,-2.483813,46.903101,9999,False,False,False,False,False,False,False,False,False,False,False
92,-2.492631,46.910583,9999,False,False,False,False,False,False,False,False,False,False,False
93,-2.578592,46.88806,9999,False,False,False,False,False,False,False,False,False,False,False
94,141.262856,43.225086,2023,False,False,False,False,False,False,False,False,False,True,True
95,141.271217,43.21257,2023,False,False,False,False,False,False,False,False,False,True,True
96,141.258636,43.222158,2023,False,False,False,False,False,False,False,False,False,True,True
97,141.246025,43.213385,2023,False,False,False,False,False,False,False,False,False,True,True
98,141.254463,43.219196,2023,False,False,False,False,False,False,False,False,False,True,True
99,141.250259,43.216259,2017,False,False,False,True,False,False,False,False,False,True,True
100,141.241859,43.210487,2023,False,False,False,False,False,False,False,False,False,True,True
101,141.27449,43.21608,2019,False,False,False,False,False,True,False,False,False,True,True
102,141.320412,43.232887,9999,False,False,False,False,False,False,False,False,False,False,False
103,141.237633,43.207594,2019,False,False,False,False,False,True,False,False,False,True,True
104,141.249046,43.197948,2023,False,False,False,False,False,False,False,False,False,True,True
105,141.263039,43.206059,2023,False,False,False,False,False,False,False,False,False,True,True
106,141.253868,43.200584,2023,False,False,False,False,False,False,False,False,False,True,True
107,141.258698,43.203186,2023,False,False,False,False,False,False,False,False,False,True,True
108,141.267532,43.208986,2023,False,False,False,False,False,False,False,False,False,True,True
109,4.794118,43.190374,2023,False,False,False,False,False,False,False,False,False,True,True
110,4.800309,43.197124,2023,False,False,False,False,False,False,False,False,False,True,True
111,4.787598,43.18343,2023,False,False,False,False,False,False,False,False,False,True,True
112,-71.513924,41.120243,2016,False,False,True,True,True,True,True,True,True,True,True
113,-71.529057,41.110466,2016,False,False,True,True,True,True,True,True,True,True,True
114,-71.507442,41.126072,2016,False,False,True,True,True,True,True,True,True,True,True
115,-71.521061,41.114956,2016,False,False,True,True,True,True,True,True,True,True,True
116,-71.537582,41.106592,2016,False,False,True,True,True,True,True,True,True,True,True
117,-71.12849,41.226871,2024,False,False,False,False,False,False,False,False,False,False,True
118,-71.150616,41.226589,2020,False,False,False,False,False,False,True,False,False,False,True
119,-71.149563,41.193228,2024,False,False,False,False,False,False,False,False,False,False,True
120,-71.171535,41.192844,2024,False,False,False,False,False,False,False,False,False,False,True
121,-71.148335,41.159756,2024,False,False,False,False,False,False,False,False,False,False,True
122,-71.168983,41.109346,2023,False,False,False,False,False,False,False,False,False,True,True
123,-71.189529,41.108913,2023,False,False,False,False,False,False,False,False,False,True,True
124,-71.146919,41.109732,2023,False,False,False,False,False,False,False,False,False,True,True
125,-71.126961,41.177235,9999,False,False,False,False,False,False,False,False,False,False,False
126,-71.171196,41.175871,9999,False,False,False,False,False,False,False,False,False,False,False
127,-71.12677,41.160368,9999,False,False,False,False,False,False,False,False,False,False,False
128,-71.129234,41.209991,9999,False,False,False,False,False,False,False,False,False,False,False
129,-71.038101,41.161827,2024,False,False,False,False,False,False,False,False,False,False,True
130,-71.037483,41.145164,2024,False,False,False,False,False,False,False,False,False,False,True
131,-71.124783,41.109535,2023,False,False,False,False,False,False,False,False,False,True,True
132,-71.060104,41.161518,2024,False,False,False,False,False,False,False,False,False,False,True
133,-71.08226,41.160639,2024,False,False,False,False,False,False,False,False,False,False,True
134,-71.059067,41.127762,2024,False,False,False,False,False,False,False,False,False,False,True
135,-71.037048,41.127642,2024,False,False,False,False,False,False,False,False,False,False,True
136,-71.082146,41.144287,9999,False,False,False,False,False,False,False,False,False,False,False
137,-71.059074,41.111307,9999,False,False,False,False,False,False,False,False,False,False,False
138,-71.105213,41.160635,9999,False,False,False,False,False,False,False,False,False,False,False
139,-71.105064,41.177473,9999,False,False,False,False,False,False,False,False,False,False,False
140,-71.015747,41.162493,2024,False,False,False,False,False,False,False,False,False,False,True
141,-70.994259,41.16287,9999,False,False,False,False,False,False,False,False,False,False,False
142,-70.992638,41.111774,2024,False,False,False,False,False,False,False,False,False,False,True
143,-71.013729,41.094604,2024,False,False,False,False,False,False,False,False,False,False,True
144,-70.992245,41.096991,9999,False,False,False,False,False,False,False,False,False,False,False
145,-71.167694,41.092045,2023,False,False,False,False,False,False,False,False,False,True,True
146,-71.145679,41.076393,2023,False,False,False,False,False,False,False,False,False,True,True
147,-71.167938,41.076267,9999,False,False,False,False,False,False,False,False,False,False,False
148,-71.101612,41.07765,2023,False,False,False,False,False,False,False,False,False,True,True
149,-71.123699,41.07691,2023,False,False,False,False,False,False,False,False,False,True,True
150,-71.102139,41.093937,2023,False,False,False,False,False,False,False,False,False,True,True
151,-71.123096,41.093307,2023,False,False,False,False,False,False,False,False,False,True,True
152,-71.058102,41.094433,9999,False,False,False,False,False,False,False,False,False,False,False
153,-71.080658,41.1278,9999,False,False,False,False,False,False,False,False,False,False,False
154,-71.037468,41.111441,9999,False,False,False,False,False,False,False,False,False,False,False
155,-70.990238,41.078974,9999,False,False,False,False,False,False,False,False,False,False,False
156,-71.014477,41.07893,9999,False,False,False,False,False,False,False,False,False,False,False
157,139.9785,40.196396,2021,False,False,False,False,False,False,False,True,True,True,True
158,139.981003,40.215359,2021,False,False,False,False,False,False,False,True,True,True,True
159,139.964424,40.200743,2017,False,False,False,True,False,False,False,True,True,True,True
160,139.982681,40.188816,2021,False,False,False,False,False,False,False,True,True,True,True
161,139.98011,40.178198,2021,False,False,False,False,False,False,False,True,True,True,True
162,139.982506,40.224319,2017,False,False,False,True,False,False,False,True,True,True,True
163,139.977165,40.211918,2021,False,False,False,False,False,False,False,True,True,True,True
164,139.97406,40.209209,2021,False,False,False,False,False,False,False,True,True,True,True
165,139.972458,40.186247,2021,False,False,False,False,False,False,False,True,True,True,True
166,139.967537,40.203533,2021,False,False,False,False,False,False,False,True,True,True,True
167,139.970947,40.206402,2021,False,False,False,False,False,False,False,True,True,True,True
168,139.981926,40.185312,2021,False,False,False,False,False,False,False,True,True,True,True
169,139.981056,40.1817,2021,False,False,False,False,False,False,False,True,True,True,True
170,139.982521,40.211617,2016,False,False,True,True,True,True,True,True,True,True,True
171,139.973221,40.189741,2021,False,False,False,False,False,False,False,True,True,True,True
172,139.973999,40.192705,2021,False,False,False,False,False,False,False,True,True,True,True
173,139.966965,40.197504,2016,False,False,True,True,True,True,True,True,True,True,True
174,139.971443,40.18259,2021,False,False,False,False,False,False,False,True,True,True,True
175,139.98407,40.21822,2021,False,False,False,False,False,False,False,True,True,True,True
176,139.970398,40.178949,2017,False,False,False,True,False,False,False,True,True,True,True
177,139.970222,40.200102,9999,False,False,False,False,False,False,False,False,False,False,False
178,139.97831,40.202627,9999,False,False,False,False,False,False,False,False,False,False,False
179,139.99144,40.22296,2021,False,False,False,False,False,False,False,True,True,True,True
180,139.987068,40.220587,2021,False,False,False,False,False,False,False,True,True,True,True
181,139.993538,40.211481,2016,False,False,True,True,True,True,True,True,True,True,True
182,123.321857,39.581207,2021,False,False,False,False,False,False,False,True,True,True,True
183,123.32769,39.583174,2020,False,False,False,False,False,False,True,True,True,True,True
