farm_id,angle_deg,p_wake_kW,p_no_wake_kW,wake_efficiency
0,0.0,1842759.22994775,4120565.77152,0.44721024541928145
0,10.0,2873413.8726381473,4120565.77152,0.6973347913770099
0,20.0,3551576.3467198303,4120565.77152,0.8619147329881643
0,30.0,3546896.0278833285,4120565.77152,0.8607788892482463
0,40.0,3471152.532520575,4120565.77152,0.8423970699635578
0,50.0,3449540.4587630597,4120565.77152,0.8371521412436013
0,60.0,3416932.151389438,4120565.77152,0.8292385902455807
0,70.0,3405110.8714096565,4120565.77152,0.8263697414914881
0,80.0,3395402.467334311,4120565.77152,0.8240136562804603
0,90.0,3284043.465326504,4120565.77152,0.7969884834807724
0,100.0,3349682.621157982,4120565.77152,0.8129181299106765
0,110.0,3376588.884990441,4120565.77152,0.8194478797859063
0,120.0,3399655.4129638136,4120565.77152,0.8250457829022212
0,130.0,3389591.259264988,4120565.77152,0.8226033625510195
0,140.0,3373142.7726450074,4120565.77152,0.8186115595967585
0,150.0,3282940.413877794,4120565.77152,0.796720789307236
0,160.0,3266749.8848486003,4120565.77152,0.7927915888219295
0,170.0,2568906.823328669,4120565.77152,0.6234354614805838
0,180.0,1835851.1132559327,4120565.77152,0.4455337482888233
2,0.0,1732429.3137686078,2539831.48848,0.6821040378570179
2,10.0,1775723.2073614334,2539831.48848,0.6991500087370527
2,20.0,1760822.668775522,2539831.48848,0.6932832657450485
2,30.0,1591997.439677988,2539831.48848,0.6268122302203374
2,40.0,1345822.9907136287,2539831.48848,0.5298867254847118
2,50.0,1570313.9808752642,2539831.48848,0.6182748690209531
2,60.0,1727935.3325013032,2539831.48848,0.6803346365059093
2,70.0,1708577.4168389954,2539831.48848,0.67271290421772
2,80.0,1701864.3031162824,2539831.48848,0.6700697707054528
2,90.0,1732111.6986253208,2539831.48848,0.6819789842285675
2,100.0,1643023.8488225937,2539831.48848,0.6469027005432891
2,110.0,1645402.083566721,2539831.48848,0.647839075556716
2,120.0,1703392.6065417705,2539831.48848,0.670671504888378
2,130.0,1635659.2193188467,2539831.48848,0.6440030477367344
2,140.0,1700077.662382092,2539831.48848,0.6693663221726293
2,150.0,1658000.4420480616,2539831.48848,0.6527993882934009
2,160.0,1707038.8050449088,2539831.48848,0.6721071113526952
2,170.0,1679351.6507367285,2539831.48848,0.661205933682538
2,180.0,1733732.9484152854,2539831.48848,0.6826173138962317
5,0.0,1195587.5870850044,1505249.78076,0.7942785326175917
5,10.0,1225609.6830593506,1505249.78076,0.8142234589401772
5,20.0,1268187.6036075167,1505249.78076,0.842509741451156
5,30.0,1292946.5557137604,1505249.78076,0.8589581425223343
5,40.0,1322320.3501681723,1505249.78076,0.8784723751964496
5,50.0,1306022.229881815,1505249.78076,0.8676448564054298
5,60.0,992198.3100742548,1505249.78076,0.6591585813573706
5,70.0,1358169.1345910344,1505249.78076,0.9022882128607886
5,80.0,1316124.5967825442,1505249.78076,0.8743562786755786
5,90.0,1295199.7465067264,1505249.78076,0.8604550308273624
5,100.0,1259137.6506648178,1505249.78076,0.8364974815203625
5,110.0,1281381.8185540347,1505249.78076,0.8512752069009208
5,120.0,1259820.3269881115,1505249.78076,0.8369510117796056
5,130.0,1286505.4924499793,1505249.78076,0.854679076452297
5,140.0,1281233.3141234932,1505249.78076,0.8511765492346386
5,150.0,1277164.164305992,1505249.78076,0.8484732438633223
5,160.0,1283661.8695178342,1505249.78076,0.8527899395339648
5,170.0,1243823.9484972581,1505249.78076,0.8263239526062259
5,180.0,1200565.120528327,1505249.78076,0.7975853149914841
15,0.0,650042.8024551393,808128.20088,0.8043807922397513
15,10.0,683867.1849966473,808128.20088,0.8462360108853516
15,20.0,623925.1663673668,808128.20088,0.7720621130260671
15,30.0,588174.9421000426,808128.20088,0.7278238050095983
15,40.0,657312.1374489386,808128.20088,0.8133760667344211
15,50.0,668914.2227997794,808128.20088,0.8277328053536239
15,60.0,665418.0865459763,808128.20088,0.8234065904659416
15,70.0,665078.4494468939,808128.20088,0.8229863142044368
15,80.0,591822.6394587798,808128.20088,0.7323375657653362
15,90.0,663763.7639648714,808128.20088,0.8213594863315933
15,100.0,642799.5777995903,808128.20088,0.7954178273937509
15,110.0,609573.7204998076,808128.20088,0.7543032402977903
15,120.0,608582.3318269294,808128.20088,0.753076468763523
15,130.0,657805.6665017484,808128.20088,0.8139867731202054
15,140.0,641085.1134753671,808128.20088,0.7932963022169828
15,150.0,621864.8479037912,808128.20088,0.7695126184516518
15,160.0,662993.6705196535,808128.20088,0.8204065515814145
15,170.0,625579.7197564931,808128.20088,0.7741095027685914
15,180.0,651311.8562030304,808128.20088,0.8059511541532561
