farm_id,year,n_turb,capacity_kW,n_hours,wake_model,turbine_type,country,region,TI,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,Volatility_kW,CV,P5_kW,P95_kW,RampFreq,low_hours,high_hours,precompute_time_s
1,2016,2,20000.0,7995,gauss,iea_10MW,China,east_asia,0.08,68427220.04085764,68952759.02146289,0.4279375862467645,0.0076217251936454115,6693.369398051101,0.8592276108451411,0.0,18430.0,0.12102926107252647,0.27140255009107467,0.1736111111111111,0.9173166000000492
3,2019,2,20000.0,8050,gauss,iea_10MW,China,east_asia,0.08,60978212.20302364,61532791.952644475,0.3787466596461096,0.009012751283049793,6363.439391049946,0.9141581402879083,0.0,18430.0,0.11165658180157552,0.29577625570776256,0.13378995433789953,0.8824396000018169
10,2014,2,20000.0,8295,gauss,iea_10MW,United Kingdom,europe,0.06,97669694.63700035,100843495.38343312,0.5887263088426784,0.03147253805875285,7086.5427131829765,0.635592385111909,4.434231908188549,18430.0,0.12158922251398561,0.16164383561643836,0.3713470319634703,0.9418800999992527
10,2015,2,20000.0,8226,gauss,iea_10MW,United Kingdom,europe,0.06,102765727.07138306,104949101.29764906,0.6246397220482802,0.020804125040324722,7155.991690864079,0.6099941001577899,0.0,18430.0,0.1278684781367736,0.16004566210045662,0.4300228310502283,1.1533578999988094
10,2016,2,20000.0,8252,gauss,iea_10MW,United Kingdom,europe,0.06,92525582.12875757,95009405.36942276,0.5606251946725495,0.026142919545779787,7165.622747370634,0.6802748900872962,0.0,18430.0,0.12216782420585222,0.18579234972677597,0.3422131147540984,1.5390738999994937
10,2017,2,20000.0,8268,gauss,iea_10MW,United Kingdom,europe,0.06,101323662.91135149,103585032.54650916,0.6127459053661798,0.02183104623867672,7129.685138866334,0.6164013422127479,0.0,18430.0,0.12695513186436808,0.1574200913242009,0.40228310502283104,1.213211099999171
46,2014,2,20000.0,8190,gauss,iea_10MW,China,east_asia,0.1,105637007.71295503,106172282.28232287,0.6449145770021675,0.005041566008202513,7187.871205643321,0.5960576991401617,0.0,18430.0,0.09624386345473228,0.1547945205479452,0.46358447488584476,1.130494600001839
46,2015,2,20000.0,8276,gauss,iea_10MW,China,east_asia,0.1,114887646.19477148,115308207.65191373,0.6941012940718432,0.0036472811927821935,7022.1252220156475,0.5354258615462569,0.0,18430.0,0.07557940404155726,0.14132420091324202,0.55,0.9945702999975765
46,2016,2,20000.0,8117,gauss,iea_10MW,China,east_asia,0.1,105376201.46295092,105909294.40222621,0.6491080538558021,0.005033485892661079,7243.0723684620625,0.6037715043936172,0.0,18430.0,0.09176818854605488,0.17190346083788707,0.4525273224043716,1.0980730000010226
46,2017,2,20000.0,8277,gauss,iea_10MW,China,east_asia,0.1,113824585.4033282,114315375.14810593,0.6875956590753183,0.004293296016759569,6894.290105137541,0.5305881950459445,0.0,18430.0,0.08950793469574152,0.1300228310502283,0.5176940639269406,1.129537299999356
46,2018,2,20000.0,8171,gauss,iea_10MW,China,east_asia,0.1,108349528.09786378,108886454.58280325,0.6630126551087001,0.004931067753070814,7105.683534611887,0.5744906217494395,0.0,18430.0,0.08357118392510561,0.1547945205479452,0.4691780821917808,1.1193091999994067
46,2019,2,20000.0,8297,gauss,iea_10MW,China,east_asia,0.1,114209604.73143585,114716121.43010299,0.6882584351659385,0.004415392469276967,6795.17291729866,0.5211970998018172,15.680030302729689,18430.0,0.0911062906724512,0.12819634703196348,0.4977168949771689,1.095138799999404
46,2020,2,20000.0,8432,gauss,iea_10MW,China,east_asia,0.1,119874506.55388655,120342358.5095158,0.710830802620295,0.003887674808968157,6592.372616006193,0.4830668565293955,267.3317290518238,18430.0,0.08220425822611864,0.10644353369763206,0.5540755919854281,1.316629599998123
58,2018,2,20000.0,7962,gauss,iea_10MW,France,europe,0.07,66235665.8023276,66731139.7442524,0.41594866743486314,0.007424928508994499,6644.779808102559,0.8788055560986436,0.0,18430.0,0.121817559082087,0.27751141552511416,0.17271689497716894,1.2896055999990494
58,2019,2,20000.0,8004,gauss,iea_10MW,France,europe,0.07,69530940.84362122,70008249.81856717,0.4343512046702975,0.006817896121999017,6889.829073784445,0.8680294262390771,0.0,18430.0,0.12478593446740495,0.2680365296803653,0.20536529680365298,1.1291295000009995
58,2020,2,20000.0,8044,gauss,iea_10MW,France,europe,0.07,77204455.23642796,77709389.1010358,0.4798884587047984,0.006497720165465957,7027.761869029483,0.7995893510097273,0.0,18430.0,0.12250939314584994,0.24077868852459017,0.23485883424408013,1.117821299998468
58,2021,2,20000.0,8074,gauss,iea_10MW,France,europe,0.07,69377748.65210518,69887700.02603029,0.4296367887794475,0.007296725657521551,6675.022997697386,0.8428235651324325,0.0,18430.0,0.1292384975453819,0.2522831050228311,0.18664383561643835,1.099947600003361
