farm_id,year,AEP_real_kWh,AEP_baseWD_kWh,Delta_AEP_WD_kWh,WakeLoss_real,WakeLoss_baseWD,Delta_WakeLoss_WD
0,2018,7767160304.2,7832910947.5,-65750643.3,0.0901,0.0824,0.0077
1,2018,7624759938.5,7709167155.4,-84407216.9,0.1240,0.1143,0.0097
14,2018,1020614868.8,1009370361.0,11244507.8,0.1090,0.1189,-0.0098
19,2018,391549523.5,384747531.1,6801992.4,0.0457,0.0623,-0.0166
24,2018,3941074840.2,3973588657.4,-32513817.2,0.2052,0.1986,0.0066
34,2018,547804789.1,537861442.6,9943346.5,0.0464,0.0637,-0.0173
38,2018,2136541394.6,2159050683.5,-22509288.9,0.1326,0.1234,0.0091
45,2018,2213286085.7,2221506391.3,-8220305.5,0.0582,0.0547,0.0035
46,2018,108786461.4,108787003.8,-542.5,0.0009,0.0009,0.0000
50,2018,2653051897.6,2688795320.6,-35743423.0,0.1275,0.1158,0.0118
57,2018,628965944.2,669671539.5,-40705595.3,0.4859,0.4526,0.0333
63,2018,1112931453.3,1137659305.9,-24727852.6,0.1146,0.0949,0.0197
71,2018,106785006.1,105699910.8,1085095.3,0.0268,0.0367,-0.0099
72,2018,97050133.8,96692402.8,357731.1,0.0127,0.0163,-0.0036
74,2018,1866059385.6,1822764889.7,43294495.9,0.0695,0.0911,-0.0216
81,2018,618107329.0,609547749.1,8559580.0,0.0646,0.0775,-0.0130
88,2018,1367703213.4,1333464931.9,34238281.4,0.1173,0.1394,-0.0221
89,2018,1736715655.8,1754991355.3,-18275699.4,0.1280,0.1188,0.0092
97,2018,693652257.3,715454110.5,-21801853.2,0.1872,0.1616,0.0255
98,2018,44946944.4,44917151.5,29792.9,0.0014,0.0021,-0.0007
101,2018,141584414.4,141583925.3,489.1,0.0001,0.0001,-0.0000
109,2018,1231177559.1,1221014238.1,10163321.0,0.0917,0.0991,-0.0075
124,2018,89867935.7,89862019.0,5916.7,0.0001,0.0002,-0.0001
131,2018,679859219.7,695027449.9,-15168230.1,0.1146,0.0949,0.0198
135,2018,64417435.4,64529295.1,-111859.7,0.0165,0.0148,0.0017
139,2018,329419606.1,327092937.7,2326668.3,0.0878,0.0942,-0.0064
147,2018,298871199.9,303482366.9,-4611167.1,0.0436,0.0289,0.0148
165,2018,89938693.9,89372053.6,566640.4,0.0607,0.0666,-0.0059
168,2018,60424643.1,60580870.6,-156227.6,0.0381,0.0356,0.0025
169,2018,81564415.8,81218399.2,346016.6,0.0349,0.0390,-0.0041
0,2019,11567224096.3,11646091339.8,-78867243.5,0.1245,0.1185,0.0060
1,2019,8376419005.1,8484295358.3,-107876353.2,0.1563,0.1455,0.0109
3,2019,61484448.8,61439445.2,45003.6,0.0007,0.0014,-0.0007
4,2019,187837316.3,188232726.8,-395410.6,0.0235,0.0215,0.0021
14,2019,1765431626.4,1764850924.4,580702.0,0.1440,0.1443,-0.0003
19,2019,2138021622.7,2080517708.4,57503914.3,0.1630,0.1855,-0.0225
24,2019,3025344294.0,3063372426.3,-38028132.3,0.2317,0.2221,0.0097
32,2019,186934263.0,189492130.5,-2557867.6,0.0441,0.0311,0.0131
34,2019,1021641383.3,1007876815.3,13764568.0,0.0387,0.0517,-0.0130
38,2019,1659323575.9,1668715865.2,-9392289.4,0.1517,0.1469,0.0048
45,2019,2893887447.2,2898979548.4,-5092101.2,0.0593,0.0577,0.0017
46,2019,114675648.9,114603720.3,71928.5,0.0003,0.0010,-0.0006
50,2019,2275747391.9,2303955272.7,-28207880.8,0.1349,0.1241,0.0107
52,2019,308321293.5,306916938.3,1404355.2,0.0121,0.0166,-0.0045
57,2019,771699971.3,798860328.2,-27160356.9,0.4510,0.4316,0.0193
63,2019,1640627676.5,1688580562.3,-47952885.8,0.1554,0.1307,0.0247
71,2019,858068622.9,864076420.3,-6007797.5,0.0879,0.0815,0.0064
72,2019,1086682554.1,1102924807.3,-16242253.2,0.1138,0.1006,0.0132
74,2019,1891787131.4,1864769370.0,27017761.4,0.0892,0.1022,-0.0130
81,2019,1003342889.3,996652072.6,6690816.7,0.0455,0.0519,-0.0064
88,2019,1172193275.5,1144075175.0,28118100.5,0.1234,0.1444,-0.0210
89,2019,1397974150.1,1410198485.7,-12224335.6,0.1554,0.1480,0.0074
92,2019,183014618.5,185515668.3,-2501049.8,0.0426,0.0295,0.0131
97,2019,673953609.0,694680018.3,-20726409.3,0.1955,0.1708,0.0247
98,2019,132162745.8,131363251.0,799494.8,0.0308,0.0367,-0.0059
101,2019,150154057.2,150152594.0,1463.2,0.0001,0.0001,-0.0000
109,2019,944361730.7,936640725.3,7721005.3,0.1099,0.1172,-0.0073
124,2019,95959928.6,95958293.0,1635.7,0.0002,0.0002,-0.0000
131,2019,575765906.5,590682553.3,-14916646.8,0.1245,0.1018,0.0227
135,2019,65104476.5,65464164.8,-359688.3,0.0194,0.0139,0.0054
139,2019,447873783.6,443143144.8,4730638.8,0.1162,0.1256,-0.0093
147,2019,291978211.4,298860663.7,-6882452.3,0.0510,0.0287,0.0224
165,2019,82313412.3,81521397.7,792014.6,0.0595,0.0686,-0.0090
168,2019,59230077.0,59735760.0,-505683.0,0.0436,0.0355,0.0082
169,2019,70228518.3,69970102.5,258415.8,0.0371,0.0406,-0.0035
0,2020,17453953628.2,17601064650.5,-147111022.3,0.1294,0.1221,0.0073
1,2020,11948741598.3,12034794029.0,-86052430.7,0.1443,0.1382,0.0062
3,2020,1630980411.9,1638620583.0,-7640171.1,0.0616,0.0572,0.0044
4,2020,1670316625.5,1740751261.5,-70434636.0,0.1346,0.0981,0.0365
14,2020,1911189504.6,1918261651.1,-7072146.6,0.1509,0.1477,0.0031
19,2020,3634019175.9,3601699778.1,32319397.8,0.1666,0.1740,-0.0074
24,2020,3191055781.8,3223465090.4,-32409308.6,0.2286,0.2207,0.0078
32,2020,2703867489.9,2713941845.6,-10074355.7,0.1150,0.1117,0.0033
34,2020,2574336299.4,2544945599.7,29390699.7,0.0453,0.0562,-0.0109
38,2020,2191717461.3,2188435195.3,3282266.0,0.1309,0.1322,-0.0013
39,2020,114462199.2,117035493.3,-2573294.1,0.0305,0.0087,0.0218
45,2020,3541666133.0,3547358897.8,-5692764.8,0.0647,0.0632,0.0015
46,2020,120298041.3,120226887.1,71154.2,0.0004,0.0009,-0.0006
50,2020,2263117757.0,2295171900.5,-32054143.4,0.1363,0.1240,0.0122
52,2020,701416616.4,699810783.2,1605833.2,0.0308,0.0330,-0.0022
57,2020,671472221.3,707192064.9,-35719843.6,0.4428,0.4131,0.0296
63,2020,1718831889.6,1776104860.1,-57272970.5,0.1799,0.1526,0.0273
66,2020,85947695.6,88249005.8,-2301310.2,0.0529,0.0276,0.0254
71,2020,855993738.5,861380438.9,-5386700.4,0.0878,0.0821,0.0057
72,2020,1286999348.8,1302029018.2,-15029669.4,0.1013,0.0908,0.0105
74,2020,2257513358.2,2203868233.5,53645124.7,0.0805,0.1023,-0.0219
78,2020,626721334.9,636381788.1,-9660453.2,0.0894,0.0753,0.0140
81,2020,2542302693.2,2523733289.6,18569403.6,0.0762,0.0830,-0.0067
88,2020,1153918258.3,1135838935.7,18079322.6,0.1277,0.1414,-0.0137
89,2020,1610789294.2,1624397453.8,-13608159.6,0.1475,0.1403,0.0072
91,2020,901963221.9,861918569.5,40044652.5,0.1078,0.1474,-0.0396
92,2020,1727347956.0,1750348747.1,-23000791.0,0.1223,0.1106,0.0117
97,2020,807218441.5,832750744.5,-25532303.0,0.1841,0.1582,0.0258
98,2020,446536833.6,443847170.1,2689663.5,0.1307,0.1359,-0.0052
101,2020,771614927.0,769457203.6,2157723.5,0.0281,0.0308,-0.0027
107,2020,206442296.4,206146624.5,295671.9,0.0494,0.0507,-0.0014
109,2020,1019833383.0,1011886360.3,7947022.6,0.1054,0.1124,-0.0070
111,2020,88780536.5,87333177.3,1447359.2,0.0090,0.0252,-0.0162
112,2020,40696547.4,40519773.6,176773.8,0.0035,0.0079,-0.0043
115,2020,65777462.3,65578164.9,199297.4,0.0051,0.0081,-0.0030
124,2020,812674881.8,807160380.9,5514500.9,0.0508,0.0572,-0.0064
130,2020,35183029.8,35031373.4,151656.4,0.0073,0.0116,-0.0043
131,2020,575928667.9,588128979.8,-12200312.0,0.1208,0.1022,0.0186
135,2020,61692527.2,62078914.2,-386387.0,0.0206,0.0145,0.0061
139,2020,529014076.3,527092288.5,1921787.7,0.1095,0.1128,-0.0032
147,2020,271705638.3,276342398.3,-4636760.0,0.0477,0.0314,0.0163
165,2020,78676672.2,78216232.3,460439.8,0.0667,0.0722,-0.0055
168,2020,55122011.0,55194133.8,-72122.8,0.0393,0.0381,0.0013
169,2020,69669523.4,69229494.0,440029.3,0.0345,0.0406,-0.0061
0,2021,29413253640.9,29689188532.4,-275934891.5,0.1303,0.1222,0.0082
1,2021,18807439341.3,19068811293.9,-261371952.6,0.1308,0.1187,0.0121
3,2021,13861891230.4,14015467190.7,-153575960.3,0.1500,0.1406,0.0094
4,2021,9274026519.1,9407823628.5,-133797109.4,0.2142,0.2028,0.0113
6,2021,3049779199.0,3111329374.4,-61550175.4,0.1204,0.1027,0.0178
8,2021,731380917.9,747994966.1,-16614048.2,0.0747,0.0537,0.0210
12,2021,1621929918.3,1626115087.5,-4185169.2,0.1231,0.1209,0.0023
14,2021,3935145890.4,3941576554.2,-6430663.8,0.1172,0.1157,0.0014
19,2021,4722728375.0,4745829919.7,-23101544.7,0.1640,0.1599,0.0041
21,2021,122208912.4,122165186.2,43726.2,0.0040,0.0044,-0.0004
24,2021,3751680204.7,3821025221.0,-69345016.3,0.2134,0.1989,0.0145
28,2021,4429548144.8,4532059452.0,-102511307.3,0.1197,0.0993,0.0204
32,2021,3226771327.1,3236470534.1,-9699207.0,0.1374,0.1348,0.0026
34,2021,5583412112.9,5493190087.9,90222025.0,0.0749,0.0898,-0.0149
35,2021,2744992668.5,2804016510.9,-59023842.4,0.1458,0.1274,0.0184
37,2021,2528648935.3,2565602942.7,-36954007.4,0.1349,0.1223,0.0126
38,2021,3388430625.5,3425426597.1,-36995971.7,0.1553,0.1461,0.0092
39,2021,687642270.2,683357923.8,4284346.4,0.0928,0.0984,-0.0057
41,2021,1169950726.9,1173418114.9,-3467388.0,0.0904,0.0877,0.0027
45,2021,4807978632.0,4810769136.1,-2790504.1,0.0872,0.0867,0.0005
46,2021,3190347407.8,3184885543.7,5461864.1,0.0286,0.0302,-0.0017
47,2021,1184272907.3,1177969372.8,6303534.5,0.0958,0.1006,-0.0048
50,2021,2900304532.0,2939836998.9,-39532467.0,0.1219,0.1099,0.0120
52,2021,2866745260.6,2863617059.1,3128201.6,0.0791,0.0801,-0.0010
