farm_id,year,n_turb,capacity_kW,n_hours,AEP_kWh,CF,WakeLoss,Volatility_kW,CV,P5_kW,P95_kW,RampFreq,low_hours,high_hours
0,2014,8,80000.0,7927,282688887.6,0.4458,0.0057,26449.8,0.7417,2044.6,73720.0,0.0380,0.1743,0.2423
24,2014,147,1470000.0,7897,3527869237.2,0.3039,0.2048,416956.0,0.9333,18022.6,1354605.0,0.0227,0.2797,0.1036
34,2014,5,50000.0,8041,255574960.7,0.6357,0.0076,16772.3,0.5277,2113.4,46075.0,0.0241,0.0955,0.5154
38,2014,63,630000.0,8119,1964344020.1,0.3840,0.1434,199594.1,0.8250,12218.0,580545.0,0.0351,0.2205,0.1751
45,2014,8,80000.0,8041,392132492.8,0.6096,0.0484,27147.0,0.5567,2952.0,73720.0,0.0215,0.1060,0.4761
46,2014,2,20000.0,8171,106101992.7,0.6493,0.0006,6629.9,0.5106,1078.7,18430.0,0.0275,0.0859,0.5363
57,2014,48,480000.0,7356,431838184.1,0.1223,0.4397,67634.9,1.1521,2969.5,194068.5,0.0034,0.5591,0.0054
88,2014,19,190000.0,7532,478431438.7,0.3343,0.0502,57171.1,0.9001,3516.5,175085.0,0.0366,0.2625,0.1377
89,2014,2,20000.0,8141,71005813.8,0.4361,0.0011,6477.6,0.7427,593.8,18430.0,0.0314,0.1706,0.2248
97,2014,5,50000.0,7779,131527916.7,0.3382,0.0589,14423.9,0.8531,1062.5,46075.0,0.0310,0.2417,0.1160
101,2014,2,20000.0,7967,93226927.0,0.5851,0.0000,6853.8,0.5857,727.0,18430.0,0.0254,0.1161,0.4381
109,2014,19,190000.0,7931,606916800.5,0.4028,0.0536,60234.2,0.7871,4478.2,175085.0,0.0335,0.1947,0.1903
131,2014,10,100000.0,7617,268710316.2,0.3528,0.0617,31029.9,0.8796,1676.6,92150.0,0.0364,0.2481,0.1556
165,2014,4,40000.0,7293,81657015.2,0.2799,0.0571,11106.7,0.9920,567.7,36860.0,0.0372,0.3217,0.0947
168,2014,3,30000.0,7346,55134142.4,0.2502,0.0429,7652.0,1.0195,473.8,27175.9,0.0385,0.3455,0.0672
169,2014,3,30000.0,7532,77108988.8,0.3413,0.0305,9067.0,0.8857,570.7,27645.0,0.0351,0.2565,0.1410
0,2015,8,80000.0,7741,246749898.4,0.3984,0.0062,25592.7,0.8029,1886.8,73720.0,0.0357,0.2159,0.1907
24,2015,147,1470000.0,7697,2967114357.1,0.2622,0.2263,380979.9,0.9883,17330.2,1311552.4,0.0220,0.3364,0.0654
34,2015,5,50000.0,8153,278309854.4,0.6827,0.0066,16226.8,0.4754,2243.9,46075.0,0.0202,0.0902,0.5902
38,2015,63,630000.0,7974,1728301340.3,0.3440,0.1542,192179.2,0.8867,8959.0,580545.0,0.0379,0.2568,0.1460
45,2015,8,80000.0,8153,429676058.1,0.6588,0.0414,26332.9,0.4997,3085.6,73720.0,0.0178,0.0975,0.5446
46,2015,2,20000.0,8256,115264354.0,0.6981,0.0004,6401.3,0.4585,1111.3,18430.0,0.0243,0.0832,0.6195
57,2015,48,480000.0,7884,544181764.3,0.1438,0.4362,68909.8,0.9984,3500.8,209913.0,0.0036,0.4731,0.0016
88,2015,19,190000.0,7429,440062414.7,0.3118,0.0488,54172.4,0.9145,3311.4,175085.0,0.0420,0.2812,0.1086
89,2015,2,20000.0,7960,63225359.1,0.3971,0.0015,6274.7,0.7900,538.8,18430.0,0.0334,0.1930,0.1814
97,2015,5,50000.0,7986,131770664.4,0.3300,0.0569,13268.8,0.8042,1151.7,45591.1,0.0349,0.2196,0.0790
101,2015,2,20000.0,8070,103281470.8,0.6399,0.0000,6618.1,0.5171,804.8,18430.0,0.0201,0.0960,0.5038
109,2015,19,190000.0,7787,517650843.4,0.3499,0.0604,57898.5,0.8710,3798.4,175085.0,0.0348,0.2563,0.1468
131,2015,10,100000.0,7495,244546169.3,0.3263,0.0674,29386.6,0.9007,1710.3,92150.0,0.0403,0.2751,0.1209
165,2015,4,40000.0,7216,81307357.3,0.2817,0.0592,11168.7,0.9912,574.5,36860.0,0.0419,0.3268,0.0962
168,2015,3,30000.0,7161,59108097.4,0.2751,0.0475,8088.6,0.9799,473.6,27604.2,0.0381,0.3233,0.0845
169,2015,3,30000.0,7429,70147542.2,0.3147,0.0397,8549.8,0.9055,546.7,27645.0,0.0392,0.2758,0.1080
0,2016,47,470000.0,8028,1578660882.7,0.4184,0.0545,150894.0,0.7673,11923.6,433105.0,0.0320,0.1847,0.2078
