farm_id,year,n_turb,capacity_kW,n_hours,wake_model,AEP_kWh,CF,WakeLoss,Volatility_kW,CV,P5_kW,P95_kW,RampFreq,low_hours,high_hours
0,2014,8,80000.0,7927,gaussian,282688887.6,0.4458,0.0057,26449.8,0.7417,2044.6,73720.0,0.0380,0.1743,0.2423
0,2014,8,80000.0,7927,jensen,282636502.5,0.4457,0.0059,26452.1,0.7419,2036.2,73720.0,0.0380,0.1741,0.2423
0,2014,8,80000.0,7927,curl,282638029.8,0.4457,0.0058,26451.8,0.7419,2043.4,73720.0,0.0377,0.1743,0.2423
46,2014,2,20000.0,8171,gaussian,106101992.7,0.6493,0.0006,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2014,2,20000.0,8171,jensen,106098035.5,0.6492,0.0007,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
46,2014,2,20000.0,8171,curl,106093197.6,0.6492,0.0007,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
89,2014,2,20000.0,8141,gaussian,71005813.8,0.4361,0.0011,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
89,2014,2,20000.0,8141,jensen,71027985.7,0.4362,0.0007,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
89,2014,2,20000.0,8141,curl,71011596.0,0.4361,0.0010,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2014,2,20000.0,7967,gaussian,93226927.0,0.5851,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2014,2,20000.0,7967,jensen,93226982.7,0.5851,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
101,2014,2,20000.0,7967,curl,93226601.3,0.5851,0.0000,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2014,3,30000.0,7346,gaussian,55134142.4,0.2502,0.0429,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2014,3,30000.0,7346,jensen,54112877.8,0.2455,0.0607,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
168,2014,3,30000.0,7346,curl,54828174.3,0.2488,0.0483,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2014,3,30000.0,7532,gaussian,77108988.8,0.3413,0.0305,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2014,3,30000.0,7532,jensen,76222348.9,0.3373,0.0417,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
169,2014,3,30000.0,7532,curl,76793459.2,0.3399,0.0345,0.0,0.0000,0.0,0.0,0.0000,0.0000,0.0000
0,2015,8,80000.0,7741,gaussian,246749898.4,0.3984,0.0062,25592.7,0.8029,1886.8,73720.0,0.0357,0.2159,0.1907
