farm_id,year,country,farm_label,n_turb,turbine_type,wake_model,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s
152,2024,Denmark,Small (10t),10,ow_6MW,gauss,250494345.3921148,264778394.9257808,0.3040348894187581,0.0539471868075563,1.142214899999999
152,2024,Denmark,Small (10t),10,ow_6MW,jensen,249795766.7379179,264778394.9257808,0.30318699689029965,0.0565855389827506,0.45297310000000834
152,2024,Denmark,Small (10t),10,ow_8MW,gauss,310812432.7517825,331526506.15799737,0.37697080988694054,0.06248089676528933,1.2108499999999367
152,2024,Denmark,Small (10t),10,ow_8MW,jensen,310488361.90764874,331526506.15799737,0.3765777585295922,0.06345840787862182,0.46129450000012184
152,2024,Denmark,Small (10t),10,ow_10MW,gauss,413288205.0834396,447593400.48374426,0.5009554001011389,0.07664365775551817,1.0737448999998378
152,2024,Denmark,Small (10t),10,ow_10MW,jensen,416607302.638031,447593400.48374426,0.5049785486521587,0.06922822770001635,0.44715980000000854
152,2024,Denmark,Small (10t),10,ow_12MW,gauss,507040879.60165983,554197964.416165,0.6133311716483124,0.08509068571585982,1.0488146000000143
152,2024,Denmark,Small (10t),10,ow_12MW,jensen,512260648.08457494,554197964.416165,0.6196451531203278,0.07567208655443199,0.45448129999999765
152,2024,Denmark,Small (10t),10,ow_15MW,gauss,620377001.1817998,686417898.9332429,0.7497003035429605,0.09621092027768627,1.0738949999999932
152,2024,Denmark,Small (10t),10,ow_15MW,jensen,626001790.5827157,686417898.9332429,0.7564976321241278,0.088016510706407,0.4696440000000166
50,2024,China,Medium (100t),100,ow_6MW,gauss,1626408210.8179104,1766855551.2368853,0.21040209713038946,0.07948999584072103,26.74724470000001
50,2024,China,Medium (100t),100,ow_6MW,jensen,1597358113.8250291,1766855551.2368853,0.20664399920116808,0.09593168909207075,10.603887399999849
50,2024,China,Medium (100t),100,ow_8MW,gauss,1958362564.2304852,2157505883.0872073,0.25259416538507484,0.09230256122025725,32.39296169999989
50,2024,China,Medium (100t),100,ow_8MW,jensen,1911417951.6634529,2157505883.0872073,0.2465391399024188,0.11406130261467634,11.708637100000033
50,2024,China,Medium (100t),100,ow_10MW,gauss,2663284767.3319745,3004377132.074756,0.34276509232071745,0.11353180700960495,29.580097900000055
50,2024,China,Medium (100t),100,ow_10MW,jensen,2593033034.1728973,3004377132.074756,0.3337236852217371,0.13691493438368496,10.963508900000079
50,2024,China,Medium (100t),100,ow_12MW,gauss,3300938410.113119,3773243775.199424,0.42330577200732483,0.12517223726456486,28.126691400000027
50,2024,China,Medium (100t),100,ow_12MW,jensen,3197746570.594939,3773243775.199424,0.41007265588547565,0.15252054701238282,10.797184900000047
50,2024,China,Medium (100t),100,ow_15MW,gauss,3993800260.2361383,4657231022.771095,0.509933638947413,0.14245176142028906,28.002772800000002
50,2024,China,Medium (100t),100,ow_15MW,jensen,3851410818.051158,4657231022.771095,0.4917531688012204,0.17302560271971798,10.63413780000019
42,2024,Taiwan,Medium (111t),111,ow_6MW,gauss,3027303680.9451323,3075622595.3806973,0.3501477228738071,0.01571028724660027,32.20594890000007
42,2024,Taiwan,Medium (111t),111,ow_6MW,jensen,3001587030.0422754,3075622595.3806973,0.3471732519575742,0.024071732809355883,12.185729100000117
42,2024,Taiwan,Medium (111t),111,ow_8MW,gauss,3869585300.3831954,3940458012.154272,0.44670846786623575,0.01798590710837955,33.84711489999995
42,2024,Taiwan,Medium (111t),111,ow_8MW,jensen,3832459517.6570106,3940458012.154272,0.4424226335370878,0.027407599361328583,12.313213000000133
42,2024,Taiwan,Medium (111t),111,ow_10MW,gauss,5040861291.336929,5160185487.544954,0.5814745811372495,0.023124012982873508,32.16939090000005
