farm_id,year,D_down_D,D_cross_D
4,2019,13.48,11.99
4,2020,9.93,10.04
4,2021,12.0,12.12
4,2022,12.0,12.12
4,2023,12.0,12.13
4,2024,12.0,12.12
5,2018,13.66,11.35
5,2019,11.75,12.17
5,2020,11.75,12.17
5,2021,11.86,12.65
5,2022,11.89,12.63
5,2023,11.89,12.63
5,2024,11.89,12.63
8,2021,11.26,10.83
8,2022,11.6,9.73
8,2023,11.59,12.12
8,2024,12.15,12.09
28,2021,11.13,9.88
28,2022,11.13,9.88
28,2023,11.13,9.88
28,2024,11.13,9.88
33,2024,10.36,11.24
35,2021,10.11,10.8
35,2022,10.11,10.8
35,2023,10.15,10.79
35,2024,10.22,11.03
37,2021,10.86,8.75
37,2022,10.86,8.75
37,2023,10.86,8.75
37,2024,11.01,8.76
40,2021,7.46,5.05
40,2022,11.69,12.35
40,2023,11.72,11.86
40,2024,11.72,11.86
47,2021,10.11,10.91
47,2022,10.11,10.91
47,2023,10.99,11.84
47,2024,10.99,11.84
48,2019,10.36,11.64
48,2020,10.88,11.65
48,2021,10.88,11.65
48,2022,10.88,11.65
48,2023,10.88,11.65
48,2024,10.88,11.65
50,2017,10.2,10.68
50,2018,10.59,11.57
50,2019,10.58,11.55
50,2020,10.58,11.55
50,2021,10.58,11.55
50,2022,10.58,11.55
50,2023,10.58,11.55
50,2024,10.58,11.55
51,2017,11.34,8.3
51,2018,11.34,8.3
51,2019,11.34,8.3
51,2020,11.34,8.3
51,2021,11.34,8.3
51,2022,11.34,8.3
51,2023,11.34,8.3
51,2024,11.34,8.3
53,2021,11.51,10.65
53,2022,11.51,10.65
53,2023,11.51,10.65
53,2024,11.51,10.65
54,2021,9.14,8.96
54,2022,9.14,8.96
54,2023,9.14,8.96
54,2024,9.14,8.96
56,2023,3.39,10.96
56,2024,10.29,11.4
64,2021,6.38,7.47
64,2022,11.27,9.96
64,2023,11.01,9.92
64,2024,11.01,9.92
69,2023,9.53,10.69
69,2024,9.51,10.71
70,2022,9.03,10.02
70,2023,9.03,10.02
70,2024,9.03,10.02
75,2023,8.8,11.74
75,2024,8.8,11.74
77,2024,11.61,9.8
79,2023,10.81,8.38
79,2024,10.71,10.93
80,2017,10.22,8.4
80,2018,10.18,9.29
80,2019,10.18,9.29
80,2020,10.18,9.29
80,2021,10.18,9.29
80,2022,10.18,9.29
80,2023,10.18,9.29
80,2024,10.18,9.29
82,2021,11.24,7.89
82,2022,11.24,7.89
82,2023,11.24,7.89
82,2024,11.24,7.89
85,2023,7.71,10.96
85,2024,7.69,11.12
86,2021,8.92,8.33
86,2022,2.34,11.69
86,2023,2.34,11.69
86,2024,2.34,11.69
91,2020,9.68,11.22
91,2021,9.74,10.96
91,2022,9.74,10.96
91,2023,9.74,10.96
91,2024,9.74,10.96
92,2019,0.68,2.12
92,2020,5.3,9.3
