farm_id,year,commission_year,pre_window_start,pre_window_end,WPD_yearly,WCI_yearly,theta_energy_yearly,V_mean_yearly,WPD_hist,WCI_hist,theta_energy_hist,theta_freq_hist,V_mean_hist,WNS_hist
0,2014,2014,2014,2013,,,,,,,,,,
0,2015,2014,2014,2013,,,,,,,,,,
0,2016,2014,2014,2013,209.6,0.2433,271.0,5.64,,,,,,
0,2017,2014,2014,2013,231.1,0.261,271.9,5.69,,,,,,
0,2018,2014,2014,2013,234.3,0.2749,264.6,5.73,,,,,,
0,2019,2014,2014,2013,229.5,0.2462,274.3,5.75,,,,,,
0,2020,2014,2014,2013,212.8,0.2167,275.8,5.59,,,,,,
0,2021,2014,2014,2013,236.3,0.1574,270.2,5.74,,,,,,
0,2022,2014,2014,2013,230.4,0.2243,266.6,5.68,,,,,,
0,2023,2014,2014,2013,219.2,0.2805,267.2,5.65,,,,,,
0,2024,2014,2014,2013,192.9,0.2449,272.7,5.39,,,,,,
1,2014,2014,2014,2013,,,,,,,,,,
1,2015,2014,2014,2013,,,,,,,,,,
1,2016,2014,2014,2013,,,,,,,,,,
1,2017,2014,2014,2013,312.5,0.1815,305.3,6.58,,,,,,
1,2018,2014,2014,2013,313.3,0.0643,318.7,6.66,,,,,,
1,2019,2014,2014,2013,341.9,0.1684,301.1,6.72,,,,,,
1,2020,2014,2014,2013,334.9,0.1762,300.3,6.68,,,,,,
1,2021,2014,2014,2013,359.0,0.081,295.1,6.77,,,,,,
1,2022,2014,2014,2013,358.6,0.1433,306.9,6.79,,,,,,
1,2023,2014,2014,2013,359.2,0.1321,328.0,6.81,,,,,,
1,2024,2014,2014,2013,364.3,0.1149,335.6,6.81,,,,,,
2,2014,2014,2014,2013,,,,,,,,,,
2,2015,2014,2014,2013,,,,,,,,,,
2,2016,2014,2014,2013,,,,,,,,,,
2,2017,2014,2014,2013,,,,,,,,,,
2,2018,2014,2014,2013,,,,,,,,,,
2,2019,2014,2014,2013,320.8,0.1682,304.8,6.59,,,,,,
2,2020,2014,2014,2013,312.6,0.1831,305.1,6.52,,,,,,
2,2021,2014,2014,2013,336.6,0.0701,299.4,6.63,,,,,,
2,2022,2014,2014,2013,333.9,0.1503,312.5,6.64,,,,,,
2,2023,2014,2014,2013,334.7,0.1328,333.1,6.66,,,,,,
2,2024,2014,2014,2013,339.0,0.122,340.6,6.66,,,,,,
3,2014,2014,2014,2013,295.9,0.2104,222.6,6.5,,,,,,
3,2015,2014,2014,2013,327.2,0.1752,68.3,6.67,,,,,,
3,2016,2014,2014,2013,327.3,0.1504,129.1,6.77,,,,,,
3,2017,2014,2014,2013,308.5,0.1879,223.5,6.72,,,,,,
3,2018,2014,2014,2013,363.6,0.1333,129.0,6.9,,,,,,
3,2019,2014,2014,2013,331.3,0.2269,223.1,6.78,,,,,,
3,2020,2014,2014,2013,296.4,0.1369,253.3,6.59,,,,,,
3,2021,2014,2014,2013,354.6,0.1294,320.3,6.85,,,,,,
3,2022,2014,2014,2013,322.7,0.1507,229.1,6.77,,,,,,
3,2023,2014,2014,2013,348.1,0.1936,37.7,6.86,,,,,,
3,2024,2014,2014,2013,352.9,0.1231,74.3,6.96,,,,,,
4,2014,2019,2014,2018,221.2,0.2659,217.5,5.87,235.9,0.2169,146.2,180.9,6.02,39.89
4,2015,2019,2014,2018,238.6,0.2105,109.7,6.02,235.9,0.2169,146.2,180.9,6.02,39.89
4,2016,2019,2014,2018,240.2,0.1864,114.4,6.04,235.9,0.2169,146.2,180.9,6.02,39.89
4,2017,2019,2014,2018,230.0,0.2346,201.1,6.06,235.9,0.2169,146.2,180.9,6.02,39.89
4,2018,2019,2014,2018,249.3,0.1934,110.5,6.14,235.9,0.2169,146.2,180.9,6.02,39.89
4,2019,2019,2014,2018,250.5,0.2543,91.3,6.11,235.9,0.2169,146.2,180.9,6.02,39.89
4,2020,2019,2014,2018,221.7,0.1721,197.3,5.9,235.9,0.2169,146.2,180.9,6.02,39.89
4,2021,2019,2014,2018,266.9,0.1837,2.1,6.17,235.9,0.2169,146.2,180.9,6.02,39.89
4,2022,2019,2014,2018,239.9,0.1863,218.3,6.04,235.9,0.2169,146.2,180.9,6.02,39.89
4,2023,2019,2014,2018,255.2,0.2305,349.3,6.18,235.9,0.2169,146.2,180.9,6.02,39.89
4,2024,2019,2014,2018,243.4,0.1868,92.1,6.09,235.9,0.2169,146.2,180.9,6.02,39.89
5,2014,2018,2014,2017,182.1,0.2253,219.5,5.56,190.8,0.1883,183.5,182.1,5.64,41.66
5,2015,2018,2014,2017,197.7,0.1806,122.5,5.64,190.8,0.1883,183.5,182.1,5.64,41.66
5,2016,2018,2014,2017,196.2,0.1508,124.7,5.68,190.8,0.1883,183.5,182.1,5.64,41.66
5,2017,2018,2014,2017,187.1,0.1993,207.1,5.67,190.8,0.1883,183.5,182.1,5.64,41.66
5,2018,2018,2014,2017,205.0,0.1638,103.1,5.76,190.8,0.1883,183.5,182.1,5.64,41.66
5,2019,2018,2014,2017,203.8,0.2262,39.3,5.71,190.8,0.1883,183.5,182.1,5.64,41.66
5,2020,2018,2014,2017,181.0,0.1331,257.2,5.53,190.8,0.1883,183.5,182.1,5.64,41.66
5,2021,2018,2014,2017,217.7,0.1556,359.0,5.81,190.8,0.1883,183.5,182.1,5.64,41.66
5,2022,2018,2014,2017,200.0,0.157,227.0,5.69,190.8,0.1883,183.5,182.1,5.64,41.66
5,2023,2018,2014,2017,209.2,0.1924,253.0,5.81,190.8,0.1883,183.5,182.1,5.64,41.66
5,2024,2018,2014,2017,196.5,0.1459,87.2,5.71,190.8,0.1883,183.5,182.1,5.64,41.66
6,2014,2020,2014,2019,,,,,,,,,,
6,2015,2020,2014,2019,,,,,,,,,,
6,2016,2020,2014,2019,,,,,,,,,,
6,2017,2020,2014,2019,,,,,,,,,,
6,2018,2020,2014,2019,,,,,,,,,,
6,2019,2020,2014,2019,,,,,,,,,,
6,2020,2020,2014,2019,,,,,,,,,,
6,2021,2020,2014,2019,,,,,,,,,,
6,2022,2020,2014,2019,,,,,,,,,,
6,2023,2020,2014,2019,,,,,,,,,,
6,2024,2020,2014,2019,321.4,0.163,86.0,6.64,,,,,,
7,2014,2014,2014,2013,287.0,0.1658,316.2,6.27,,,,,,
7,2015,2014,2014,2013,297.3,0.1341,50.3,6.31,,,,,,
7,2016,2014,2014,2013,291.8,0.1381,88.1,6.42,,,,,,
7,2017,2014,2014,2013,270.2,0.1615,30.8,6.32,,,,,,
7,2018,2014,2014,2013,338.8,0.1348,66.5,6.67,,,,,,
7,2019,2014,2014,2013,297.7,0.1775,46.7,6.38,,,,,,
7,2020,2014,2014,2013,267.6,0.093,35.0,6.25,,,,,,
7,2021,2014,2014,2013,342.5,0.1356,14.6,6.73,,,,,,
7,2022,2014,2014,2013,305.2,0.1325,23.2,6.48,,,,,,
7,2023,2014,2014,2013,334.7,0.1351,23.9,6.63,,,,,,
7,2024,2014,2014,2013,327.7,0.103,52.3,6.68,,,,,,
8,2014,2021,2014,2020,326.7,0.17,317.7,6.58,334.5,0.1462,82.4,175.8,6.7,87.35
8,2015,2021,2014,2020,336.6,0.1424,61.4,6.6,334.5,0.1462,82.4,175.8,6.7,87.35
8,2016,2021,2014,2020,337.1,0.1488,97.1,6.75,334.5,0.1462,82.4,175.8,6.7,87.35
8,2017,2021,2014,2020,304.6,0.1685,121.1,6.62,334.5,0.1462,82.4,175.8,6.7,87.35
8,2018,2021,2014,2020,393.9,0.1429,88.5,7.03,334.5,0.1462,82.4,175.8,6.7,87.35
8,2019,2021,2014,2020,334.8,0.1809,84.6,6.71,334.5,0.1462,82.4,175.8,6.7,87.35
8,2020,2021,2014,2020,307.5,0.1018,63.5,6.6,334.5,0.1462,82.4,175.8,6.7,87.35
8,2021,2021,2014,2020,389.0,0.1376,23.4,7.07,334.5,0.1462,82.4,175.8,6.7,87.35
8,2022,2021,2014,2020,356.4,0.1348,75.4,6.84,334.5,0.1462,82.4,175.8,6.7,87.35
8,2023,2021,2014,2020,387.0,0.1317,34.9,6.96,334.5,0.1462,82.4,175.8,6.7,87.35
8,2024,2021,2014,2020,396.2,0.0999,57.7,7.12,334.5,0.1462,82.4,175.8,6.7,87.35
9,2014,2014,2014,2013,216.4,0.1506,271.3,5.79,,,,,,
9,2015,2014,2014,2013,219.6,0.117,42.8,5.76,,,,,,
9,2016,2014,2014,2013,218.6,0.1333,101.2,5.91,,,,,,
9,2017,2014,2014,2013,202.4,0.1477,340.6,5.79,,,,,,
9,2018,2014,2014,2013,249.0,0.1305,70.8,6.09,,,,,,
9,2019,2014,2014,2013,224.4,0.1571,37.3,5.86,,,,,,
9,2020,2014,2014,2013,204.3,0.0802,14.1,5.77,,,,,,
9,2021,2014,2014,2013,252.7,0.1313,6.4,6.16,,,,,,
9,2022,2014,2014,2013,229.6,0.1231,325.9,5.93,,,,,,
9,2023,2014,2014,2013,251.5,0.1129,14.1,6.1,,,,,,
9,2024,2014,2014,2013,238.2,0.09,49.2,6.08,,,,,,
10,2014,2014,2014,2013,,,,,,,,,,
10,2015,2014,2014,2013,,,,,,,,,,
10,2016,2014,2014,2013,,,,,,,,,,
10,2017,2014,2014,2013,,,,,,,,,,
10,2018,2014,2014,2013,,,,,,,,,,
10,2019,2014,2014,2013,,,,,,,,,,
10,2020,2014,2014,2013,,,,,,,,,,
10,2021,2014,2014,2013,,,,,,,,,,
10,2022,2014,2014,2013,,,,,,,,,,
10,2023,2014,2014,2013,417.4,0.1044,45.8,7.15,,,,,,
10,2024,2014,2014,2013,435.6,0.0858,69.4,7.34,,,,,,
11,2014,2014,2014,2013,,,,,,,,,,
11,2015,2014,2014,2013,,,,,,,,,,
11,2016,2014,2014,2013,,,,,,,,,,
11,2017,2014,2014,2013,,,,,,,,,,
11,2018,2014,2014,2013,,,,,,,,,,
11,2019,2014,2014,2013,,,,,,,,,,
11,2020,2014,2014,2013,,,,,,,,,,
11,2021,2014,2014,2013,,,,,,,,,,
11,2022,2014,2014,2013,,,,,,,,,,
11,2023,2014,2014,2013,455.9,0.1827,294.8,7.5,,,,,,
11,2024,2014,2014,2013,450.2,0.1261,309.0,7.47,,,,,,
12,2014,2021,2014,2020,,,,,,,,,,
12,2015,2021,2014,2020,,,,,,,,,,
12,2016,2021,2014,2020,,,,,,,,,,
12,2017,2021,2014,2020,,,,,,,,,,
12,2018,2021,2014,2020,,,,,,,,,,
12,2019,2021,2014,2020,,,,,,,,,,
12,2020,2021,2014,2020,,,,,,,,,,
12,2021,2021,2014,2020,,,,,,,,,,
12,2022,2021,2014,2020,,,,,,,,,,
12,2023,2021,2014,2020,357.5,0.0734,302.8,6.82,,,,,,
12,2024,2021,2014,2020,373.5,0.0242,5.2,6.94,,,,,,
13,2014,2014,2014,2013,,,,,,,,,,
13,2015,2014,2014,2013,,,,,,,,,,
13,2016,2014,2014,2013,,,,,,,,,,
13,2017,2014,2014,2013,,,,,,,,,,
13,2018,2014,2014,2013,,,,,,,,,,
13,2019,2014,2014,2013,,,,,,,,,,
13,2020,2014,2014,2013,,,,,,,,,,
13,2021,2014,2014,2013,319.8,0.1269,10.4,6.55,,,,,,
13,2022,2014,2014,2013,319.3,0.0831,75.1,6.47,,,,,,
13,2023,2014,2014,2013,344.1,0.0749,19.3,6.68,,,,,,
13,2024,2014,2014,2013,354.3,0.0867,53.2,6.74,,,,,,
14,2014,2017,2014,2016,,,,,,,,,,
14,2015,2017,2014,2016,,,,,,,,,,
14,2016,2017,2014,2016,,,,,,,,,,
14,2017,2017,2014,2016,,,,,,,,,,
14,2018,2017,2014,2016,,,,,,,,,,
14,2019,2017,2014,2016,,,,,,,,,,
14,2020,2017,2014,2016,253.6,0.0862,37.6,6.04,,,,,,
14,2021,2017,2014,2016,,,,,,,,,,
14,2022,2017,2014,2016,301.5,0.1199,129.5,6.37,,,,,,
14,2023,2017,2014,2016,323.6,0.1114,18.6,6.57,,,,,,
14,2024,2017,2014,2016,330.8,0.1046,61.3,6.61,,,,,,
15,2014,2014,2014,2013,,,,,,,,,,
15,2015,2014,2014,2013,,,,,,,,,,
15,2016,2014,2014,2013,,,,,,,,,,
15,2017,2014,2014,2013,,,,,,,,,,
15,2018,2014,2014,2013,,,,,,,,,,
15,2019,2014,2014,2013,,,,,,,,,,
15,2020,2014,2014,2013,297.6,0.1317,294.0,6.38,,,,,,
15,2021,2014,2014,2013,348.2,0.1099,272.5,6.81,,,,,,
15,2022,2014,2014,2013,335.7,0.1192,276.4,6.73,,,,,,
15,2023,2014,2014,2013,360.4,0.1505,284.1,6.84,,,,,,
15,2024,2014,2014,2013,338.8,0.0832,306.6,6.77,,,,,,
16,2014,2014,2014,2013,,,,,,,,,,
16,2015,2014,2014,2013,,,,,,,,,,
16,2016,2014,2014,2013,,,,,,,,,,
16,2017,2014,2014,2013,,,,,,,,,,
16,2018,2014,2014,2013,,,,,,,,,,
16,2019,2014,2014,2013,,,,,,,,,,
16,2020,2014,2014,2013,,,,,,,,,,
16,2021,2014,2014,2013,,,,,,,,,,
16,2022,2014,2014,2013,294.6,0.1174,272.1,6.43,,,,,,
16,2023,2014,2014,2013,322.6,0.1494,284.3,6.57,,,,,,
16,2024,2014,2014,2013,295.7,0.0809,303.0,6.47,,,,,,
17,2014,2014,2014,2013,,,,,,,,,,
17,2015,2014,2014,2013,,,,,,,,,,
17,2016,2014,2014,2013,,,,,,,,,,
17,2017,2014,2014,2013,343.6,0.278,328.8,6.53,,,,,,
17,2018,2014,2014,2013,333.4,0.2492,334.0,6.43,,,,,,
17,2019,2014,2014,2013,305.8,0.3202,339.8,6.15,,,,,,
17,2020,2014,2014,2013,381.8,0.2656,312.5,6.74,,,,,,
17,2021,2014,2014,2013,342.8,0.1477,309.1,6.4,,,,,,
17,2022,2014,2014,2013,373.4,0.2807,312.6,6.76,,,,,,
17,2023,2014,2014,2013,342.6,0.182,296.5,6.42,,,,,,
17,2024,2014,2014,2013,312.7,0.2028,303.5,6.17,,,,,,
18,2014,2014,2014,2013,,,,,,,,,,
18,2015,2014,2014,2013,,,,,,,,,,
18,2016,2014,2014,2013,,,,,,,,,,
18,2017,2014,2014,2013,,,,,,,,,,
