farm_id,n_turb,country,layout_type,spacing_d,WCI_hist,WPD_hist,theta_energy_hist,AxisMismatch,CrosswindAlign,P_A,P_B,P_C,P_D,P_E,paradigm_labels,confidence,is_ambiguous,has_expansion,total_new
0,928,China,multi_cluster,3.14,,,,,,0,0,1,0,0,C,1.0,0,True,928
1,588,China,multi_cluster,3.34,,,,,,0,0,1,0,1,C+E,1.0,0,True,592
2,572,Belgium,cluster,4.46,,,,,,0,0,1,0,1,C+E,1.0,0,True,572
3,441,China,belt,2.44,,,,,,0,0,1,0,0,C,1.0,0,True,448
4,364,China,multi_cluster,2.69,0.2169,235.9,146.2,136.2,43.80000000000001,0,0,1,0,0,C,1.0,0,True,364
5,339,United Kingdom,belt,7.07,0.1883,190.8,183.5,171.6,8.400000000000006,0,1,1,0,1,B+C+E,1.0,0,True,339
6,292,China,multi_cluster,3.32,,,,,,0,0,1,0,0,C,1.0,0,True,293
7,284,Netherlands,cluster,4.24,,,,,,0,0,1,0,1,C+E,1.0,0,True,284
8,278,China,multi_cluster,3.33,0.1462,334.5,82.4,3.200000000000003,3.200000000000003,0,0,1,0,1,C+E,1.0,0,True,278
9,267,United Kingdom,cluster,4.17,,,,,,0,0,1,0,1,C+E,1.0,0,True,267
10,246,United Kingdom,cluster,6.16,,,,,,0,0,1,0,1,C+E,1.0,0,True,254
11,246,Germany,cluster,3.48,,,,,,0,0,1,0,1,C+E,1.0,0,True,246
12,244,China,belt,2.75,,,,,,0,0,1,0,0,C,1.0,0,True,244
13,215,United Kingdom,cluster,3.5,,,,,,0,0,0,0,1,E,1.0,0,False,215
14,181,China,multi_cluster,3.7,,,,,,0,0,1,0,1,C+E,1.0,0,True,181
15,182,Netherlands,cluster,6.02,,,,,,0,0,1,0,1,C+E,1.0,0,True,182
16,178,Netherlands,belt,4.49,,,,,,0,0,1,0,1,C+E,1.0,0,True,178
17,175,United Kingdom,cluster,3.71,,,,,,0,0,0,0,1,E,1.0,0,False,175
18,174,Germany,belt,4.76,,,,,,0,0,1,0,1,C+E,1.0,0,True,174
19,171,China,cluster,3.12,,,,,,0,0,1,0,0,C,1.0,0,True,175
20,167,Netherlands,cluster,3.83,,,,,,0,0,1,0,1,C+E,1.0,0,True,167
21,162,China,multi_cluster,2.34,,,,,,0,0,1,0,0,C,1.0,0,True,169
22,161,Germany,belt,3.14,,,,,,0,0,1,0,0,C,1.0,0,True,161
23,156,Netherlands,belt,4.58,,,,,,0,0,1,0,1,C+E,1.0,0,True,156
24,156,China,cluster,3.62,,,,,,0,0,1,0,1,C+E,1.0,0,True,156
25,152,Sweden,belt,5.07,,,,,,0,0,1,0,1,C+E,1.0,0,True,152
26,140,United Kingdom,cluster,5.22,,,,,,0,0,1,0,1,C+E,1.0,0,True,140
27,138,Denmark,cluster,4.51,,,,,,0,0,1,0,1,C+E,1.0,0,True,138
28,134,China,belt,2.65,0.2853,297.3,65.5,97.6,82.4,1,0,0,0,0,A,1.0,0,False,135
29,131,Sweden,cluster,3.84,,,,,,0,0,1,0,1,C+E,1.0,0,True,134
30,129,United Kingdom,cluster,3.03,,,,,,0,1,0,0,0,B,1.0,0,False,129
31,129,Netherlands,cluster,4.78,,,,,,0,0,1,0,1,C+E,1.0,0,True,129
32,128,China,multi_cluster,2.45,,,,,,0,0,1,0,0,C,1.0,0,True,128
33,109,China,cluster,5.12,0.2673,308.3,90.9,102.0,78.0,0,0,0,0,1,E,1.0,0,False,109
34,125,China,cluster,3.04,,,,,,0,0,1,0,0,C,1.0,0,True,125
35,120,China,cluster,3.09,0.3232,331.2,79.4,10.399999999999991,10.399999999999991,0,1,1,0,0,B+C,1.0,0,True,121
36,116,United Kingdom,belt,3.92,,,,,,0,0,0,0,1,E,1.0,0,False,116
37,114,China,belt,3.58,0.3385,374.1,70.2,62.0,62.0,1,0,1,0,1,A+C+E,1.0,0,True,115
38,115,China,belt,2.79,,,,,,0,0,1,0,0,C,1.0,0,True,115
39,114,Taiwan,multi_cluster,3.79,,,,,,0,0,1,0,1,C+E,1.0,0,True,114
40,114,United Kingdom,cluster,7.45,0.2399,467.6,8.4,14.5,14.5,0,1,1,0,1,B+C+E,1.0,0,True,114
41,102,China,multi_cluster,2.95,,,,,,0,0,1,0,0,C,1.0,0,True,102
42,111,Taiwan,belt,2.15,,,,,,0,0,1,0,0,C,1.0,0,True,111
43,111,Denmark,cluster,3.99,,,,,,0,0,0,0,1,E,1.0,0,False,111
44,108,China,belt,3.11,,,,,,0,0,1,0,0,C,1.0,0,True,116
45,106,China,multi_cluster,1.9,,,,,,0,0,1,0,0,C,1.0,0,True,106
46,105,China,belt,2.84,,,,,,0,0,1,0,0,C,1.0,0,True,119
47,104,China,cluster,4.1,0.4174,805.2,33.1,10.600000000000001,10.599999999999994,0,1,1,1,1,B+C+D+E,1.0,0,True,104
48,102,United Kingdom,multi_cluster,3.82,0.4168,736.7,32.3,45.7,45.7,1,0,1,1,1,A+C+D+E,0.7616666666666667,0,True,102
