farm_id,mean_gain_pct,country,lat,lon,n_turb,area_km2,ws_mean_m_s,density_per_km2
57,18.22,Vietnam,9.2189,105.8099,82,43.63,0,0
155,9.57,Italy,40.4919,17.1398,9,1.19,0,0
66,7.76,China,30.462,121.4796,74,39.91,0,0
157,6.93,Denmark,55.3441,10.9604,7,0.01,0,0
91,6.62,China,21.901,113.4405,55,37.91,0,0
126,5.21,Vietnam,9.5244,106.456,28,14.49,0,0
159,5.17,Vietnam,9.2966,106.1245,7,0.51,0,0
134,4.85,Netherlands,52.6039,5.5748,24,13.45,0,0
56,4.48,Vietnam,21.3394,108.211,83,63.17,0,0
92,3.76,China,30.4497,121.896,54,53.3,0,0
141,3.24,Vietnam,9.7455,106.585,18,4.4,0,0
97,3.14,China,22.12,113.7329,49,23.19,0,0
85,2.98,China,28.9259,121.9986,56,49.03,0,0
103,2.89,China,29.0656,122.0286,41,24.58,0,0
105,2.78,China,28.8353,121.8575,40,17.88,0,0
107,2.64,Vietnam,9.0822,105.5854,39,27.99,0,0
12,2.6,China,22.6333,116.2218,244,258.02,0,0
160,2.44,United States of America,41.1157,-71.5218,5,0.4,0,0
4,2.43,China,21.2977,111.564,364,327.91,0,0
122,2.42,United Kingdom,52.6458,1.7875,30,5.08,0,0
