farm_id,year,country,P00_kWh,P10_kWh,P01_kWh,P11_kWh,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,P11_err_pct
46,2014,China,110094484.6,105598295.7,111567241.8,105637007.71295504,105637007.71295504,106172282.28232288,0.6449145770021675,0.0050415660082025,0.0
89,2014,China,70795061.9,70205014.1,69793836.1,70471331.36187705,70471331.36187705,71085063.97175449,0.4314395210106346,0.0086337772745242,0.0
101,2014,China,98585045.5,92561602.4,94963928.4,92766876.32924974,92766876.32924974,93233903.0548152,0.5803007402054907,0.0050091941907748,0.0
168,2014,China,57068539.9,53811419.8,57431766.5,53351716.0199416,53351716.0199416,57618640.16335101,0.2405505929931088,0.0740545790617848,0.0
169,2014,China,80033838.2,74806397.0,79813746.8,75554325.51641193,75554325.51641193,79546531.29838295,0.3325600841428405,0.0501870504823907,0.0
165,2014,China,78867532.2,78350016.4,79674830.3,78461462.17378896,78461462.17378896,86619376.28924479,0.2670573933757282,0.0941811689824965,0.0
34,2014,China,268897575.4,255247354.7,270082259.4,255260620.301478,255260620.301478,257551594.49461088,0.6327729804201239,0.0088952048525595,0.0
97,2014,China,123688718.0,129778692.6,126577497.4,129005202.91403694,129005202.91403694,139775707.80570084,0.3298100547463555,0.0770556276247639,0.0
0,2014,China,272656698.2,279626514.2,272802115.3,280573534.22325253,280573534.22325253,284316638.6983251,0.4408206608585541,0.013165267049475,0.0
45,2014,China,396283237.2,379993501.9,400757623.6,379294350.7867489,379294350.7867489,412082551.1913774,0.5876523778922114,0.0795670680785539,0.0
131,2014,China,279689599.0,263289314.4,277737018.4,264169168.0635255,264169168.0635255,286403545.1289661,0.3443738340027708,0.0776330371728763,0.0
88,2014,China,503809668.0,468487770.2,499251249.9,471277180.0434072,471277180.0434072,503794698.2230921,0.327532841774036,0.0645451774192458,0.0
109,2014,China,566716960.2,596307115.4,565524787.0,599479816.3148291,599479816.3148291,641359466.609132,0.3965757828020091,0.0652982492263202,0.0
57,2014,Vietnam,388982934.5,406873181.7,365288697.8,406410729.09098667,406410729.09098667,770915218.2204019,0.1142784476905865,0.4728204613353536,0.0
38,2014,China,1968999891.3,1907670024.2,1935782876.0,1929061450.34258,1929061450.34258,2293286893.0514,0.3757058039424637,0.1588224499134468,0.0
24,2014,China,3456925414.4,3562909870.9,3439713890.0,3574605595.9150195,3574605595.9150195,4436835351.338922,0.3063371739754371,0.1943344044001325,0.0
46,2015,China,111250405.3,114958885.5,115421587.7,114887646.19477148,114887646.19477148,115308207.65191372,0.6941012940718432,0.0036472811927821,0.0
89,2015,China,69122219.3,62598043.6,66445865.5,62721237.52550327,62721237.52550327,63324157.23244819,0.3925474873294735,0.0095211643280421,0.0
101,2015,China,99922618.6,102807749.1,97989642.9,102826039.7874254,102826039.7874254,103287662.00121117,0.6350422417701668,0.0044692870846504,0.0
168,2015,China,55762147.4,58055183.5,56230468.9,57224039.96793927,57224039.96793927,62070522.62097527,0.2644119765638077,0.0780802617472766,0.0
