farm_id,year,config_hash
0,2014,9a401673df4d
0,2015,9a401673df4d
0,2016,aa1646912a8f
0,2017,391d8113c91b
0,2018,7b356e175cc2
0,2019,e2c7bf13b2d2
0,2020,eae5a0984ad9
0,2021,ebeecffc1877
0,2022,ebeecffc1877
0,2023,ebeecffc1877
0,2024,ebeecffc1877
1,2016,d725c139ee6f
1,2017,25357f78903d
1,2018,1bb0115e41ed
1,2019,3a6026d5ca1e
1,2020,1bfdf67b68dc
1,2021,e617a7ee2122
1,2022,e617a7ee2122
1,2023,e617a7ee2122
1,2024,e617a7ee2122
2,2014,fb3a86076312
2,2015,fb3a86076312
2,2016,cc62001d0d6e
2,2017,eef73d84d7e5
2,2018,e90a0ca56344
2,2019,a19bc5b3f9e1
2,2020,9185ef7109b0
2,2021,9185ef7109b0
2,2022,9185ef7109b0
2,2023,9185ef7109b0
2,2024,9185ef7109b0
3,2019,0f82232768a5
3,2020,94c44ed89971
3,2021,5c547768672f
3,2022,5c547768672f
3,2023,5c547768672f
3,2024,0ec283a77aeb
4,2019,425b4e158807
4,2020,c02e5cb7dd3e
4,2021,f769a40e0f98
4,2022,f769a40e0f98
4,2023,b6a7d6337834
4,2024,cf48ef3bebe6
5,2018,c9f6358b073c
5,2019,73f3ce120177
5,2020,73f3ce120177
5,2021,625868a72256
5,2022,fc6385b2dfe8
5,2023,fc6385b2dfe8
5,2024,fc6385b2dfe8
6,2021,ecda0825a7f6
6,2022,ecda0825a7f6
6,2023,9c188609bed0
6,2024,09d72ea65b2a
7,2014,a339da2ff2ed
7,2015,a339da2ff2ed
7,2016,a339da2ff2ed
7,2017,7be2ee971f0a
7,2018,b005d1af114f
7,2019,5d1fea1d35a9
7,2020,71c929bb8886
7,2021,71c929bb8886
7,2022,71c929bb8886
7,2023,71c929bb8886
7,2024,71c929bb8886
8,2021,b86f1a4c5e08
8,2022,9327e09650da
8,2023,86409a40ca7d
8,2024,df754d53a012
9,2014,6516ff9c0a10
9,2015,6516ff9c0a10
9,2016,6516ff9c0a10
9,2017,6516ff9c0a10
9,2018,d08dfd8eb8f0
9,2019,d08dfd8eb8f0
9,2020,d08dfd8eb8f0
9,2021,d08dfd8eb8f0
9,2022,d08dfd8eb8f0
9,2023,d08dfd8eb8f0
9,2024,d08dfd8eb8f0
10,2014,8fef29b80586
10,2015,8fef29b80586
10,2016,8fef29b80586
10,2017,8fef29b80586
10,2018,84c7d39e08b8
10,2019,9e0f9622d67a
10,2020,9e0f9622d67a
10,2021,3f5d310f6941
10,2022,3f5d310f6941
10,2023,1f640f1a41dc
10,2024,ac1d849243a3
11,2014,f9883267d539
11,2015,f9883267d539
11,2016,f9883267d539
11,2017,f9883267d539
11,2018,f9883267d539
11,2019,f9883267d539
11,2020,f9883267d539
11,2021,f9883267d539
11,2022,3b4aa3808fe6
11,2023,3b4aa3808fe6
11,2024,3b4aa3808fe6
12,2021,f3a5b84cf94c
12,2022,f6b6c75c229d
12,2023,b74b402c8d8a
12,2024,b74b402c8d8a
13,2014,09d393efd67f
13,2015,09d393efd67f
13,2016,09d393efd67f
13,2017,09d393efd67f
13,2018,09d393efd67f
13,2019,09d393efd67f
13,2020,09d393efd67f
13,2021,09d393efd67f
13,2022,09d393efd67f
13,2023,09d393efd67f
13,2024,09d393efd67f
14,2017,1cc565a12a72
14,2018,bce990d49e38
14,2019,c3355c8b1e61
14,2020,6f6f78ad1a51
14,2021,036f811b8a8b
14,2022,036f811b8a8b
14,2023,036f811b8a8b
14,2024,3632c7fd13c8
15,2014,fadb8f53c159
15,2015,fadb8f53c159
15,2016,fadb8f53c159
15,2017,fadb8f53c159
15,2018,fadb8f53c159
15,2019,fadb8f53c159
15,2020,fadb8f53c159
15,2021,fadb8f53c159
15,2022,e624af3199c6
15,2023,8c63bf967352
15,2024,8c63bf967352
16,2014,5997290e630e
16,2015,5997290e630e
16,2016,2aafa9fa680e
16,2017,92654aad4227
16,2018,92654aad4227
16,2019,e453e2d9449b
16,2020,e453e2d9449b
16,2021,e453e2d9449b
16,2022,e453e2d9449b
16,2023,e453e2d9449b
16,2024,e453e2d9449b
17,2014,8747763b77a1
17,2015,8747763b77a1
17,2016,8747763b77a1
17,2017,8747763b77a1
17,2018,8747763b77a1
17,2019,8747763b77a1
17,2020,8747763b77a1
17,2021,8747763b77a1
17,2022,8747763b77a1
17,2023,8747763b77a1
17,2024,8747763b77a1
18,2014,7ae9b2bd4a71
18,2015,7ae9b2bd4a71
18,2016,71523b23adf9
18,2017,1d922c2ead0c
18,2018,1d922c2ead0c
18,2019,1d922c2ead0c
18,2020,1d922c2ead0c
18,2021,1d922c2ead0c
18,2022,1d922c2ead0c
18,2023,1d922c2ead0c
18,2024,0399a3173644
19,2018,409374ef5253
19,2019,0335cdd747d2
19,2020,50c3a753a75e
19,2021,da28e6039494
19,2022,da28e6039494
19,2023,da28e6039494
19,2024,da28e6039494
20,2014,459513d3d9b5
20,2015,459513d3d9b5
20,2016,459513d3d9b5
20,2017,459513d3d9b5
20,2018,459513d3d9b5
20,2019,d703e61f1269
20,2020,d703e61f1269
20,2021,d703e61f1269
20,2022,d703e61f1269
20,2023,d703e61f1269
20,2024,d703e61f1269
21,2021,679e686c5e5f
21,2022,997f1bee0efb
21,2023,00eb37f0c5e0
21,2024,00eb37f0c5e0
22,2014,f0b744086d3b
22,2015,f0b744086d3b
22,2016,a7784c951fc6
22,2017,a7784c951fc6
22,2018,a7784c951fc6
22,2019,a7784c951fc6
22,2020,a7784c951fc6
22,2021,a7784c951fc6
22,2022,a7784c951fc6
22,2023,a7784c951fc6
22,2024,a7784c951fc6
23,2014,3d2a1e86fc00
23,2015,3d2a1e86fc00
23,2016,81f531b7a7bb
23,2017,81f531b7a7bb
23,2018,81f531b7a7bb
23,2019,81f531b7a7bb
23,2020,81f531b7a7bb
23,2021,81f531b7a7bb
23,2022,81f531b7a7bb
23,2023,81f531b7a7bb
23,2024,fd1f7b56a7d8
24,2014,d12fd2dc352f
24,2015,d12fd2dc352f
24,2016,e04ac715867e
24,2017,e04ac715867e
24,2018,e04ac715867e
24,2019,e04ac715867e
24,2020,e04ac715867e
24,2021,e04ac715867e
24,2022,e04ac715867e
24,2023,e04ac715867e
24,2024,e04ac715867e
25,2014,0308f97af010
25,2015,0308f97af010
25,2016,cb79b4a5ae4a
25,2017,cb79b4a5ae4a
25,2018,cb79b4a5ae4a
25,2019,cb79b4a5ae4a
25,2020,cb79b4a5ae4a
25,2021,ed7f2fb6a587
25,2022,ed7f2fb6a587
25,2023,ed7f2fb6a587
25,2024,ed7f2fb6a587
26,2014,4d0827c79a70
26,2015,4d0827c79a70
26,2016,4d0827c79a70
26,2017,785fcd7cd286
26,2018,785fcd7cd286
26,2019,785fcd7cd286
26,2020,785fcd7cd286
26,2021,785fcd7cd286
26,2022,785fcd7cd286
26,2023,785fcd7cd286
26,2024,785fcd7cd286
27,2014,eb07dd4c2d2a
27,2015,eb07dd4c2d2a
27,2016,7a20d65bfa8f
27,2017,7a20d65bfa8f
27,2018,84be390d7f31
27,2019,5e9540009b9e
27,2020,5e9540009b9e
27,2021,5e9540009b9e
27,2022,5e9540009b9e
27,2023,5e9540009b9e
27,2024,5e9540009b9e
28,2021,25a4e6fd08d6
28,2022,25a4e6fd08d6
28,2023,25a4e6fd08d6
28,2024,25a4e6fd08d6
29,2017,31bf77d11f61
29,2018,09cdcbd41240
29,2019,09cdcbd41240
29,2020,09cdcbd41240
29,2021,09cdcbd41240
29,2022,09cdcbd41240
29,2023,09cdcbd41240
29,2024,09cdcbd41240
30,2014,8b8db0f23ddf
30,2015,8b8db0f23ddf
30,2016,8b8db0f23ddf
30,2017,8b8db0f23ddf
30,2018,8b8db0f23ddf
30,2019,8b8db0f23ddf
30,2020,8b8db0f23ddf
30,2021,8b8db0f23ddf
30,2022,8b8db0f23ddf
30,2023,8b8db0f23ddf
30,2024,8b8db0f23ddf
31,2014,87d73185de3e
31,2015,87d73185de3e
31,2016,a569e4697aa9
31,2017,a569e4697aa9
31,2018,7684caa959ca
31,2019,7684caa959ca
31,2020,7684caa959ca
31,2021,7684caa959ca
31,2022,7684caa959ca
31,2023,10a6b9f52494
31,2024,10a6b9f52494
32,2019,46df962ccf88
32,2020,0463fdd9682b
32,2021,bfb253354268
32,2022,bfb253354268
32,2023,bfb253354268
32,2024,bfb253354268
33,2024,bcc5ab6a3e1f
34,2014,fe1603b669df
34,2015,fe1603b669df
34,2016,b58c9c86721f
34,2017,b58c9c86721f
34,2018,b58c9c86721f
34,2019,48870bcbe11f
34,2020,d384cce2bdc5
34,2021,824c04627d1e
34,2022,73ff9cf56422
34,2023,73ff9cf56422
34,2024,73ff9cf56422
35,2021,60106350d43c
35,2022,60106350d43c
35,2023,b41656bde25d
35,2024,d15440c83acf
36,2017,3e7f83c47c98
36,2018,3e7f83c47c98
36,2019,3e7f83c47c98
36,2020,3e7f83c47c98
36,2021,3e7f83c47c98
36,2022,3e7f83c47c98
36,2023,3e7f83c47c98
36,2024,3e7f83c47c98
37,2021,0cf28fd54b21
37,2022,0cf28fd54b21
37,2023,0cf28fd54b21
37,2024,426707c810d9
38,2014,fb9d2e1bff14
38,2015,fb9d2e1bff14
38,2016,fb9d2e1bff14
38,2017,fb9d2e1bff14
38,2018,fb9d2e1bff14
38,2019,fb9d2e1bff14
38,2020,0149b113d7f7
38,2021,bc663729bc1a
38,2022,bc663729bc1a
38,2023,bc663729bc1a
38,2024,bc663729bc1a
39,2020,cc019b160d4a
39,2021,52f60611e3d0
39,2022,bc462d6f6c58
39,2023,a4caca383f89
39,2024,45d1ed188a76
40,2021,9d4b7f6a2d94
40,2022,98e84c4d1668
40,2023,754a50ec21c4
40,2024,754a50ec21c4
41,2021,d409707e8973
41,2022,d409707e8973
41,2023,f66e59cef4e2
41,2024,acf5dfd98838
42,2022,dcbf464192c0
42,2023,48a8441c3bf4
42,2024,9334ddf41ffe
43,2014,b6818e9d3eb2
43,2015,b6818e9d3eb2
43,2016,b6818e9d3eb2
43,2017,b6818e9d3eb2
43,2018,b6818e9d3eb2
43,2019,b6818e9d3eb2
43,2020,b6818e9d3eb2
43,2021,b6818e9d3eb2
43,2022,b6818e9d3eb2
43,2023,b6818e9d3eb2
43,2024,b6818e9d3eb2
44,2022,73a32761247d
44,2023,7ffb2e17996c
44,2024,7ffb2e17996c
45,2014,269b47e50d99
45,2015,269b47e50d99
45,2016,269b47e50d99
45,2017,ea588931ce4c
45,2018,f724df955e3e
45,2019,671b0e7ac5e1
45,2020,aba1ad81a24e
45,2021,44dea260fed8
45,2022,e5ba10831fda
45,2023,a42f2c4b7488
45,2024,b616b220c951
46,2014,5b6bd4b11532
46,2015,5b6bd4b11532
46,2016,5b6bd4b11532
46,2017,5b6bd4b11532
46,2018,5b6bd4b11532
46,2019,5b6bd4b11532
46,2020,5b6bd4b11532
46,2021,408734f21826
46,2022,ff9e98150689
46,2023,6fe450141457
46,2024,6fe450141457
47,2021,511e5f735658
47,2022,511e5f735658
47,2023,437657c4d0a1
47,2024,437657c4d0a1
48,2019,0b6bc85d2306
48,2020,9bcbf384fdec
48,2021,9bcbf384fdec
48,2022,9bcbf384fdec
48,2023,9bcbf384fdec
48,2024,9bcbf384fdec
49,2014,5213f9d2f3ad
49,2015,5213f9d2f3ad
49,2016,5213f9d2f3ad
49,2017,5213f9d2f3ad
49,2018,5213f9d2f3ad
49,2019,5213f9d2f3ad
49,2020,5213f9d2f3ad
49,2021,5213f9d2f3ad
49,2022,5213f9d2f3ad
49,2023,5213f9d2f3ad
49,2024,5213f9d2f3ad
50,2017,46265bc343f6
50,2018,a5df1d3d6b5e
50,2019,a9f2bfc0cfe0
50,2020,a9f2bfc0cfe0
50,2021,a9f2bfc0cfe0
50,2022,a9f2bfc0cfe0
50,2023,a9f2bfc0cfe0
50,2024,a9f2bfc0cfe0
51,2017,d83653f0e740
51,2018,d83653f0e740
51,2019,d83653f0e740
51,2020,d83653f0e740
51,2021,d83653f0e740
51,2022,d83653f0e740
51,2023,d83653f0e740
51,2024,d83653f0e740
52,2019,98243b4cb07f
52,2020,3c62e8cbdfb6
52,2021,837bbc3e5b10
52,2022,2d3c7d2a97e7
52,2023,27e38c9d1573
52,2024,27441bf9f699
53,2021,ddb55cb48724
53,2022,ddb55cb48724
53,2023,ddb55cb48724
53,2024,ddb55cb48724
54,2021,9ff9e00be707
54,2022,9ff9e00be707
54,2023,9ff9e00be707
54,2024,9ff9e00be707
55,2014,3c1a3d551e0b
55,2015,3c1a3d551e0b
55,2016,3c1a3d551e0b
55,2017,3c1a3d551e0b
