farm_id,year,P11_kWh,P10_kWh,P01_kWh,P00_kWh
46,2014,105637007.71295503,105598295.7,111567241.8,110094484.6
89,2014,70471331.36187705,70205014.1,69793836.1,70795061.9
101,2014,92766876.32924974,92561602.4,94963928.4,98585045.5
168,2014,53351716.0199416,53811419.8,57431766.5,57068539.9
169,2014,75554325.51641193,74806397.0,79813746.8,80033838.2
165,2014,78461462.17378896,78350016.4,79674830.3,78867532.2
34,2014,255260620.30147797,255247354.7,270082259.4,268897575.4
97,2014,129005202.91403694,129778692.6,126577497.4,123688718.0
0,2014,280573534.22325253,279626514.2,272802115.3,272656698.2
45,2014,379294350.7867489,379993501.9,400757623.6,396283237.2
131,2014,264169168.0635255,263289314.4,277737018.4,279689599.0
88,2014,471277180.0434072,468487770.2,499251249.9,503809668.0
109,2014,599479816.3148291,596307115.4,565524787.0,566716960.2
57,2014,406410729.09098667,406873181.7,365288697.8,388982934.5
38,2014,1929061450.34258,1907670024.2,1935782876.0,1968999891.3
24,2014,3574605595.9150195,3562909870.9,3439713890.0,3456925414.4
46,2015,114887646.19477148,114958885.5,115421587.7,111250405.3
89,2015,62721237.52550327,62598043.6,66445865.5,69122219.3
101,2015,102826039.7874254,102807749.1,97989642.9,99922618.6
168,2015,57224039.967939265,58055183.5,56230468.9,55762147.4
169,2015,68517778.13198683,68361595.1,77745278.7,78882087.4
165,2015,78121774.53635727,77784572.3,78774826.9,76999888.9
34,2015,278023720.72740114,277929126.9,275320209.8,271687386.7
97,2015,129296559.15784016,129126409.2,126823510.4,126597338.8
0,2015,244765120.39395422,243890600.0,257019837.5,267334974.4
45,2015,415651751.6084021,416614796.6,407975050.2,402282508.3
131,2015,240105266.16768396,240072242.1,269133979.3,275495281.8
88,2015,433027735.44550973,427038358.3,490145866.9,494767947.5
109,2015,510826912.0652091,508935880.6,533755931.8,556920399.0
57,2015,512174058.19399416,510923855.1,418065155.7,417051258.6
38,2015,1695837575.2072225,1691461514.6,1847293798.1,1931892704.1
24,2015,3015322424.4458027,3007312494.9,3209824206.9,3369804716.6
1,2016,68427220.04085764,68145944.1,65720112.8,67532894.3
46,2016,105376201.46295092,105395987.3,110009006.3,109282209.9
63,2016,59582547.7898788,59359878.8,61481648.5,59811335.5
124,2016,87478307.86006337,87294163.0,91234662.3,95239098.2
71,2016,105338584.97548054,105521650.2,98324070.5,110664686.3
101,2016,137918209.70234784,137744203.1,140556467.1,146304143.6
135,2016,61816200.23747284,61277605.7,59025971.0,55426216.4
168,2016,58021758.12134445,58053131.5,58412397.3,56565227.0
169,2016,76377774.66594791,75975422.4,80190718.6,82002458.5
165,2016,80615436.83510987,80523083.1,81946024.6,80381271.9
97,2016,175720331.40629268,174054189.6,159614249.9,153548951.4
45,2016,372699886.8512907,372995578.3,393684859.8,395235602.0
34,2016,529278400.28309226,527575532.4,557473993.2,559727767.3
131,2016,447497495.3040351,445198357.7,461359854.9,476816525.3
89,2016,910845759.2264867,907961091.7,875350148.1,895915595.8
109,2016,1118479436.8332028,1117644083.2,1060408875.2,1084281257.1
88,2016,1092659585.3844762,1074956303.5,1145178891.9,1175765435.9
0,2016,1560836501.7193875,1559821872.1,1491568399.1,1540706188.0
57,2016,596383424.5011083,590537935.9,458200543.5,507133165.8
38,2016,1946574341.9747896,1943932880.0,1916887894.3,1960853187.0
24,2016,3690192254.359194,3665911553.0,3539969029.6,3666602914.6
46,2017,113824585.4033282,113781358.5,112882278.7,111423285.7
124,2017,95645339.14801948,95417555.1,94380909.6,97591535.1
14,2017,88759663.74850412,88325028.7,95641612.8,97576470.8
71,2017,115664397.28869,116027292.5,100834341.8,110956422.9
101,2017,150095598.1737657,149761815.7,145036983.7,150863243.7
135,2017,63055195.72807929,62463499.4,56653342.3,54185049.3
139,2017,84166561.45973898,83918348.3,79172228.1,81028470.7
168,2017,56118565.82521149,56761641.3,58908926.4,57135914.7
169,2017,73199563.54789393,72512789.7,79809777.8,80683913.4
147,2017,97208508.17439516,96651271.7,103476874.2,100616909.3
165,2017,76293320.97006178,76393615.1,79825562.6,78948386.9
81,2017,294625646.05614465,293483891.7,282782088.3,295507957.5
63,2017,280090933.255588,280086760.3,288385709.1,286038394.6
74,2017,358605900.4659942,352710903.8,365008708.3,360329432.3
34,2017,566662359.4881938,566570367.8,572789794.7,574827393.4
45,2017,861548902.9129864,860781774.3,869288752.5,865704604.0
97,2017,462388963.3349073,459902640.4,431274683.0,415404419.3
131,2017,603929748.3722613,603590485.4,651222594.5,659116100.1
89,2017,860697595.0279149,859448655.8,873228704.6,883220756.4
109,2017,1051410560.3864636,1038573321.4,1059703223.4,1079071916.2
50,2017,1192715605.263961,1177093843.2,1278243820.8,1298752124.5
88,2017,1214134527.5700006,1194503828.1,1337217605.1,1351710798.4
57,2017,526419653.58969456,532150367.6,441874190.5,474656256.9
38,2017,1879862841.506935,1859053747.6,1924549457.2,1958808562.5
1,2017,2167060357.5051107,2140988937.9,2212293437.8,2226793357.5
24,2017,3484110892.71172,3460394312.6,3541292180.5,3603071680.1
0,2017,5132254230.430478,5068826929.9,5208739557.8,5286659698.3
46,2018,108349528.09786378,108787003.8,110325563.7,110181496.5
98,2018,44535036.86929513,44917151.5,46435965.7,45550095.1
124,2018,89388573.99580732,89862019.0,91367537.1,95659034.7
71,2018,105878412.45182963,105699910.8,99070363.7,110223516.6
72,2018,95835810.62870619,96692402.8,100180754.1,102907508.6
101,2018,140857886.93737,141583925.3,140791262.0,147094678.7
135,2018,63499271.5991568,64529295.1,57663334.6,55051677.0
168,2018,58743351.222737156,60580870.6,59114475.4,57085017.4
169,2018,79800825.93870257,81218399.2,81952861.3,82064047.8
165,2018,86453577.92399198,89372053.6,82582189.6,80405554.4
34,2018,544558050.5412804,537861442.6,562263976.7,562111201.5
147,2018,293100716.1973012,303482366.9,303113263.7,295552861.1
19,2018,384717325.9106217,384747531.1,364470904.7,362391722.8
139,2018,318582451.9795851,327092937.7,301821606.0,315782848.8
81,2018,612609372.1637081,609547749.1,613307475.8,637916012.7
131,2018,670973297.4956316,695027449.9,673417103.4,672603610.7
97,2018,670631066.8162364,715454110.5,708356201.5,680787180.7
14,2018,994800537.3248258,1009370361.0,1050006621.9,1081415408.7
109,2018,1212598469.5979846,1221014238.1,1082391846.9,1082917121.9
63,2018,1095972382.8112328,1137659305.9,1068663751.6,1033505564.5
45,2018,2183193998.881391,2221506391.3,2257589405.0,2259034567.0
74,2018,1840581786.3326936,1822764889.7,1793550913.1,1767121758.6
89,2018,1721131162.556553,1754991355.3,1600143397.6,1597359770.1
88,2018,1345498353.3116562,1333464931.9,1387747108.5,1373897042.7
38,2018,2098469677.5159035,2159050683.5,1993307570.1,1984459708.0
57,2018,603588042.20868,669671539.5,499148012.5,493673694.9
50,2018,2664468214.465988,2688795320.6,2663154648.8,2686509230.8
24,2018,3984139398.391552,3973588657.4,3668515865.5,3675944651.2
0,2018,7735885407.364262,7832910947.5,7106382558.0,7100217042.2
1,2018,7583459200.459497,7709167155.4,6948106901.7,7008045945.5
3,2019,60978212.20302364,61439445.2,68173223.5,69977829.8
46,2019,114209604.73143585,114603720.3,115159573.0,111291256.5
124,2019,95452468.63408783,95958293.0,97814397.1,98370071.3
101,2019,149392298.26481614,150152594.0,149122082.5,150325634.1
135,2019,64182883.71222589,65464164.8,57908283.5,54699979.6
168,2019,57357240.12455443,59735760.0,56532573.4,56754508.3
169,2019,68632406.3447128,69970102.5,79262326.0,79244969.5
165,2019,79048139.0810248,81521397.7,79249105.7,79458293.0
4,2019,185493503.25786504,188232726.8,200933960.2,191393894.7
52,2019,306699040.69989663,306916938.3,303325796.2,302021633.1
92,2019,176276845.59067333,185515668.3,203845080.7,209888028.0
32,2019,185252218.96998915,189492130.5,195910208.0,192898077.1
98,2019,130767720.13101332,131363251.0,152014876.7,148873442.1
147,2019,286012024.97983795,298860663.7,294581664.1,294163896.8
34,2019,1016929338.0377097,1007876815.3,1034151490.8,1005392334.3
139,2019,432524849.14280325,443143144.8,441101988.7,462700523.0
81,2019,995915340.5025389,996652072.6,995216670.8,1002699842.3
71,2019,855580112.1897417,864076420.3,766763012.2,814957591.8
131,2019,567862321.3153908,590682553.3,649326674.5,648180691.5
97,2019,653822594.8700134,694680018.3,684455853.5,684849291.3
72,2019,1078153071.3971372,1102924807.3,1097998483.0,1120878596.6
109,2019,933302343.4930733,936640725.3,1059472494.3,1083694406.6
45,2019,2857165613.302165,2898979548.4,2916394876.6,2824635905.1
88,2019,1155815173.3106477,1144075175.0,1338173722.5,1322547818.6
89,2019,1397990297.6248205,1410198485.7,1599211942.4,1632150040.1
74,2019,1869398251.6610312,1864769370.0,2016949510.3,2030662906.5
38,2019,1634770458.994826,1668715865.2,1886680501.1,1938269243.6
63,2019,1627568556.380287,1688580562.3,1674006580.6,1647745939.0
14,2019,1732286147.8325033,1764850924.4,1771028813.9,1815739945.2
57,2019,739031770.1096858,798860328.2,554934613.9,582535891.6
19,2019,2121807531.164114,2080517708.4,2334752818.4,2327189794.2
50,2019,2285698164.1632166,2303955272.7,2598615824.2,2611387635.1
24,2019,3076382545.4029393,3063372426.3,3556996315.5,3676732586.9
1,2019,8412105963.773713,8484295358.3,9340372570.7,9512983292.0
0,2019,11603517523.227745,11646091339.8,13191257601.4,13509728395.4
46,2020,119874506.55388655,120226887.1,117253221.6,113370370.9
112,2020,40214541.413426235,40519773.6,35535419.5,35698251.0
130,2020,34480668.867593706,35031373.4,28934289.9,31081638.7
39,2020,113442335.50147092,117035493.3,109865355.2,113285564.5
66,2020,83013123.68736142,88249005.8,89388363.9,95421979.8
111,2020,88038140.1885492,87333177.3,88290466.6,84750266.2
115,2020,64848168.25695918,65578164.9,61307035.9,61000391.5
135,2020,60702367.33173433,62078914.2,54954723.4,53553584.9
168,2020,53460953.92757921,55194133.8,57484167.6,56191029.0
169,2020,68136845.36453114,69229494.0,80576475.9,79279938.1
165,2020,75427794.41335353,78216232.3,81588321.0,80060646.2
107,2020,203417013.6710995,206146624.5,170058632.5,183353012.8
147,2020,266263039.86888966,276342398.3,294307819.4,293188439.7
52,2020,697370613.143474,699810783.2,655527143.0,653746016.5
101,2020,771059444.9900321,769457203.6,729852268.4,748371620.3
124,2020,806794689.8192734,807160380.9,780474693.7,798388450.0
139,2020,513757383.7378369,527092288.5,483740757.4,488239043.5
71,2020,853384768.2850002,861380438.9,739348022.0,805657630.7
78,2020,617446694.8374237,636381788.1,627606576.8,646470958.2
131,2020,568432117.4629868,588128979.8,662623251.7,653404763.8
98,2020,445317786.9598751,443847170.1,540716645.1,524054040.5
97,2020,782785114.8320268,832750744.5,736083986.2,709026334.6
91,2020,887638372.1403155,861918569.5,829574772.7,781206665.6
72,2020,1268757698.4993465,1302029018.2,1154569488.3,1140871682.7
109,2020,1006057205.3219563,1011886360.3,1061115912.1,1063172503.7
34,2020,2565877730.2728205,2544945599.7,2520772627.4,2499821821.8
4,2020,1655066991.756625,1740751261.5,1646649930.6,1509798095.0
81,2020,2522074707.534705,2523733289.6,2359990863.3,2429221179.1
3,2020,1609311141.7701092,1638620583.0,1701959694.8,1690142929.7
92,2020,1657568582.1491845,1750348747.1,1727289224.2,1772677517.4
88,2020,1133674378.8968928,1135838935.7,1353698194.0,1330596842.4
89,2020,1603835561.2808454,1624397453.8,1634722239.4,1664040270.1
74,2020,2234931848.279503,2203868233.5,2197288110.3,2139870117.5
45,2020,3510380209.709584,3547358897.8,3448368186.8,3419716212.6
57,2020,635762071.237454,707192064.9,508477628.2,544989688.7
38,2020,2157376405.403226,2188435195.3,2202561211.2,2235172769.2
14,2020,1878862506.4523098,1918261651.1,1961324202.2,2016820005.6
63,2020,1711970477.0390623,1776104860.1,1923905102.8,1896166272.2
32,2020,2742935396.1863365,2713941845.6,2565671782.9,2320813061.1
50,2020,2276620924.76345,2295171900.5,2662149700.3,2633040334.0
24,2020,3242368338.230185,3223465090.4,3569873477.3,3601628644.5
19,2020,3627509602.310236,3601699778.1,4051015980.3,4046763725.2
1,2020,12000421488.633005,12034794029.0,13114150503.1,13096311014.1
0,2020,17538841844.762356,17601064650.5,18919480992.2,18933111407.4
21,2021,121095541.70455515,122165186.2,136981495.4,125374159.8
135,2021,64534259.17548349,65517311.9,55712794.8,53897856.0
168,2021,60607297.329537295,62920183.5,56341581.0,56564903.0
169,2021,87026422.82005052,88493178.4,78957592.4,81518433.8
143,2021,93407703.73380138,94424366.9,88762068.4,93157903.9
165,2021,89256022.2585229,91629688.7,81756893.0,81138919.3
159,2021,144365848.48209056,150284562.3,126073404.8,128220776.9
62,2021,363119792.2057128,361714011.7,342548223.8,386808119.5
133,2021,228317082.92342082,228272864.7,212961505.6,219342746.4
147,2021,298033140.3895675,309878620.9,291068182.8,287648267.1
141,2021,343113984.4220519,337776821.7,331225596.1,311366761.8
86,2021,351369841.64293855,351430080.8,329189280.7,341596789.7
139,2021,469550694.6365162,483405214.2,440838043.3,469547480.1
39,2021,691884534.4333475,683357923.8,666017641.1,723338958.6
115,2021,425319661.4236441,426225817.2,436790766.6,418915457.1
8,2021,715495924.2268028,747994966.1,767281502.1,738381351.7
71,2021,759167331.3108132,766651727.2,676653012.3,788788771.4
119,2021,507787877.2474895,527696224.2,566734464.1,540457463.6
126,2021,620478378.0609525,627058921.2,586042082.7,548928139.4
131,2021,717439588.100612,749869966.7,644856356.0,676284356.7
130,2021,399254105.69125324,401157855.4,364105647.8,370848282.0
124,2021,1263358673.7221,1288486448.8,1249625098.6,1300908828.9
118,2021,915065651.4564611,907506502.8,937606280.2,978612829.6
120,2021,732991445.7210302,751044478.4,739652976.3,763641842.6
41,2021,1156610153.1594784,1173418114.9,1262384898.8,1235150818.9
111,2021,859336096.6841846,859145261.6,875317828.2,862378223.3
112,2021,694996882.561755,690113469.5,658103672.4,627300265.0
103,2021,1074403400.213174,1082185912.0,1173516274.0,1174758760.6
109,2021,1137155657.6359203,1150706857.9,1026575401.4,1080358242.0
107,2021,654243029.726087,659657207.5,605027160.2,626476031.1
47,2021,1193877391.5071752,1177969372.8,1243624382.9,1200822558.9
97,2021,1000884707.2143524,1040487126.9,1010310096.7,991440630.0
101,2021,2232219728.8406925,2243418860.3,2142703354.8,2244079126.0
98,2021,1018773854.8474153,1010626540.2,932582245.1,948692683.1
64,2021,614041386.1402551,617329593.7,648146509.5,649950755.3
12,2021,1648343910.5152178,1626115087.5,1676783493.0,1637743586.6
92,2021,1649737488.8042595,1707202187.1,1714937457.7,1760087616.5
88,2021,1439171495.5146384,1465355697.2,1307340288.9,1358562268.8
89,2021,1610369938.9540057,1629763003.3,1589977156.3,1643644313.6
90,2021,1338607455.5019174,1308197263.5,1363810977.3,1352219329.7
91,2021,1199234624.3929713,1169431237.2,1240859078.1,1199204893.7
46,2021,3189760933.628675,3184885543.7,3130883003.5,3098406947.8
82,2021,1917136790.6012633,1981190818.1,1706903198.1,1792662592.3
52,2021,2853294788.2358046,2863617059.1,2733932838.3,2788616550.4
78,2021,1485795360.783205,1522354983.6,1398698961.9,1497821616.3
81,2021,2677600252.7980895,2669385589.6,2572147961.7,2681815499.8
74,2021,1967590215.7928739,1973041592.9,2064450554.9,2111928000.8
72,2021,1959882392.5756357,1987815751.4,2006705355.1,2050075043.2
66,2021,1788180027.2291517,1891520601.6,1927363760.1,2047562816.5
63,2021,1921349465.636603,2019389338.3,1847695608.4,1840598229.0
