config_hash,ws_bin_m_s,wd_sector_deg,wake_efficiency,p_noWake_kW,n_turbines
000999d0e861,0.0,0,1.00000000,0.00,20
000999d0e861,3.0,0,0.25882000,656.14,20
000999d0e861,4.0,0,0.34240000,7631.14,20
000999d0e861,5.0,0,0.37227915,18612.58,20
000999d0e861,6.0,0,0.36299566,34188.08,20
000999d0e861,7.0,0,0.39315579,54608.36,20
000999d0e861,8.0,0,0.41232520,81834.08,20
000999d0e861,9.0,0,0.42479280,116677.17,20
000999d0e861,10.0,0,0.44023943,156919.07,20
000999d0e861,11.0,0,0.48704613,184300.00,20
000999d0e861,12.0,0,0.59248115,184300.00,20
000999d0e861,13.0,0,0.71572117,184300.00,20
000999d0e861,14.0,0,0.83680482,184300.00,20
000999d0e861,16.0,0,1.00000000,184300.00,20
000999d0e861,18.0,0,1.00000000,184300.00,20
000999d0e861,20.0,0,1.00000000,184300.00,20
000999d0e861,22.0,0,1.00000000,184300.00,20
000999d0e861,25.0,0,1.00000000,184300.00,20
000999d0e861,30.0,0,1.00000000,0.00,20
000999d0e861,0.0,10,1.00000000,0.00,20
000999d0e861,3.0,10,0.33807804,656.14,20
000999d0e861,4.0,10,0.46637188,7631.14,20
000999d0e861,5.0,10,0.53333945,18612.58,20
000999d0e861,6.0,10,0.58498345,34188.08,20
000999d0e861,7.0,10,0.60821764,54608.36,20
000999d0e861,8.0,10,0.61650066,81834.08,20
000999d0e861,9.0,10,0.62220316,116677.17,20
000999d0e861,10.0,10,0.64075867,156919.07,20
000999d0e861,11.0,10,0.71622717,184300.00,20
000999d0e861,12.0,10,0.88474845,184300.00,20
000999d0e861,13.0,10,0.99988246,184300.00,20
000999d0e861,14.0,10,1.00000000,184300.00,20
000999d0e861,16.0,10,1.00000000,184300.00,20
000999d0e861,18.0,10,1.00000000,184300.00,20
000999d0e861,20.0,10,1.00000000,184300.00,20
000999d0e861,22.0,10,1.00000000,184300.00,20
000999d0e861,25.0,10,1.00000000,184300.00,20
000999d0e861,30.0,10,1.00000000,0.00,20
000999d0e861,0.0,20,1.00000000,0.00,20
000999d0e861,3.0,20,0.34521696,656.14,20
000999d0e861,4.0,20,0.79150551,7631.14,20
000999d0e861,5.0,20,0.83222759,18612.58,20
000999d0e861,6.0,20,0.84802820,34188.08,20
000999d0e861,7.0,20,0.85676022,54608.36,20
000999d0e861,8.0,20,0.85751622,81834.08,20
000999d0e861,9.0,20,0.86321222,116677.17,20
000999d0e861,10.0,20,0.87718481,156919.07,20
000999d0e861,11.0,20,0.93995471,184300.00,20
000999d0e861,12.0,20,0.99865028,184300.00,20
000999d0e861,13.0,20,1.00000000,184300.00,20
000999d0e861,14.0,20,1.00000000,184300.00,20
000999d0e861,16.0,20,1.00000000,184300.00,20
000999d0e861,18.0,20,1.00000000,184300.00,20
000999d0e861,20.0,20,1.00000000,184300.00,20
000999d0e861,22.0,20,1.00000000,184300.00,20
000999d0e861,25.0,20,1.00000000,184300.00,20
000999d0e861,30.0,20,1.00000000,0.00,20
