farm_id,year,P11_kWh,P10_kWh,P01_kWh,P00_kWh
46,2014,105637007.712955,105719989.745824,111663236.347831,110245085.382716
89,2014,70471331.361877,70466661.875174,70034423.048083,70541040.466885
101,2014,92766876.329250,92761876.431049,95307914.137294,98631394.013545
168,2014,53351716.019942,54178066.116265,57475387.100063,57200343.255334
169,2014,75554325.516412,75178058.802596,79950017.630692,80555306.021311
165,2014,78461462.173789,78508898.726651,80100267.463638,78581699.580299
34,2014,255260620.301478,255072163.150889,270529486.492116,269499615.502108
97,2014,129005202.914037,129816148.844928,126046588.355955,124208196.239686
0,2014,280573534.223253,280616311.059708,273854544.800980,273260297.823292
45,2014,379294350.786749,379360594.737155,400267123.449486,397208295.673227
131,2014,264169168.063525,264934791.859967,278288196.520485,281264939.711582
88,2014,471277180.043407,470899499.665284,501696431.171799,510487026.874533
109,2014,599479816.314829,599534848.451010,567660120.303606,572219694.899388
57,2014,406410729.090987,415052433.916294,374424371.726063,400792636.721938
38,2014,1929061450.342580,1920740572.926584,1945822450.885819,1983730220.432895
24,2014,3574605595.915020,3570525822.175570,3455854786.560962,3465205893.316639
46,2015,114887646.194771,114922135.381286,115510205.594473,111526408.657924
89,2015,62721237.525503,62730634.536080,66703181.803811,68995202.574771
101,2015,102826039.787425,102821608.437814,98350485.393557,100223255.171517
168,2015,57224039.967939,58498956.825767,56256965.116931,55602420.543431
169,2015,68517778.131987,68699710.694706,77900501.034055,78901265.808835
165,2015,78121774.536357,78432039.244847,79015558.611265,77249437.139979
34,2015,278023720.727401,277860337.304574,275783047.991842,272574793.381893
97,2015,129296559.157840,129174022.136147,126334384.616607,126165752.655294
0,2015,244765120.393954,244742650.316204,257968613.543377,266703903.193643
45,2015,415651751.608402,416314884.737985,407770660.388662,403073788.412379
131,2015,240105266.167684,241108917.265447,270138965.063633,276805140.004298
88,2015,433027735.445510,430606786.228924,493223871.417085,501364772.642175
109,2015,510826912.065209,511533685.947331,537594723.270140,561661365.510516
57,2015,512174058.193994,520984836.150254,429315532.656960,426419943.442162
38,2015,1695837575.207222,1694173625.887054,1853414499.470607,1948074945.561179
24,2015,3015322424.445803,3023076637.286819,3219125088.263526,3376646581.728211
1,2016,68427220.040858,68422813.802932,66008914.862796,67721190.910267
46,2016,105376201.462951,105438114.109345,110078603.868516,109311007.515254
63,2016,59582547.789879,59645377.647621,61661049.454480,59944206.428319
124,2016,87478307.860063,87471341.943558,91291789.864950,95375405.683993
71,2016,105338584.975481,105772849.047177,98820470.394275,110896426.344475
101,2016,137918209.702348,137917156.345219,141033861.903473,147271909.732393
135,2016,61816200.237473,61650091.016755,59609478.475392,55955726.711342
168,2016,58021758.121344,58395545.021785,58479250.264613,56574606.517139
169,2016,76377774.665948,76344656.515227,80229256.207664,82303274.816728
165,2016,80615436.835110,80961442.444382,82356335.004711,80282073.789435
97,2016,175720331.406293,174744108.087752,159338653.741266,152494146.154043
45,2016,372699886.851291,372766444.011940,393256722.712751,394621624.984751
34,2016,529278400.283092,529455124.370549,559060874.005162,562102634.950401
131,2016,447497495.304035,447198550.329461,463653326.952966,476478514.366502
89,2016,910845759.226487,910642499.382306,881842144.769143,894152132.381275
109,2016,1118479436.833203,1119461355.303275,1064243478.140338,1101489913.008639
88,2016,1092659585.384476,1081878810.817785,1152094056.166345,1185220758.976659
0,2016,1560836501.719388,1565238899.273194,1498621015.106945,1549790200.137145
