farm_id,template_id,morphology,spacing_D,rep,A_pct,A_full_pct,A_C0,A_C1,A_C2,A_C3,theta_star_deg,pos_frac,drift_deg,wake_loss,aep_MWh_turb
0,RU3r1,rule_grid,3.0,1,0.7383,0.7384,0.7383,0.6078,0.53,-0.0,85,1.0,9.71,0.2864,28.0
0,RU3r2,rule_grid,3.0,2,0.8587,0.8588,0.8587,0.5184,0.4506,-0.0,155,1.0,20.86,0.2859,28.0
0,RU3r3,rule_grid,3.0,3,1.1403,1.1406,1.1403,0.6852,0.5902,-0.0,145,1.0,26.22,0.2848,28.1
0,RU5r1,rule_grid,5.0,1,0.4074,0.4074,0.4074,0.4014,0.3513,-0.0,90,1.0,10.25,0.1392,33.6
0,RU5r2,rule_grid,5.0,2,0.4386,0.4386,0.4386,0.3203,0.2794,0.0,155,1.0,21.88,0.1392,33.6
0,RU5r3,rule_grid,5.0,3,0.4582,0.4585,0.4582,0.4073,0.3564,-0.0,145,1.0,26.92,0.1382,33.7
0,RU7r1,rule_grid,7.0,1,0.2565,0.2566,0.2565,0.2733,0.2391,0.0,0,0.8,26.07,0.0831,35.8
0,RU7r2,rule_grid,7.0,2,0.2607,0.2608,0.2607,0.2163,0.1892,-0.0,155,1.0,20.54,0.0822,35.8
0,RU7r3,rule_grid,7.0,3,0.301,0.301,0.301,0.2816,0.2461,0.0,170,1.0,21.72,0.0816,35.8
0,BE3r1,belt,3.0,1,3.1808,3.1808,3.1808,2.1685,1.9054,-0.0,0,1.0,27.57,0.1793,32.9
0,BE3r2,belt,3.0,2,2.1729,2.1729,2.1729,1.5048,1.3085,0.0,0,1.0,31.73,0.2593,29.4
0,BE3r3,belt,3.0,3,2.0754,2.0755,2.0754,1.3319,1.1555,-0.0,25,1.0,11.04,0.2587,29.4
0,BE5r1,belt,5.0,1,1.3434,1.3434,1.3434,1.0401,0.9157,0.0,0,1.0,22.88,0.0883,35.9
0,BE5r2,belt,5.0,2,0.952,0.9521,0.952,0.7781,0.6802,-0.0,0,1.0,27.78,0.1261,34.3
0,BE5r3,belt,5.0,3,0.8361,0.8361,0.8361,0.6759,0.5907,-0.0,25,0.8,10.95,0.1256,34.3
0,BE7r1,belt,7.0,1,0.7474,0.7474,0.7474,0.6186,0.547,0.0,0,1.0,22.76,0.0522,37.2
0,BE7r2,belt,7.0,2,0.5579,0.5579,0.5579,0.5,0.4399,0.0,0,1.0,22.57,0.0746,36.2
0,BE7r3,belt,7.0,3,0.4694,0.4695,0.4694,0.4235,0.3725,-0.0,25,0.8,16.82,0.0739,36.2
0,CL3r1,cluster,3.0,1,0.4408,0.4407,0.4408,0.4548,0.3953,0.0,170,1.0,15.03,0.1534,33.1
0,CL3r2,cluster,3.0,2,0.4947,0.4987,0.4947,0.3925,0.3411,0.0,170,0.8,15.64,0.1535,33.1
0,CL3r3,cluster,3.0,3,0.5972,0.6026,0.5972,0.4816,0.4175,0.0,80,1.0,5.18,0.1601,32.9
0,CL5r1,cluster,5.0,1,0.2904,0.2904,0.2904,0.3261,0.2866,-0.0,90,0.8,11.42,0.0747,36.1
0,CL5r2,cluster,5.0,2,0.2561,0.2563,0.2561,0.2803,0.2466,0.0,175,0.8,18.4,0.075,36.1
0,CL5r3,cluster,5.0,3,0.2918,0.2922,0.2918,0.2855,0.2506,0.0,85,0.8,5.02,0.0778,36.0
0,CL7r1,cluster,7.0,1,0.1845,0.1845,0.1845,0.2254,0.1993,0.0,90,0.8,18.39,0.0449,37.2
0,CL7r2,cluster,7.0,2,0.1815,0.1822,0.1815,0.1999,0.1769,-0.0,0,0.8,19.33,0.0447,37.2
0,CL7r3,cluster,7.0,3,0.1896,0.1919,0.1896,0.2127,0.1878,-0.0,90,0.8,7.51,0.0467,37.2
0,MU3r1,multi_cluster,3.0,1,1.0372,1.0372,1.0372,0.8214,0.7112,-0.0,175,1.0,25.0,0.2119,31.0
0,MU3r2,multi_cluster,3.0,2,1.6743,1.6743,1.6743,1.2234,1.0611,-0.0,0,1.0,31.55,0.2418,30.0
0,MU3r3,multi_cluster,3.0,3,0.6762,0.6762,0.6762,0.5586,0.4859,0.0,175,1.0,15.57,0.2193,30.6
0,MU5r1,multi_cluster,5.0,1,0.5447,0.5448,0.5447,0.5118,0.4491,0.0,0,0.8,26.94,0.1034,35.1
0,MU5r2,multi_cluster,5.0,2,0.7795,0.7795,0.7795,0.6623,0.58,-0.0,0,1.0,31.55,0.1174,34.6
0,MU5r3,multi_cluster,5.0,3,0.3782,0.3782,0.3782,0.3871,0.3389,0.0,0,0.8,22.09,0.1068,34.9
0,MU7r1,multi_cluster,7.0,1,0.3383,0.3383,0.3383,0.3418,0.3015,0.0,0,0.8,29.5,0.0606,36.7
0,MU7r2,multi_cluster,7.0,2,0.4622,0.4622,0.4622,0.4295,0.3782,-0.0,0,0.8,27.83,0.0692,36.4
0,MU7r3,multi_cluster,7.0,3,0.2466,0.2467,0.2466,0.269,0.2364,0.0,90,0.8,14.16,0.0626,36.6
1,RU3r1,rule_grid,3.0,1,0.6634,0.6635,0.6634,0.5949,0.5219,0.0,85,1.0,8.6,0.2841,27.8
1,RU3r2,rule_grid,3.0,2,0.7956,0.7956,0.7956,0.5573,0.4849,-0.0,150,1.0,21.62,0.2837,27.8
1,RU3r3,rule_grid,3.0,3,1.3243,1.3246,1.3243,0.8977,0.7797,-0.0,145,1.0,21.37,0.2825,28.0
1,RU5r1,rule_grid,5.0,1,0.4618,0.4617,0.4618,0.4147,0.3653,0.0,90,1.0,10.94,0.1378,33.4
1,RU5r2,rule_grid,5.0,2,0.3817,0.3818,0.3817,0.3176,0.279,-0.0,25,0.8,18.37,0.1379,33.3
1,RU5r3,rule_grid,5.0,3,0.6079,0.6081,0.6079,0.4601,0.4042,-0.0,145,0.8,11.98,0.1369,33.5
1,RU7r1,rule_grid,7.0,1,0.3297,0.3297,0.3297,0.2908,0.2565,0.0,0,1.0,17.68,0.0822,35.5
1,RU7r2,rule_grid,7.0,2,0.2693,0.2693,0.2693,0.2282,0.2009,-0.0,25,0.8,23.05,0.0813,35.5
1,RU7r3,rule_grid,7.0,3,0.3782,0.3782,0.3782,0.3075,0.2723,0.0,145,0.8,21.51,0.0807,35.5
1,BE3r1,belt,3.0,1,3.5893,3.5893,3.5893,2.4921,2.2076,-0.0,0,1.0,22.78,0.1778,32.8
1,BE3r2,belt,3.0,2,2.4052,2.4052,2.4052,1.6913,1.4814,0.0,0,1.0,28.67,0.2573,29.3
1,BE3r3,belt,3.0,3,2.2124,2.2125,2.2124,1.4678,1.2832,-0.0,20,1.0,21.07,0.2566,29.3
1,BE5r1,belt,5.0,1,1.5697,1.5697,1.5697,1.1973,1.0644,0.0,0,1.0,12.18,0.0875,35.7
1,BE5r2,belt,5.0,2,1.1107,1.1109,1.1107,0.8734,0.7706,0.0,0,1.0,17.75,0.1248,34.1
1,BE5r3,belt,5.0,3,0.965,0.965,0.965,0.7463,0.6581,0.0,25,1.0,21.32,0.1243,34.1
1,BE7r1,belt,7.0,1,0.8965,0.8965,0.8965,0.7141,0.6382,0.0,0,1.0,12.21,0.0516,36.9
1,BE7r2,belt,7.0,2,0.6896,0.6896,0.6896,0.5659,0.5032,0.0,0,1.0,17.67,0.0738,35.9
1,BE7r3,belt,7.0,3,0.5766,0.5766,0.5766,0.4676,0.4155,-0.0,25,1.0,21.05,0.0731,35.9
1,CL3r1,cluster,3.0,1,0.414,0.4139,0.414,0.4293,0.3768,-0.0,140,0.8,10.66,0.1519,32.8
1,CL3r2,cluster,3.0,2,0.4407,0.4449,0.4407,0.3376,0.2966,0.0,140,1.0,15.22,0.152,32.8
1,CL3r3,cluster,3.0,3,0.4645,0.4673,0.4645,0.3747,0.3274,0.0,80,1.0,4.82,0.1585,32.6
1,CL5r1,cluster,5.0,1,0.3464,0.3466,0.3464,0.3345,0.297,-0.0,90,1.0,7.34,0.0739,35.8
1,CL5r2,cluster,5.0,2,0.2737,0.274,0.2737,0.2804,0.2492,0.0,90,1.0,17.78,0.0741,35.8
1,CL5r3,cluster,5.0,3,0.2604,0.2647,0.2604,0.2585,0.2288,0.0,90,1.0,5.15,0.077,35.7
1,CL7r1,cluster,7.0,1,0.2345,0.2345,0.2345,0.2299,0.2055,0.0,90,1.0,16.79,0.0444,36.9
1,CL7r2,cluster,7.0,2,0.2043,0.2044,0.2043,0.2033,0.1818,0.0,90,1.0,17.53,0.0442,36.9
1,CL7r3,cluster,7.0,3,0.2134,0.2154,0.2134,0.2029,0.1808,0.0,90,1.0,5.49,0.0462,36.8
1,MU3r1,multi_cluster,3.0,1,1.0041,1.004,1.0041,0.8316,0.7258,0.0,175,1.0,28.2,0.2101,30.7
1,MU3r2,multi_cluster,3.0,2,1.8284,1.8284,1.8284,1.3396,1.1707,0.0,0,1.0,34.01,0.2398,29.8
1,MU3r3,multi_cluster,3.0,3,0.5623,0.5623,0.5623,0.5197,0.4555,0.0,175,1.0,8.55,0.2174,30.3
1,MU5r1,multi_cluster,5.0,1,0.6172,0.6172,0.6172,0.5367,0.4752,0.0,0,1.0,26.97,0.1024,34.8
1,MU5r2,multi_cluster,5.0,2,0.904,0.904,0.904,0.7297,0.6448,0.0,0,1.0,22.68,0.1163,34.4
1,MU5r3,multi_cluster,5.0,3,0.4199,0.4199,0.4199,0.3879,0.342,0.0,0,1.0,13.06,0.1057,34.6
1,MU7r1,multi_cluster,7.0,1,0.4167,0.4167,0.4167,0.3644,0.3246,0.0,0,1.0,17.56,0.0599,36.4
1,MU7r2,multi_cluster,7.0,2,0.5726,0.5726,0.5726,0.4783,0.4255,0.0,0,1.0,12.09,0.0684,36.1
1,MU7r3,multi_cluster,7.0,3,0.3074,0.3074,0.3074,0.2784,0.2466,0.0,90,1.0,13.92,0.0619,36.3
2,RU3r1,rule_grid,3.0,1,0.6237,0.6241,0.6237,0.538,0.6218,-0.0,90,0.8,14.29,0.2219,41.8
2,RU3r2,rule_grid,3.0,2,0.5197,0.5198,0.5197,0.4586,0.5559,0.0,70,0.8,17.65,0.2213,41.8
