lon,lat,R,F75,D
102.0,5.0,,0.0,
103.0,5.0,,0.0,
104.0,5.0,,0.0,
105.0,5.0,,0.0,
106.0,5.0,,0.0,
107.0,5.0,,0.0,
108.0,5.0,,0.0,
101.0,6.0,,0.0,
102.0,6.0,,0.0,
103.0,6.0,,0.0,
104.0,6.0,,0.0,
105.0,6.0,,0.0,
106.0,6.0,,0.0,
107.0,6.0,,0.0,
108.0,6.0,,0.0,
109.0,6.0,,0.0,
110.0,6.0,,0.0,
100.0,7.0,,0.0,
101.0,7.0,,0.0,
102.0,7.0,,0.0,
103.0,7.0,,0.0,
104.0,7.0,,0.0,
105.0,7.0,,0.0,
106.0,7.0,,0.0,
107.0,7.0,,0.0,
108.0,7.0,,0.0,
109.0,7.0,,0.0,
110.0,7.0,,0.0,
111.0,7.0,,0.0,
100.0,8.0,,0.0,
101.0,8.0,,0.0,
102.0,8.0,,0.0,
103.0,8.0,,0.0,
104.0,8.0,86.89,100.0,1.91
105.0,8.0,87.93,100.0,2.59
106.0,8.0,85.56,100.0,2.05
107.0,8.0,86.14,100.0,2.22
108.0,8.0,84.32,100.0,1.99
109.0,8.0,81.37,100.0,2.12
110.0,8.0,80.83,100.0,0.98
111.0,8.0,82.7,100.0,1.64
112.0,8.0,84.56,100.0,1.64
100.0,9.0,,0.0,
101.0,9.0,,0.0,
102.0,9.0,,0.0,
103.0,9.0,,0.0,
104.0,9.0,72.61,30.56,6.2
105.0,9.0,88.63,100.0,1.7
106.0,9.0,88.88,100.0,1.8
107.0,9.0,86.72,100.0,3.61
108.0,9.0,83.73,100.0,1.87
109.0,9.0,78.38,100.0,2.57
110.0,9.0,77.43,97.22,1.43
111.0,9.0,80.08,100.0,1.66
112.0,9.0,82.16,100.0,1.91
100.0,10.0,,0.0,
101.0,10.0,,0.0,
102.0,10.0,,0.0,
103.0,10.0,,0.0,
104.0,10.0,77.88,58.33,10.35
105.0,10.0,89.5,100.0,1.37
106.0,10.0,86.06,91.67,6.6
107.0,10.0,88.3,100.0,3.88
108.0,10.0,82.82,100.0,3.24
109.0,10.0,75.15,52.78,2.76
110.0,10.0,73.28,33.33,5.25
111.0,10.0,75.31,66.67,2.39
112.0,10.0,77.93,100.0,2.28
101.0,11.0,,0.0,
102.0,11.0,,0.0,
103.0,11.0,,0.0,
104.0,11.0,98.38,100.0,2.1
105.0,11.0,80.5,88.89,3.15
106.0,11.0,86.31,97.22,7.41
107.0,11.0,78.46,72.22,7.93
108.0,11.0,91.91,100.0,3.28
109.0,11.0,79.5,86.11,4.34
110.0,11.0,71.2,16.67,5.39
111.0,11.0,72.99,22.22,3.4
112.0,11.0,75.02,52.78,2.68
102.0,12.0,,0.0,
103.0,12.0,,0.0,
104.0,12.0,91.24,100.0,5.06
105.0,12.0,75.56,52.78,9.73
106.0,12.0,86.51,100.0,5.33
107.0,12.0,94.44,100.0,0.85
108.0,12.0,97.3,100.0,1.27
109.0,12.0,97.05,100.0,1.1
110.0,12.0,79.13,100.0,2.24
111.0,12.0,76.1,77.78,2.1
112.0,12.0,75.27,55.56,3.32
103.0,13.0,,0.0,
104.0,13.0,86.39,100.0,2.01
105.0,13.0,80.08,88.89,2.8
106.0,13.0,87.26,100.0,3.05
107.0,13.0,97.93,100.0,0.89
108.0,13.0,94.98,100.0,1.83
109.0,13.0,98.51,100.0,1.16
110.0,13.0,76.18,72.22,2.57
111.0,13.0,75.68,66.67,4.19
104.0,14.0,93.86,100.0,3.65
105.0,14.0,87.05,100.0,4.0
106.0,14.0,71.29,27.78,10.37
107.0,14.0,80.83,91.67,5.33
108.0,14.0,94.56,100.0,2.63
109.0,14.0,96.6,100.0,2.07
107.0,16.0,96.64,100.0,1.18
108.0,16.0,87.68,91.67,5.19
109.0,16.0,81.12,83.33,4.32
110.0,16.0,74.73,36.11,2.53
111.0,16.0,68.51,0.0,6.0
106.0,17.0,96.51,100.0,1.06
107.0,17.0,83.69,100.0,3.59
108.0,17.0,69.05,13.89,5.5
109.0,17.0,73.73,38.89,9.15
110.0,17.0,71.16,8.33,6.64
111.0,17.0,68.88,0.0,2.45
112.0,17.0,64.65,0.0,6.78
113.0,17.0,63.98,0.0,7.88
114.0,17.0,65.6,0.0,5.62
105.0,18.0,99.5,100.0,0.25
106.0,18.0,92.7,100.0,0.95
107.0,18.0,80.33,83.33,3.44
108.0,18.0,72.12,16.67,8.03
109.0,18.0,59.34,0.0,10.91
110.0,18.0,68.09,5.56,3.42
111.0,18.0,63.78,0.0,5.54
112.0,18.0,63.78,0.0,5.95
113.0,18.0,60.17,0.0,12.45
114.0,18.0,61.45,0.0,6.91
115.0,18.0,63.36,0.0,5.5
116.0,18.0,64.36,0.0,6.12
104.0,19.0,99.75,100.0,0.0
105.0,19.0,99.25,100.0,0.19
106.0,19.0,72.49,33.33,7.39
107.0,19.0,78.55,91.67,2.47
108.0,19.0,71.91,22.22,3.78
109.0,19.0,85.48,100.0,2.68
110.0,19.0,78.55,72.22,6.04
111.0,19.0,58.8,0.0,5.54
112.0,19.0,57.59,0.0,10.06
113.0,19.0,54.11,0.0,13.65
114.0,19.0,54.44,0.0,10.1
115.0,19.0,56.06,0.0,6.18
116.0,19.0,58.63,0.0,7.16
117.0,19.0,58.42,0.0,7.63
118.0,19.0,53.61,0.0,7.8
119.0,19.0,48.38,0.0,9.67
103.0,20.0,,0.0,
104.0,20.0,97.76,100.0,1.06
105.0,20.0,89.38,100.0,3.65
106.0,20.0,82.74,100.0,1.49
107.0,20.0,73.61,27.78,3.71
108.0,20.0,68.38,5.56,6.78
109.0,20.0,68.92,25.0,10.06
110.0,20.0,71.0,13.89,3.84
111.0,20.0,75.48,55.56,3.59
112.0,20.0,52.16,0.0,10.73
113.0,20.0,46.85,0.0,14.85
114.0,20.0,55.23,0.0,12.24
115.0,20.0,51.87,0.0,8.28
116.0,20.0,50.12,0.0,7.84
117.0,20.0,50.25,0.0,7.26
118.0,20.0,48.13,0.0,7.97
119.0,20.0,41.83,0.0,12.03
