farm_id,n_turb,layout_type,spacing_D_med,spacing_match,capacity_MW,E_base,E_S1,E_S2,E_S3,G_plan_S1,G_plan_S2,G_plan_S3,G_info_S1,G_info_S2,G_info_S3,V1,V2,V3,pos_frac_S1,pos_frac_S2,pos_frac_S3,g_so_S1_p05,g_so_S1_p95,g_so_S2_p05,g_so_S2_p95,g_so_S3_p05,g_so_S3_p95,monotonic,dE_GWh_S1,e_MWhperMW_S1,dE_GWh_S2,e_MWhperMW_S2,dE_GWh_S3,e_MWhperMW_S3,e_base_MWhperMW,area_real_km2,Y_area_S1,Y_area_S2,Y_area_S3,corridor
0,928,multi_cluster,3.243,3.0,9280,34044654.54046248,34050394.245624594,30982104.0,37237376.0,0.016859343234908397,-8.995686934706889,9.378040407908776,1.752726628786399,2.6586179733276367,10.364856,5739.705162115395,-3068290.2456245944,6255272.0,1.0,1.0,0.8,0.9777685214683038,2.190182160564064,0.5040561556816101,1.8023868799209595,-0.069657795,0.48254362,False,5.326446390441561,3405.0394245624593,-2842.0469015491813,3098.2104,2962.8455144508184,3723.7376,3404.465454046248,3009.2414144729128,11315.275033056372,1135457.8904932933,114280.46722030923,other
1,588,multi_cluster,3.421,3.0,5880,33701500.48263328,33702571.41963244,30738668.0,36903248.0,0.0031777131101815076,-8.791396347946154,9.500311474311403,1.7227533036519742,2.611156463623047,10.304735,1070.9369991645217,-2963903.4196324423,6164580.0,1.0,1.0,1.0,1.230129678781461,2.0834733170509026,0.7872254252433777,1.5134998559951782,0.08488096,0.44420683,False,0.6297109555077077,3370.257141963244,-1742.1454997883686,3073.8668,1882.6275402116319,3690.3248,3370.150048263328,1574.3978347671784,21406.642384398587,1126536.2456937623,116075.3259416529,other
2,572,cluster,3.539,3.0,5720,44549299.95707775,44556162.294056945,47573632.0,51703832.0,0.015403916527997484,6.788730790014943,16.059808010037155,0.35784685421196333,0.700007438659668,7.672575,6862.336979195476,3017469.7059430555,4130200.0,1.0,1.0,1.0,0.2840896285670999,0.5542722763682455,0.2092358022928238,0.6287553310394287,0.10368944,0.3216312,True,3.925256752103633,4455.616229405695,1729.9179285515277,4757.3632,4092.39232855153,5170.3832,4454.929995707775,624.0069496921817,71403.3109984371,854508.6905239462,158677.61675904272,other
3,441,multi_cluster,2.413,3.0,4410,33694447.41004222,33702119.48342977,31717190.0,37950264.0,0.022769548033192435,-5.868199546293558,12.630616962394186,2.982161395084581,2.4871559143066406,10.026904,7672.073387548327,-1984929.4834297672,6233074.0,1.0,1.0,1.0,1.704915756523007,3.679344968907946,0.22101297974586487,1.9834496974945068,0.07935795,0.27369335,False,3.383384363910741,3370.211948342977,-871.9705178286174,3171.719,1876.8151161713834,3795.0264,3369.4447410042217,504.8712901142484,66753.88389742511,1162397.9330059371,116468.30058740126,other
4,364,multi_cluster,2.617,3.0,3640,32377784.304087996,33143902.292243004,31474650.0,37588412.0,2.3661841124140106,-2.789364138095044,16.093218878025922,3.998910204734018,5.871982574462891,11.963577,766117.9881550074,-1669252.2922430038,6113762.0,1.0,1.0,1.0,3.5995855560297865,4.371430844399821,3.262380599975586,4.939358711242676,0.71237284,1.1254278,False,278.86694768842386,3314.3902292243006,-328.7408866880297,3147.465,1896.6684813119691,3758.8412,3237.7784304087995,396.4318391205543,83605.55087040826,1153509.1255588946,115357.78690285476,other
5,339,belt,6.349,7.0,3390,53154532.81327789,53205014.48596575,54505140.0,54692452.0,0.09497152926767541,2.5409068902299303,2.893298285819828,0.12685421173533906,1.378649353981018,7.061926,50481.67268785834,1300125.514034249,187312.0,1.0,0.8,0.8,0.03927877501466733,0.16986603266847855,-0.0038302354514598846,0.41355055570602417,-0.048458308,0.19538723,True,17.11328704118325,5320.501448596575,457.85583629879494,5450.514,521.3546042987955,5469.2452,5315.453281327789,841.9428348280384,63193.14362575761,697704.4913424533,167849.60809226558,other
6,292,cluster,3.67,3.0,2920,28978504.687166527,29058106.31155596,27726872.0,31528046.0,0.27469196650676353,-4.319176233136789,8.798043033471522,2.7774089904365993,1.4296945333480835,11.856669,79601.62438943237,-1331234.3115559593,3801174.0,1.0,1.0,1.0,2.6071581359833664,3.0281251083849807,0.5712383985519409,1.4171690940856934,1.110306,1.617876,False,23.243674321713314,2905.8106311555957,-365.4767446526267,2772.6872,744.4660633473736,3152.8046,2897.850468716653,466.7266044440933,62259.37419223479,498024.8950730747,529429.3294822925,other
7,284,rule_grid,3.94,3.0,2840,48325906.94433902,48331064.58270418,44464316.0,54548604.0,0.010672615769213458,-7.9907262760463835,12.876524102958227,0.22049035948986526,0.502336323261261,7.305591,5157.638365156949,-3866748.582704179,10084288.0,0.8,1.0,1.0,-0.0012671881394681409,0.6482612105812406,0.05724714323878288,1.0311639308929443,0.011903707,0.36788094,False,1.464769295703627,4833.1064582704175,-1096.6918281922824,4446.4316,1767.2459638077164,5454.8604,4832.590694433902,219.10316962142903,220585.87589678227,2520414.7000472364,167408.14259671865,other
8,278,multi_cluster,3.599,3.0,2780,37557233.49196506,37776076.09137017,34210092.0,40913520.0,0.5826909467437976,-8.912108749120579,8.936458295718124,1.8995324682005026,5.725575923919678,12.130961,218842.59940510988,-3565984.091370173,6703428.0,1.0,1.0,1.0,1.5969532616155149,2.041351969939782,2.9666459560394287,4.641270637512207,0.7169348,1.1268775,False,60.83824263462094,3777.6076091370173,-930.5053347662873,3421.0092,933.0476492337124,4091.352,3755.723349196506,513.1268305080745,73619.37409113074,1253759.876859928,125562.45051282523,other
9,267,multi_cluster,3.732,3.0,2670,44869360.71653381,45358183.83468285,45504512.0,51642160.0,1.08943633326364,1.4155567927049708,15.094485803472784,0.6291759445557146,1.9437742233276367,7.345465,488823.11814904213,146328.16531714797,6137648.0,1.0,1.0,1.0,0.3435350066334272,0.7026320323133283,0.3492332994937897,1.0372298955917358,0.06357687,0.29133168,True,130.51577254579345,4535.818383468285,169.58539268547366,4550.4512,1808.3374086854735,5164.216,4486.936071653381,264.3752323532405,171567.44764229003,1667687.165579418,158488.34711301798,other
