farm_id,angle_deg,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
1,0,588,China,31472907118.265385,33237654167.088,0.6110200027619627,0.05309481348927666,128.02626109999983
3,10,441,China,22979869679.982857,24928240625.315998,0.5948464386663471,0.07815918398005448,77.56294239999988
4,40,364,China,19022512664.53525,20575690674.864,0.5965713490558749,0.07548606921011719,57.8994629000008
6,170,292,China,15583773025.554947,16505773838.077715,0.6092361381730057,0.05585929030457051,41.85850399999981
12,60,244,China,13043300970.739855,13792495946.886856,0.6102300401760917,0.054319028189825515,35.74912659999973
14,150,181,China,9708774848.79326,10231318714.698856,0.6123246580888305,0.05107297314029339,21.890911499998765
17,20,175,United Kingdom,9052269324.180687,9892158978.3,0.5904937589158961,0.08490458513270377,19.52305129999877
22,140,161,Germany,8171497487.985285,9100786260.036001,0.5793908993438047,0.10211082268039556,17.269228699999076
23,160,156,Netherlands,8200702993.488271,8818153146.370285,0.6000982754864969,0.07002034809705797,16.53493140000137
25,60,152,Sweden,8064111925.439616,8592046655.437714,0.6056320540014132,0.061444583714402826,15.872493899998517
28,50,134,China,7131400353.19213,7574567446.241143,0.6075274614250775,0.05850724760117273,13.4019260999994
34,140,125,China,6639374925.275386,7065827841.642857,0.6063356096141905,0.06035427495900004,12.298421100000269
38,40,115,China,6094175276.796385,6500561614.311429,0.6049409645420275,0.06251557351911825,11.024846600001183
39,130,114,Taiwan,6134394971.97731,6444034991.578284,0.6142749110767954,0.04805064218391783,10.93918709999707
41,90,102,China,5437838956.776894,5765715518.780572,0.6085861488021413,0.056866586798410584,9.509413600000698
44,0,108,China,5824533138.242364,6104875255.179428,0.6156491140540297,0.04592102298883495,10.188994500000263
49,160,101,France,4997079683.998601,5709188896.047428,0.5647949369318912,0.1247303645079659,9.327790399998776
56,110,83,Vietnam,4447563414.900768,4691709686.850857,0.611702070597564,0.052037804605502565,7.429221900001721
57,40,80,Vietnam,3989410509.056802,4522129818.651428,0.5692651982101601,0.1178027458206611,7.0900064000015846
59,90,80,Denmark,3967400079.9565997,4522129818.651428,0.5661244406330764,0.12267001632877887,7.072302399999899
63,30,75,China,3975516272.05234,4239496704.9857144,0.6051014112712846,0.06226692725646638,6.5870829000014055
