farm_id,n_turb,L_geo_mean,L_geo_range,Lw_mean,Lw_range,Lw_cv,kappa,WCI,theta_energy,A_pred,amp_pred,theta_opt_pred,flat_frac_within_1pct,penalty_flatness,A,wake_pool,WCI_train,spacing_D,aspect_ratio,pc1_share,ws_mean,ws_std,weibull_A,weibull_k,frac_below_rated,wd_entropy_norm,orient_sensitivity,lat,lon,country
0,928,25.71708107794813,44.93308780438022,16.580547428403147,31.88674051199246,0.4470639480256024,0.4919019925751626,0.2388,270.47820716975144,0.19550935767008393,0.38728633156516906,190.0,1.0,0.49518136392793477,1.9905914787072123,0.094283922226746,0.2388,5.0,1.89,0.823,7.376149640677215,3.4339363577139,8.323017697121374,2.270821842662203,0.8496874766075305,0.060333848367418,0.3556026817006572,32.8436,121.4239,China
1,588,25.93664263952184,56.097607981301245,14.58655465064308,35.4703841298615,0.5568144035703121,0.26779730416170733,0.1327125,311.29659803045394,0.050601203301792644,0.09703982054967142,315.0,1.0,0.47855217564121755,,,,,,,,,,,,,,,,
2,572,38.25310827995611,16.689630424450996,16.471763238447956,8.59263927433277,0.11316603672612464,0.278155905459919,0.13775,315.80441633671524,0.02445493720723294,0.04042657483638241,260.0,1.0,0.3950776857496732,0.4261110320989989,0.2038679119748999,0.13775,2.4,1.01,0.623,9.386910087338771,4.523475358771581,10.592506512297383,2.186564924117851,0.6612062121325539,0.0312500455544221,0.3859148635985423,51.6448,2.9165,Belgium
3,441,30.524913396625593,42.99098328692581,19.325697784635956,29.544916259653007,0.43489511510309675,0.33512748127516445,0.16525454545454546,188.9261951319481,0.15281432426044042,0.3098540324546239,265.0,1.0,0.506818345884127,3.4631520626490664,0.1126800035239495,0.1652545454545454,4.1,1.48,1.0,7.43853135927003,3.5423680251429275,8.396005028554166,2.2126145509820314,0.840918055659522,0.0250658144687819,0.3198836152765457,32.6831,121.8054,China
4,364,32.108801594597466,33.298368113405076,22.235737967430428,25.509681797696505,0.2915406727858103,0.4285459862565099,0.2095,133.83949276367449,0.17724144732987349,0.3440738230479331,235.0,1.0,0.48487378156290756,3.465514827768671,0.1474616264688062,0.2095,5.4,1.16,0.995,7.414967550689298,3.1356961261486007,8.337864447231054,2.504461864663184,0.882943302891933,0.042411016153263,0.3474065189084424,21.2977,111.564,China
5,339,17.241946103863704,29.788936410653044,6.476403016599247,12.294800652993343,0.391024401451611,0.3564530786371346,0.17545454545454545,168.08367847473616,0.012860433144347086,0.025241043380112713,255.0,1.0,0.49049518474003784,0.1324533384519057,0.0532339213195294,0.1754545454545454,8.4,1.43,0.768,9.784417531020008,4.60590687899081,11.03744327931951,2.2445677191783737,0.6240793169577136,0.0434875809537874,0.3334047375442055,53.9099,1.7927,United Kingdom
6,292,24.349212383834868,48.63181537612989,16.525802936692166,35.64279138101074,0.5371789995625798,0.3304291199181498,0.163,86.0,0.09811387318859241,0.20226968688413083,25.0,1.0,0.5149353583327756,3.3256618047834743,0.1243985232830267,0.163,8.2,1.79,0.773,6.842877571356384,3.414470909240023,7.72180036041284,2.101698972405111,0.8752506113232028,0.0639927082400004,0.4625506365934109,36.4678,121.5419,China
7,284,36.29416360315327,28.89911843580133,14.577409235805867,13.409441792987653,0.23898652053121822,0.27736065473906396,0.13736363636363635,36.73786605058869,0.01048046158368173,0.02088076182045876,335.0,1.0,0.4980804975512983,0.231951344496494,0.1424958996200052,0.1373636363636363,8.3,2.36,0.877,9.759743179805085,4.543880086919146,11.005667647054018,2.26861243142716,0.6279215067812642,0.0401701801951371,0.4305578521854623,54.0049,6.5218,Netherlands
8,278,22.7996012849064,35.37369643663767,14.20018559280162,24.205890813901586,0.41907190097479174,0.2864061842081306,0.14175454545454547,64.59739394065402,0.03808702221442294,0.07202726439658858,150.0,1.0,0.4712138169691637,1.8685185221474612,0.125943824951704,0.1417545454545454,2.4,2.55,0.896,7.772869573463208,3.319678144421851,8.74075067377731,2.4731683674407328,0.8439831449459789,0.0284262183179215,0.3197318061579557,20.9951,111.5761,China
9,267,36.89891157860389,22.791707459859513,15.71331890245426,10.845131497342619,0.2156326736744407,0.2517369191180273,0.12488181818181818,20.784840787809888,0.018568340531457492,0.03898422688164373,15.0,1.0,0.523696068468013,0.5273702475740969,0.1647890626159261,0.1248818181818181,3.4,1.63,0.731,9.3080496317946,4.67812664575024,10.493767140183165,2.0842547236138973,0.654876635204504,0.0241609018972311,0.4405457783299688,54.0305,-3.5107,United Kingdom
