farm_id,centroid_lat,centroid_lon,shore_km,axis_bearing,coast_bearing,wind_bearing,axis_coast_angle,axis_wind_angle,coast_wind_angle,A,aspect_ratio
0,32.844,121.424,45.249,61.2,132.265,90.48,71.065,29.28,41.785,1.991,1.43
2,51.645,2.916,41.545,114.8,61.595,135.43,53.205,20.63,73.834,0.426,1.07
3,32.683,121.805,56.591,83.0,152.535,60.871,69.535,22.129,88.337,3.463,2.27
4,21.298,111.564,28.34,80.0,67.149,52.696,12.851,27.304,14.453,3.466,1.08
5,53.91,1.793,121.677,94.9,122.034,67.239,27.134,27.661,54.795,0.132,3.4
6,36.468,121.542,33.138,54.3,67.015,86.0,12.715,31.7,18.985,3.326,1.61
7,54.005,6.522,47.214,148.6,20.09,40.99,51.49,72.39,20.9,0.232,1.24
8,20.995,111.576,61.517,10.8,82.131,74.655,71.331,63.855,7.475,1.869,1.44
9,54.03,-3.511,30.407,121.5,139.84,31.725,18.34,89.775,71.885,0.527,1.58
10,58.184,-2.856,37.776,63.3,15.167,57.6,48.133,5.7,42.433,0.212,2.04
11,54.459,7.696,73.69,6.6,169.302,121.9,17.298,64.7,47.402,0.677,1.79
12,22.633,116.222,29.102,65.2,72.997,154.0,7.797,88.8,81.003,6.221,5.76
13,53.444,-3.574,15.283,86.5,81.037,38.455,5.463,48.045,42.582,0.631,1.73
14,39.478,123.381,28.819,171.8,70.518,38.657,78.718,46.857,31.86,2.06,1.49
15,52.329,4.076,32.555,43.6,38.367,106.537,5.233,62.937,68.17,0.128,1.74
16,54.334,5.908,95.371,65.0,95.327,106.354,30.327,41.354,11.027,0.174,2.31
17,51.628,1.497,30.801,166.5,170.5,136.928,4.0,29.572,33.572,1.36,1.1
18,54.024,6.953,47.338,69.7,165.846,140.8,83.854,71.1,25.046,0.26,2.4
19,34.276,120.623,35.36,73.9,155.109,54.756,81.209,19.144,79.648,2.338,2.1
20,54.477,6.34,103.419,21.0,19.527,55.463,1.473,34.463,35.936,0.307,0.99
21,27.286,120.922,37.591,98.7,22.571,69.928,76.129,28.772,47.357,5.542,1.34
22,54.553,11.619,11.771,95.8,28.463,60.379,67.337,35.421,31.916,1.25,5.03
23,54.043,6.122,60.966,87.2,78.952,79.369,8.248,7.831,0.417,0.207,3.19
24,32.533,121.232,5.636,108.4,121.105,84.093,12.705,24.307,37.011,0.655,1.93
25,55.006,13.056,41.762,100.0,124.944,80.372,24.944,19.628,44.573,0.411,2.51
26,51.927,1.962,46.367,63.1,26.107,80.417,36.993,17.317,54.309,0.284,2.13
27,55.634,7.61,58.1,30.1,162.774,75.608,47.326,45.508,87.166,0.22,1.23
28,32.124,122.141,42.344,122.1,168.861,63.89,46.761,58.21,75.029,3.185,3.06
29,54.811,14.093,55.832,138.1,164.545,73.001,26.445,65.099,88.455,0.541,1.43
30,53.18,0.474,13.286,11.3,4.184,93.488,7.116,82.188,89.304,0.715,1.71
31,52.653,4.242,40.895,20.3,12.884,84.269,7.416,63.969,71.385,0.142,1.75
32,21.436,112.221,35.095,17.5,74.279,96.614,56.779,79.114,22.335,5.437,1.45
33,20.145,109.19,29.99,101.1,58.677,94.479,42.423,6.621,35.802,1.909,1.55
