country,planned_GW,mean_A_pct,corridor_tier,est_at_risk_GWh
China,80,3.2,high,8999.0
United Kingdom,45,0.8,mid,1199.0
Germany,30,1.4,mid,1447.0
United States of America,25,0.2,low,138.0
Netherlands,22,0.7,low,551.0
Taiwan,15,2.4,high,1260.0
South Korea,14,1.9,mid,939.0
Denmark,13,2.0,mid,922.0
Vietnam,10,17.2,high,6015.0
Japan,8,4.3,mid,1200.0
Ireland,7,2.5,mid,614.0
Belgium,6,0.4,low,90.0
France,5,1.2,low,205.0
Sweden,3,2.1,low,221.0
Italy,3,8.8,high,928.0
Portugal,2,3.3,low,231.0
Finland,2,0.7,low,50.0
