farm_id,angle_deg,turbine_type,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
57,0,iea_10MW,80,Vietnam,4015664373.9456663,4522129818.651428,0.5730114688849409,0.1119971042443001,8.088582500000484
57,0,ow_6MW,80,Vietnam,2179151923.6792893,2396916706.2857146,0.5182534065066803,0.0908520442263827,8.110385200001474
57,0,ow_8MW,80,Vietnam,2775490762.6309714,3106754022.8571424,0.4950575703893713,0.1066268065604766,8.169686000001093
57,10,iea_10MW,80,Vietnam,4035622908.239748,4522129818.651428,0.5758594332533887,0.10758357895987258,8.937484300004144
57,10,ow_6MW,80,Vietnam,2194050145.7739363,2396916706.2857146,0.5217965529332992,0.08463646649872217,10.919400200000382
57,10,ow_8MW,80,Vietnam,2795140514.6178217,3106754022.8571424,0.4985624490970715,0.1003019569449994,12.460514400001557
57,20,iea_10MW,80,Vietnam,4015664373.9456615,4522129818.651428,0.5730114688849403,0.11199710424430115,11.517526700001326
57,20,ow_6MW,80,Vietnam,2179151923.6792808,2396916706.2857146,0.5182534065066783,0.09085204422638628,12.578459600001224
57,20,ow_8MW,80,Vietnam,2775490762.63096,3106754022.8571424,0.4950575703893693,0.10662680656048028,15.440458299999591
57,30,iea_10MW,80,Vietnam,4035622908.239764,4522129818.651428,0.5758594332533911,0.107583578959869,19.470304299997224
57,30,ow_6MW,80,Vietnam,2194050145.7739377,2396916706.2857146,0.5217965529332995,0.08463646649872157,17.53188809999847
57,30,ow_8MW,80,Vietnam,2795140514.6178217,3106754022.8571424,0.4985624490970715,0.1003019569449994,25.839271299999382
57,40,iea_10MW,80,Vietnam,4015664373.9456677,4522129818.651428,0.5730114688849411,0.11199710424429979,28.087591299998167
57,40,ow_6MW,80,Vietnam,2179151923.679284,2396916706.2857146,0.5182534065066791,0.09085204422638489,33.12232370000129
57,40,ow_8MW,80,Vietnam,2775490762.6309667,3106754022.8571424,0.4950575703893705,0.10662680656047813,32.595343900000444
57,50,iea_10MW,80,Vietnam,4035622908.239781,4522129818.651428,0.5758594332533934,0.10758357895986531,32.507060099997034
57,50,ow_6MW,80,Vietnam,2194050145.773943,2396916706.2857146,0.5217965529333007,0.08463646649871938,18.975898500000767
57,50,ow_8MW,80,Vietnam,2795140514.61783,3106754022.8571424,0.498562449097073,0.10030195694499679,20.497241299999587
57,60,iea_10MW,80,Vietnam,4015664373.945657,4522129818.651428,0.5730114688849396,0.1119971042443022,21.072962199999893
57,60,ow_6MW,80,Vietnam,2179151923.679284,2396916706.2857146,0.5182534065066791,0.09085204422638489,18.72239200000331
57,60,ow_8MW,80,Vietnam,2775490762.6309633,3106754022.8571424,0.49505757038936987,0.10662680656047921,27.41334949999873
57,70,iea_10MW,80,Vietnam,4035622908.2397685,4522129818.651428,0.5758594332533916,0.10758357895986805,29.44087700000091
57,70,ow_6MW,80,Vietnam,2194050145.77394,2396916706.2857146,0.5217965529333001,0.08463646649872057,31.889287799996964
57,70,ow_8MW,80,Vietnam,2795140514.6178236,3106754022.8571424,0.49856244909707187,0.10030195694499877,34.15798170000198
57,80,iea_10MW,80,Vietnam,4015664373.945674,4522129818.651428,0.573011468884942,0.11199710424429841,31.44848859999911
57,80,ow_6MW,80,Vietnam,2179151923.67929,2396916706.2857146,0.5182534065066804,0.0908520442263825,26.19926619999751
57,80,ow_8MW,80,Vietnam,2775490762.6309733,3106754022.8571424,0.49505757038937165,0.10662680656047599,26.201389499998186
57,90,iea_10MW,80,Vietnam,4035622908.239784,4522129818.651428,0.5758594332533938,0.10758357895986467,26.808542300001136
57,90,ow_6MW,80,Vietnam,2194050145.773942,2396916706.2857146,0.5217965529333005,0.08463646649871978,26.631983999999647
57,90,ow_8MW,80,Vietnam,2795140514.6178265,3106754022.8571424,0.49856244909707237,0.10030195694499786,22.63709459999518
57,100,iea_10MW,80,Vietnam,4015664373.9456644,4522129818.651428,0.5730114688849407,0.11199710424430052,22.20729460000439
57,100,ow_6MW,80,Vietnam,2179151923.6792808,2396916706.2857146,0.5182534065066783,0.09085204422638628,19.695847900002263
57,100,ow_8MW,80,Vietnam,2775490762.630959,3106754022.8571424,0.4950575703893691,0.10662680656048058,20.84211370000412
57,110,iea_10MW,80,Vietnam,4035622908.2397738,4522129818.651428,0.5758594332533924,0.1075835789598669,25.003574800000933
