wd_sector_deg,ws_bin_m_s,wake_efficiency
0.0,0.0,1.0
0.0,3.0,0.10784166547484698
0.0,4.0,0.28520002181326154
0.0,5.0,0.33951915576337577
0.0,6.0,0.3988020916866543
0.0,7.0,0.4246529090134231
0.0,8.0,0.4364984294475728
0.0,9.0,0.4390209510321994
0.0,10.0,0.4448347755888717
0.0,11.0,0.49443829491257163
0.0,12.0,0.6251946046875312
0.0,13.0,0.7650084509996848
0.0,14.0,0.9107146678826057
0.0,16.0,1.0
0.0,18.0,1.0
0.0,20.0,1.0
0.0,22.0,1.0
0.0,25.0,1.0
0.0,30.0,1.0
10.0,0.0,1.0
10.0,3.0,0.2744426619038808
10.0,4.0,0.7713573577453109
10.0,5.0,0.8158782122036019
10.0,6.0,0.8337528445901166
10.0,7.0,0.8437167392214225
10.0,8.0,0.8435571874858697
10.0,9.0,0.8481727117142308
10.0,10.0,0.8647665781420991
10.0,11.0,0.9571093384215861
10.0,12.0,1.0
10.0,13.0,1.0
10.0,14.0,1.0
10.0,16.0,1.0
10.0,18.0,1.0
10.0,20.0,1.0
10.0,22.0,1.0
10.0,25.0,1.0
10.0,30.0,1.0
20.0,0.0,1.0
20.0,3.0,0.33967247885845664
20.0,4.0,0.7955588250518141
20.0,5.0,0.8365894419318959
20.0,6.0,0.8508716152557604
20.0,7.0,0.8582746973034773
20.0,8.0,0.8568628764563427
20.0,9.0,0.8588209832035442
20.0,10.0,0.8709102517081527
20.0,11.0,0.9378455648510604
20.0,12.0,1.0
20.0,13.0,1.0
20.0,14.0,1.0
20.0,16.0,1.0
20.0,18.0,1.0
20.0,20.0,1.0
20.0,22.0,1.0
20.0,25.0,1.0
20.0,30.0,1.0
30.0,0.0,1.0
30.0,3.0,0.30283954182454237
30.0,4.0,0.7719017470457086
30.0,5.0,0.8161140157986649
30.0,6.0,0.831255415617797
30.0,7.0,0.8395811095360246
30.0,8.0,0.8379055972772944
30.0,9.0,0.8397094880086166
30.0,10.0,0.8530887743112059
30.0,11.0,0.927822375914646
30.0,12.0,1.0
30.0,13.0,1.0
30.0,14.0,1.0
30.0,16.0,1.0
30.0,18.0,1.0
30.0,20.0,1.0
30.0,22.0,1.0
30.0,25.0,1.0
30.0,30.0,1.0
40.0,0.0,1.0
40.0,3.0,0.2582451818557064
40.0,4.0,0.6591697238870522
40.0,5.0,0.7250213341221483
40.0,6.0,0.746793945477106
40.0,7.0,0.7592764595820394
40.0,8.0,0.7565071378302827
40.0,9.0,0.7599185826939522
40.0,10.0,0.780165123102018
40.0,11.0,0.8643666770219286
40.0,12.0,0.9980108760728623
40.0,13.0,1.0
40.0,14.0,1.0
40.0,16.0,1.0
40.0,18.0,1.0
40.0,20.0,1.0
40.0,22.0,1.0
40.0,25.0,1.0
40.0,30.0,1.0
50.0,0.0,1.0
50.0,3.0,0.26046175954607076
50.0,4.0,0.6806705470396403
50.0,5.0,0.7423569883450477
50.0,6.0,0.7630893391495257
50.0,7.0,0.7750496398431489
50.0,8.0,0.7726249739409887
50.0,9.0,0.7742316578708077
50.0,10.0,0.7937693985842676
50.0,11.0,0.8788541119912692
50.0,12.0,0.9999722790873419
50.0,13.0,1.0
50.0,14.0,1.0
50.0,16.0,1.0
50.0,18.0,1.0
50.0,20.0,1.0
50.0,22.0,1.0
50.0,25.0,1.0
50.0,30.0,1.0
60.0,0.0,1.0
60.0,3.0,0.30266118238153766
