farm_id,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country
0,928,121.41044049999999,32.830987,21.62,68.38,0.663,1.403,676.6,642.0,3.417,3.243,0.751,17,multi_cluster,2024,China
1,588,121.1846675,33.4708095,118.68,151.32,0.7418,1.695,717.4,677.4,3.623,3.421,0.877,13,multi_cluster,2024,China
2,572,2.9152525000000002,51.6454315,127.79,142.21,0.5984,1.221,807.6,700.7,4.079,3.539,1.546,1,cluster,2024,Belgium
3,441,121.815548,32.670181,6.07,83.93,0.8749,2.645,525.7,477.8,2.655,2.413,0.983,12,multi_cluster,2024,China
4,364,111.56654,21.297721,4.27,85.73,0.6681,1.419,540.7,518.2,2.731,2.617,1.036,7,multi_cluster,2024,China
5,339,1.771577,53.908667,173.24,96.76,0.8612,2.491,1250.4,1257.1,6.315,6.349,1.587,1,belt,2024,United Kingdom
6,292,121.553896,36.4593535,33.28,56.72,0.7937,1.962,687.2,726.6,3.471,3.67,1.087,1,cluster,2024,China
7,284,6.5257175,54.0031695,103.0,167.0,0.6896,1.49,798.1,780.1,4.031,3.94,1.817,1,rule_grid,2024,Netherlands
8,278,111.5842055,20.990707,61.73,28.27,0.5656,1.141,726.5,712.6,3.669,3.599,1.07,7,multi_cluster,2024,China
9,267,-3.505876,54.030201,131.71,138.29,0.7152,1.585,723.1,738.9,3.652,3.732,1.453,3,multi_cluster,2024,United Kingdom
10,246,-2.850594,58.196648,47.05,42.95,0.732,1.653,1162.1,1130.9,5.869,5.711,1.433,1,cluster,2024,United Kingdom
11,246,7.6926805,54.471491,85.64,4.36,0.863,2.51,650.9,600.4,3.287,3.033,1.596,1,belt,2024,Germany
12,244,116.207802,22.6310215,20.73,69.27,0.9785,6.751,555.4,541.8,2.805,2.736,0.987,21,multi_cluster,2024,China
13,215,-3.593973,53.451647,6.19,83.81,0.673,1.435,636.6,712.0,3.215,3.596,1.428,3,multi_cluster,2024,United Kingdom
14,181,123.371441,39.479305,98.41,171.59,0.7306,1.647,736.4,686.0,3.719,3.465,1.067,3,multi_cluster,2024,China
15,182,4.077370999999999,52.34044,56.26,33.74,0.8258,2.177,1083.2,1106.7,5.471,5.589,1.557,1,cluster,2024,Netherlands
16,178,5.9099155,54.329815999999994,34.99,55.01,0.8171,2.113,823.5,846.6,4.159,4.276,1.754,1,cluster,2024,Netherlands
17,175,1.498285,51.625977,92.11,177.89,0.62,1.277,644.7,647.3,3.256,3.269,1.646,1,cluster,2024,United Kingdom
18,174,6.96841,54.014252,27.53,62.47,0.8621,2.501,846.7,822.1,4.276,4.152,1.459,2,multi_cluster,2024,Germany
19,171,120.620415,34.282251,14.33,75.67,0.8399,2.291,654.5,646.1,3.306,3.263,1.239,3,multi_cluster,2024,China
20,167,6.348662,54.480202,82.8,7.2,0.6915,1.497,702.9,683.5,3.55,3.452,1.627,1,cluster,2024,Netherlands
