farm_id,paradigm,A_built,A_fixed,A_C0,A_C1,A_C2,A_C3,t_built_bin,theta_energy_deg,theta_star_off_deg,pos_frac,wake_loss_built,wake_loss_rot,aep_built_MWh
0,S_A,0.2081,0.208,0.2081,0.1707,0.1497,-0.0,19,84.6,175,0.8,0.0314,0.0323,37.7
0,S_B0,0.6382,0.6382,0.6382,0.5721,0.5005,0.0,0,84.6,85,1.0,0.2453,0.2499,29.4
0,S_B45,0.638,0.638,0.638,0.572,0.5005,-0.0,9,84.6,85,1.0,0.2453,0.2499,29.4
0,S_C,0.5118,0.5118,0.5118,0.4378,0.383,0.0,19,84.6,85,0.8,0.1221,0.1209,34.2
0,S_D,0.7729,0.7729,0.7729,0.6529,0.5701,0.0,0,84.6,90,1.0,0.1885,0.1906,31.6
0,S_E,0.1479,0.1479,0.1479,0.1224,0.1078,0.0,19,84.6,175,0.8,0.0211,0.0217,38.1
1,S_A,0.2349,0.2349,0.2349,0.1836,0.1624,0.0,18,91.1,0,1.0,0.0297,0.0319,37.4
1,S_B0,0.6235,0.6235,0.6235,0.5668,0.4993,0.0,0,91.1,90,1.0,0.2431,0.2478,29.2
1,S_B45,0.6235,0.6235,0.6235,0.5668,0.4993,0.0,9,91.1,90,1.0,0.2431,0.2478,29.2
1,S_C,0.5835,0.5835,0.5835,0.466,0.4102,-0.0,18,91.1,90,1.0,0.1176,0.1197,34.0
1,S_D,0.8259,0.8259,0.8259,0.6874,0.6046,0.0,0,91.1,90,1.0,0.1868,0.1889,31.3
1,S_E,0.1683,0.1683,0.1683,0.1342,0.1193,-0.0,18,91.1,0,1.0,0.0198,0.0214,37.8
2,S_A,0.172,0.172,0.172,0.1462,0.1971,0.0,25,236.6,145,1.0,0.0287,0.0257,51.9
2,S_B0,0.5622,0.5622,0.5622,0.4763,0.5549,0.0,0,236.6,0,0.8,0.1881,0.1927,43.4
2,S_B45,0.5617,0.5617,0.5617,0.4759,0.5544,-0.0,9,236.6,90,0.8,0.1881,0.1927,43.4
2,S_C,0.4027,0.4028,0.4027,0.3357,0.4024,-0.0,25,236.6,145,1.0,0.0969,0.0932,48.2
2,S_D,0.5784,0.5784,0.5784,0.4975,0.6002,0.0,0,236.6,0,0.8,0.1414,0.1463,45.9
2,S_E,0.1289,0.1289,0.1289,0.1056,0.1396,-0.0,25,236.6,55,1.0,0.0194,0.0174,52.4
3,S_A,0.1984,0.1983,0.1984,0.1555,0.1401,-0.0,19,83.5,175,0.8,0.0308,0.0314,38.4
3,S_B0,0.6039,0.6039,0.6039,0.4454,0.3968,0.0,0,83.5,70,1.0,0.2416,0.2439,30.0
3,S_B45,0.6036,0.6036,0.6036,0.4455,0.3968,0.0,9,83.5,70,1.0,0.2416,0.2439,30.0
3,S_C,0.4265,0.4265,0.4265,0.3902,0.3488,0.0,19,83.5,85,0.8,0.1206,0.1176,34.8
3,S_D,0.6658,0.6658,0.6658,0.5811,0.5184,0.0,0,83.5,70,1.0,0.1855,0.1858,32.3
3,S_E,0.1446,0.1446,0.1446,0.113,0.1023,0.0,19,83.5,175,0.8,0.0206,0.0211,38.8
