lon,lat,R,F75,D
102.0,5.0,,0.0,
103.0,5.0,,0.0,
104.0,5.0,,0.0,
105.0,5.0,,0.0,
106.0,5.0,,0.0,
107.0,5.0,,0.0,
108.0,5.0,,0.0,
101.0,6.0,,0.0,
102.0,6.0,,0.0,
103.0,6.0,,0.0,
104.0,6.0,,0.0,
105.0,6.0,,0.0,
106.0,6.0,,0.0,
107.0,6.0,,0.0,
108.0,6.0,,0.0,
109.0,6.0,,0.0,
110.0,6.0,,0.0,
100.0,7.0,,0.0,
101.0,7.0,,0.0,
102.0,7.0,,0.0,
103.0,7.0,,0.0,
104.0,7.0,,0.0,
105.0,7.0,,0.0,
106.0,7.0,,0.0,
107.0,7.0,,0.0,
108.0,7.0,,0.0,
109.0,7.0,,0.0,
110.0,7.0,,0.0,
111.0,7.0,,0.0,
100.0,8.0,,0.0,
101.0,8.0,,0.0,
102.0,8.0,,0.0,
103.0,8.0,,0.0,
104.0,8.0,85.93,100.0,1.45
105.0,8.0,88.8,100.0,5.6
106.0,8.0,86.39,100.0,4.65
107.0,8.0,86.1,100.0,3.26
108.0,8.0,84.73,100.0,0.79
109.0,8.0,81.58,100.0,0.68
110.0,8.0,81.16,100.0,2.05
111.0,8.0,83.94,100.0,1.16
112.0,8.0,85.31,100.0,0.25
100.0,9.0,,0.0,
101.0,9.0,,0.0,
102.0,9.0,,0.0,
103.0,9.0,,0.0,
104.0,9.0,68.59,16.67,7.1
105.0,9.0,88.17,100.0,3.51
106.0,9.0,90.04,100.0,2.78
107.0,9.0,88.09,100.0,5.68
108.0,9.0,83.86,100.0,2.32
109.0,9.0,78.01,100.0,0.75
110.0,9.0,79.5,100.0,0.62
111.0,9.0,82.28,100.0,1.18
112.0,9.0,84.4,100.0,1.29
100.0,10.0,,0.0,
101.0,10.0,,0.0,
102.0,10.0,,0.0,
103.0,10.0,,0.0,
104.0,10.0,74.11,16.67,1.24
105.0,10.0,87.8,100.0,2.05
106.0,10.0,87.76,100.0,4.4
107.0,10.0,89.75,100.0,2.2
108.0,10.0,84.65,100.0,5.31
109.0,10.0,75.39,66.67,3.15
110.0,10.0,76.68,66.67,4.59
111.0,10.0,78.76,100.0,2.95
112.0,10.0,80.33,100.0,1.87
101.0,11.0,,0.0,
102.0,11.0,,0.0,
103.0,11.0,,0.0,
104.0,11.0,98.63,100.0,2.99
105.0,11.0,76.18,50.0,6.7
106.0,11.0,88.26,100.0,3.2
107.0,11.0,76.22,50.0,10.25
108.0,11.0,90.21,100.0,4.88
109.0,11.0,82.37,100.0,4.11
110.0,11.0,73.65,33.33,5.39
111.0,11.0,72.78,33.33,2.41
112.0,11.0,74.02,16.67,0.83
102.0,12.0,,0.0,
103.0,12.0,,0.0,
104.0,12.0,89.88,100.0,3.57
105.0,12.0,71.62,33.33,5.83
106.0,12.0,84.52,100.0,3.63
107.0,12.0,94.36,100.0,1.12
108.0,12.0,97.05,100.0,0.77
109.0,12.0,96.47,100.0,0.21
110.0,12.0,80.58,100.0,0.75
111.0,12.0,75.77,100.0,0.54
112.0,12.0,74.48,33.33,1.74
103.0,13.0,,0.0,
104.0,13.0,85.73,100.0,2.59
105.0,13.0,80.17,100.0,3.73
106.0,13.0,83.57,100.0,4.88
107.0,13.0,97.84,100.0,0.12
108.0,13.0,95.1,100.0,2.34
109.0,13.0,98.88,100.0,0.27
110.0,13.0,77.34,100.0,1.43
111.0,13.0,76.89,66.67,3.71
104.0,14.0,94.52,100.0,3.76
105.0,14.0,86.18,100.0,5.25
106.0,14.0,72.2,33.33,5.02
107.0,14.0,78.42,100.0,0.87
108.0,14.0,95.19,100.0,0.52
109.0,14.0,96.35,100.0,0.39
107.0,16.0,96.27,100.0,1.85
108.0,16.0,87.63,100.0,1.43
109.0,16.0,84.02,100.0,2.97
110.0,16.0,74.73,50.0,1.54
111.0,16.0,65.48,0.0,1.56
106.0,17.0,96.1,100.0,1.62
107.0,17.0,86.8,100.0,4.11
108.0,17.0,69.13,0.0,0.83
109.0,17.0,77.51,66.67,4.61
110.0,17.0,73.86,16.67,1.0
111.0,17.0,67.22,0.0,0.23
112.0,17.0,61.78,0.0,6.62
113.0,17.0,64.98,0.0,2.9
114.0,17.0,71.0,0.0,5.73
105.0,18.0,99.38,100.0,0.21
106.0,18.0,92.49,100.0,0.58
107.0,18.0,81.16,100.0,1.72
108.0,18.0,74.56,33.33,3.44
109.0,18.0,57.18,0.0,16.56
110.0,18.0,68.38,0.0,9.15
111.0,18.0,58.05,0.0,5.27
112.0,18.0,58.38,0.0,2.26
113.0,18.0,58.26,0.0,2.84
114.0,18.0,66.31,0.0,4.48
115.0,18.0,69.05,0.0,3.65
116.0,18.0,70.33,0.0,5.39
104.0,19.0,99.75,100.0,0.06
105.0,19.0,99.42,100.0,0.0
106.0,19.0,72.61,0.0,8.8
107.0,19.0,79.25,66.67,6.1
108.0,19.0,73.9,50.0,8.51
109.0,19.0,82.9,100.0,3.42
110.0,19.0,72.12,16.67,2.9
111.0,19.0,62.99,0.0,4.65
112.0,19.0,51.04,0.0,7.78
113.0,19.0,47.14,0.0,7.16
114.0,19.0,56.76,0.0,9.07
115.0,19.0,62.74,0.0,5.25
116.0,19.0,66.27,0.0,10.5
117.0,19.0,66.14,0.0,11.95
118.0,19.0,62.32,0.0,13.94
119.0,19.0,58.09,0.0,19.56
103.0,20.0,,0.0,
104.0,20.0,97.59,100.0,0.64
105.0,20.0,87.97,100.0,2.53
106.0,20.0,81.99,100.0,1.37
107.0,20.0,74.56,50.0,9.25
108.0,20.0,73.4,50.0,19.81
109.0,20.0,67.59,0.0,6.78
110.0,20.0,69.38,0.0,1.87
111.0,20.0,77.55,66.67,3.53
112.0,20.0,46.35,0.0,8.86
113.0,20.0,46.72,0.0,18.84
114.0,20.0,55.31,0.0,14.27
115.0,20.0,54.52,0.0,10.27
116.0,20.0,55.19,0.0,13.73
117.0,20.0,57.84,0.0,16.12
118.0,20.0,56.8,0.0,21.33
119.0,20.0,47.93,0.0,23.05
