farm_id,template,dE_GWh_orientation,pct_orientation,A_pct,E_rot_mean_kWh_per_turb
0,S_A,0.072694,0.208,0.208,37652213.7
0,S_B0,0.172869,0.638,0.638,29184578.3
0,S_B45,0.172819,0.638,0.638,29184560.5
0,S_C,0.162483,0.512,0.512,34204786.2
0,S_D,0.226162,0.774,0.773,31493062.8
0,S_E,0.052233,0.148,0.148,38064882.0
1,S_A,0.051533,0.235,0.235,37296278.1
1,S_B0,0.106242,0.624,0.623,28978162.2
1,S_B45,0.106244,0.624,0.624,28978144.6
1,S_C,0.11638,0.584,0.583,33915322.6
1,S_D,0.151877,0.827,0.826,31249998.1
1,S_E,0.037309,0.168,0.168,37700332.7
2,S_A,0.051216,0.172,0.172,52051681.0
2,S_B0,0.138699,0.562,0.562,43130783.0
2,S_B45,0.138573,0.562,0.562,43130892.2
2,S_C,0.111613,0.403,0.403,48441679.7
2,S_D,0.151378,0.58,0.578,45606637.3
2,S_E,0.038702,0.129,0.129,52494735.4
3,S_A,0.033576,0.198,0.198,38377295.8
3,S_B0,0.079786,0.604,0.604,29955698.3
3,S_B45,0.079754,0.604,0.604,29955679.7
3,S_C,0.065773,0.427,0.427,34959386.3
3,S_D,0.094847,0.667,0.666,32260044.3
3,S_E,0.024733,0.145,0.145,38785520.5
4,S_A,0.075282,0.548,0.547,37764193.9
4,S_B0,0.378651,3.619,3.618,28748054.1
4,S_B45,0.378625,3.618,3.618,28748041.2
4,S_C,0.22532,1.816,1.815,34093600.4
4,S_D,0.312673,2.753,2.752,31201695.3
4,S_E,0.051163,0.368,0.368,38195234.6
5,S_A,0.020821,0.112,0.111,55082025.9
5,S_B0,0.066102,0.422,0.422,46201165.7
5,S_B45,0.066061,0.422,0.422,46201273.6
5,S_C,0.043271,0.248,0.248,51522756.1
5,S_D,0.061618,0.373,0.373,48691422.8
5,S_E,0.016077,0.085,0.085,55514558.4
6,S_A,0.031785,0.342,0.342,31836234.4
6,S_B0,0.081457,1.164,1.164,23965693.8
6,S_B45,0.081448,1.164,1.164,23965691.6
6,S_C,0.059943,0.719,0.719,28542701.5
6,S_D,0.069805,0.917,0.915,26057986.0
6,S_E,0.02214,0.235,0.235,32247325.9
7,S_A,0.0228,0.146,0.146,54946128.9
7,S_B0,0.035248,0.271,0.271,45818767.6
7,S_B45,0.035228,0.271,0.271,45818879.4
7,S_C,0.044364,0.305,0.305,51280803.2
7,S_D,0.050194,0.365,0.362,48371948.9
7,S_E,0.017188,0.109,0.109,55392187.1
8,S_A,0.073709,0.645,0.645,41114770.5
8,S_B0,0.281206,3.254,3.254,31087150.4
8,S_B45,0.281171,3.253,3.253,31087141.2
8,S_C,0.169653,1.651,1.651,36959969.9
8,S_D,0.238706,2.542,2.541,33777172.6
8,S_E,0.05046,0.436,0.436,41626893.0
9,S_A,0.026761,0.193,0.193,51984169.1
9,S_B0,0.045396,0.392,0.392,43391482.8
9,S_B45,0.04538,0.392,0.392,43391586.7
9,S_C,0.052676,0.407,0.407,48523564.2
9,S_D,0.051716,0.423,0.421,45788998.1
9,S_E,0.019634,0.14,0.14,52407110.6
10,S_A,0.019169,0.143,0.143,54587608.3
10,S_B0,0.065307,0.582,0.582,45577748.9
10,S_B45,0.065289,0.582,0.582,45577858.7
10,S_C,0.042014,0.335,0.335,50980068.3
10,S_D,0.055383,0.468,0.467,48105913.6
10,S_E,0.013356,0.099,0.099,55025382.9
11,S_A,0.01721,0.126,0.126,55716422.2
11,S_B0,0.015843,0.138,0.138,46556225.7
11,S_B45,0.015827,0.138,0.138,46556340.3
11,S_C,0.027918,0.218,0.218,52059973.3
11,S_D,0.029149,0.241,0.241,49134037.7
11,S_E,0.012937,0.094,0.094,56158528.7
12,S_A,0.083235,0.85,0.85,40115496.7
