farm_id,year,country,P00_kWh,P10_kWh,P01_kWh,P11_kWh,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,P11_err_pct
46,2014,China,110245085.382716,105719989.745824,111663236.347831,105637007.712955,105637007.71295504,106172282.28232288,0.6449145770021675,0.0050415660082025,4.2318013875416366e-14
89,2014,China,70541040.466885,70466661.875174,70034423.048083,70471331.361877,70471331.36187705,71085063.97175449,0.4314395210106346,0.0086337772745242,8.457998965467964e-14
101,2014,China,98631394.013545,92761876.431049,95307914.137294,92766876.32925,92766876.32924974,93233903.0548152,0.5803007402054907,0.0050091941907748,2.7307132709343744e-13
168,2014,China,57200343.255334,54178066.116265,57475387.100063,53351716.019942,53351716.0199416,57618640.16335101,0.2405505929931088,0.0740545790617848,7.541113618229353e-13
169,2014,China,80555306.021311,75178058.802596,79950017.630692,75554325.516412,75554325.51641193,79546531.29838295,0.3325600841428405,0.0501870504823907,9.861223094772266e-14
165,2014,China,78581699.580299,78508898.726651,80100267.463638,78461462.173789,78461462.17378896,86619376.28924479,0.2670573933757282,0.0941811689824965,3.79833889938023e-14
34,2014,China,269499615.502108,255072163.150889,270529486.492116,255260620.301478,255260620.301478,257551594.49461088,0.6327729804201239,0.0088952048525595,0.0
97,2014,China,124208196.239686,129816148.844928,126046588.355955,129005202.914037,129005202.91403694,139775707.80570084,0.3298100547463555,0.0770556276247639,4.6203287486868564e-14
0,2014,China,273260297.823292,280616311.059708,273854544.80098,280573534.223253,280573534.22325253,284316638.6983251,0.4408206608585541,0.013165267049475,1.6995086850340823e-13
45,2014,China,397208295.673227,379360594.737155,400267123.449486,379294350.786749,379294350.7867489,412082551.1913774,0.5876523778922114,0.0795670680785539,3.142922885709005e-14
131,2014,China,281264939.711582,264934791.859967,278288196.520485,264169168.063525,264169168.0635255,286403545.1289661,0.3443738340027708,0.0776330371728763,1.917859999729368e-13
88,2014,China,510487026.874533,470899499.665284,501696431.171799,471277180.043407,471277180.0434072,503794698.2230921,0.327532841774036,0.0645451774192458,3.7942413063518614e-14
109,2014,China,572219694.899388,599534848.45101,567660120.303606,599479816.314829,599479816.3148291,641359466.609132,0.3965757828020091,0.0652982492263202,1.9885455073966336e-14
57,2014,Vietnam,400792636.721938,415052433.916294,374424371.726063,406410729.090987,406410729.09098667,770915218.2204019,0.1142784476905865,0.4728204613353536,8.799666028804042e-14
38,2014,China,1983730220.432895,1920740572.926584,1945822450.885819,1929061450.34258,1929061450.34258,2293286893.0514,0.3757058039424637,0.1588224499134468,0.0
24,2014,China,3465205893.316639,3570525822.17557,3455854786.560962,3574605595.91502,3574605595.9150195,4436835351.338922,0.3063371739754371,0.1943344044001325,1.3339573986792948e-14
46,2015,China,111526408.657924,114922135.381286,115510205.594473,114887646.194771,114887646.19477148,115308207.65191372,0.6941012940718432,0.0036472811927821,4.150465032547823e-13
89,2015,China,68995202.574771,62730634.53608,66703181.803811,62721237.525503,62721237.52550327,63324157.23244819,0.3925474873294735,0.0095211643280421,4.2763968325751817e-13
101,2015,China,100223255.171517,102821608.437814,98350485.393557,102826039.787425,102826039.7874254,103287662.00121117,0.6350422417701668,0.0044692870846504,3.9127379899647546e-13
168,2015,China,55602420.543431,58498956.825767,56256965.116931,57224039.967939,57224039.96793927,62070522.62097527,0.2644119765638077,0.0780802617472766,4.817406849300245e-13
169,2015,China,78901265.808835,68699710.694706,77900501.034055,68517778.131987,68517778.13198683,73059541.90837198,0.3057873795331228,0.0621652375275119,2.609745079324083e-13
165,2015,China,77249437.139979,78432039.244847,79015558.611265,78121774.536357,78121774.53635727,86437313.86984882,0.2687922327840533,0.0962031206339023,3.433369288922513e-13
34,2015,China,272574793.381893,277860337.304574,275783047.991842,278023720.727401,278023720.72740114,280154340.3582148,0.6806799381255996,0.0076051637397063,4.287738083602748e-14
97,2015,China,126165752.655294,129174022.136147,126334384.616607,129296559.15784,129296559.15784016,139737652.0256232,0.3226767136457203,0.0747192522303759,1.2677272635865424e-13
0,2015,China,266703903.193643,244742650.316204,257968613.543377,244765120.393954,244765120.39395425,248320226.2478994,0.3933107089503057,0.0143166181332168,9.740708917913759e-14
45,2015,China,403073788.412379,416314884.737985,407770660.388662,415651751.608402,415651751.6084021,448246944.5731437,0.6360199406420646,0.0727170443867305,1.43400441703289e-14
131,2015,China,276805140.004298,241108917.265447,270138965.063633,240105266.167684,240105266.167684,262246720.40809733,0.3185687490615417,0.0844298613380475,0.0
88,2015,China,501364772.642175,430606786.228924,493223871.417085,433027735.44551,433027735.4455097,462710432.0863559,0.3051403594122441,0.0641496162232765,8.258775117127483e-14
109,2015,China,561661365.510516,511533685.947331,537594723.27014,510826912.065209,510826912.0652091,551005724.3673602,0.343630201313912,0.0729190469813768,2.3336532734509437e-14
57,2015,Vietnam,426419943.442162,520984836.150254,429315532.65696,512174058.193994,512174058.19399416,965328559.3591886,0.1344204192371069,0.4694303268785611,3.491272770758788e-14
38,2015,China,1948074945.561179,1694173625.887054,1853414499.470607,1695837575.207222,1695837575.2072225,2043454496.7130055,0.3366019350921719,0.1701123866789995,2.811809132987621e-14
24,2015,China,3376646581.728211,3023076637.286819,3219125088.263526,3015322424.445803,3015322424.4458027,3835205163.757686,0.2648469650769469,0.2137780651370871,1.581380333782264e-14
1,2016,China,67721190.910267,68422813.802932,66008914.862796,68427220.040858,68427220.04085764,68952759.02146289,0.4279375862467645,0.0076217251936454,5.226397746961011e-13
46,2016,China,109311007.515254,105438114.109345,110078603.868516,105376201.462951,105376201.46295092,105909294.4022262,0.6491080538558021,0.005033485892661,8.484550204110405e-14
63,2016,China,59944206.428319,59645377.647621,61661049.45448,59582547.789879,59582547.7898788,60364173.50613784,0.3800876996037178,0.0129485035719003,3.3762516639329593e-13
124,2016,China,95375405.683993,87471341.943558,91291789.86495,87478307.860063,87478307.86006337,87941685.7738386,0.5586812355349557,0.0052691497746233,4.2585303598020636e-13
71,2016,Taiwan,110896426.344475,105772849.047177,98820470.394275,105338584.975481,105338584.97548054,109283446.865144,0.5117001116073085,0.0360975243993853,4.3852496890555466e-13
101,2016,China,147271909.732393,137917156.345219,141033861.903473,137918209.702348,137918209.70234784,138629400.10448298,0.5803173007756789,0.0051301556639437,1.0804346449977147e-13
135,2016,Japan,55955726.711342,61650091.016755,59609478.475392,61816200.237473,61816200.23747284,64018104.17428535,0.2912835747689795,0.03439501942791,2.6516151510872173e-13
168,2016,China,56574606.517139,58395545.021785,58479250.264613,58021758.121344,58021758.12134445,62024732.07036783,0.2638192066627765,0.0645383513222105,7.704606862834429e-13
169,2016,China,82303274.816728,76344656.515227,80229256.207664,76377774.665948,76377774.66594791,81007174.53622289,0.3279564372276521,0.0571480229594344,1.170588794372755e-13
165,2016,China,80282073.789435,80961442.444382,82356335.004711,80615436.83511,80615436.83510987,89574333.9040402,0.2682888606067288,0.1000163403785717,1.4787402293013794e-13
97,2016,China,152494146.154043,174744108.087752,159338653.741266,175720331.406293,175720331.40629268,186792147.20249623,0.3653077448053983,0.0592734542753605,1.8656096516609958e-13
45,2016,China,394621624.984751,372766444.01194,393256722.712751,372699886.851291,372699886.8512907,405803534.59898,0.5827806586991661,0.0815755530084346,7.996332555793505e-14
34,2016,China,562102634.950401,529455124.370549,559060874.005162,529278400.283092,529278400.28309226,557979860.0735974,0.6019041557112065,0.0514381644289445,4.5045968052737625e-14
131,2016,China,476478514.366502,447198550.329461,463653326.952966,447497495.304035,447497495.3040351,496249253.7400698,0.3357146037075366,0.0982404670004206,2.6639096486962246e-14
89,2016,China,894152132.381275,910642499.382306,881842144.769143,910845759.226487,910845759.2264868,1037559934.888121,0.3878547104974777,0.1221270901090622,2.6175516182238536e-14
109,2016,China,1101489913.008639,1119461355.303275,1064243478.140338,1118479436.833203,1118479436.8332028,1261006079.6390991,0.3655902296652272,0.1130261345343295,2.131631313460772e-14
88,2016,China,1185220758.976659,1081878810.817785,1152094056.166345,1092659585.384476,1092659585.3844762,1242110009.5554178,0.3059831153869459,0.1203197969754978,2.1820023572819316e-14
0,2016,China,1549790200.137145,1565238899.273194,1498621015.106945,1560836501.719388,1560836501.7193875,1669814020.6286066,0.4121793132757262,0.06526326738363,3.0550102952990296e-14
57,2016,Vietnam,522374531.708049,605186299.66652,470552069.219072,596383424.501108,596383424.5011083,1192802801.7240078,0.1198938986906812,0.500015070689698,3.9977398651045074e-14
38,2016,China,1960165220.895131,1953057977.818668,1931062739.059271,1946574341.97479,1946574341.9747896,2306071449.923512,0.3817396272321628,0.1558915739408881,2.4496221280682048e-14
24,2016,China,3671185851.26793,3682034674.764369,3548298977.138773,3690192254.359194,3690192254.359194,4631587008.36337,0.2953562061878458,0.2032553317694942,0.0
46,2017,China,111684230.448921,113870076.182986,113004959.092352,113824585.403328,113824585.4033282,114315375.14810592,0.6875956590753183,0.0042932960167595,1.701873939040549e-13
124,2017,China,97601842.90027,95639020.154528,94444261.023153,95645339.148019,95645339.14801948,96117467.84950931,0.5961439737473166,0.0049119968727125,4.985471978568428e-13
14,2017,China,98008703.357026,88777070.323835,96064144.356404,88759663.748504,88759663.74850412,89870530.76721373,0.3930723340352691,0.0123607483924516,1.3430570206817655e-13
71,2017,Taiwan,111051981.493955,116146347.162316,101101245.167584,115664397.28869,115664397.28869,119650905.39533325,0.5595761842703919,0.0333178265009495,0.0
101,2017,China,151814176.408534,150087236.222386,145550895.361844,150095598.173766,150095598.1737657,150814637.44421753,0.6147176072972342,0.0047677021450772,1.9855560556275047e-13
135,2017,Japan,54966564.671563,62942535.727668,57234923.913645,63055195.728079,63055195.72807929,65248817.61866193,0.304173640752915,0.0336193355012649,4.608226807083457e-13
139,2017,South Korea,80949516.891754,84118774.569878,79364943.277468,84166561.459739,84166561.45973898,86768401.77227528,0.3838489600024581,0.0299860347706398,1.7704372063453745e-14
