farm_id,R1_f,R2_f,R1_e,R2_e,ws_mean,disp_f,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country,region,A_para,A_real,corr,is_corr
0,0.2549603806939448,0.1384371999135275,0.22912054836378412,0.28476228353873934,7.753343896779058,0.7450396193060552,928,121.4104405,32.830987,21.62,68.38,0.663,1.403,676.6,642.0,3.417,3.243,0.751,17,multi_cluster,2024,China,east_asia,0.4861331,1.752726628786399,other,False
1,0.21214429390910053,0.1602801828671151,0.18310862626029603,0.30104740268837077,7.708900899314057,0.7878557060908995,588,121.1846675,33.4708095,118.68,151.32,0.7418,1.695,717.4,677.4,3.623,3.421,0.877,13,multi_cluster,2024,China,east_asia,0.50992805,1.7195209490991608,other,False
2,0.24211537740352868,0.23257944843231018,0.5142938615724055,0.3802373425210831,9.753948535627769,0.7578846225964713,572,2.9152525,51.6454315,127.79,142.21,0.5984,1.221,807.6,700.7,4.079,3.539,1.546,1,cluster,2024,Belgium,europe,0.40096542,0.35784685421196333,other,False
3,0.23849677910296851,0.15594286754367837,0.19481506051484174,0.31174069087118056,7.840565908435747,0.7615032208970315,441,121.815548,32.670181,6.07,83.93,0.8749,2.645,525.7,477.8,2.655,2.413,0.983,12,multi_cluster,2024,China,east_asia,0.4404572,2.9683568736342476,other,False
4,0.5277504259155853,0.26655864203942115,0.6205102142657889,0.44932344597550605,7.705650417216781,0.4722495740844147,364,111.56654,21.297721,4.27,85.73,0.6681,1.419,540.7,518.2,2.731,2.617,1.036,7,multi_cluster,2024,China,east_asia,2.1198604,3.963024136016685,other,False
5,0.2865225513060899,0.10973299954848888,0.4783497844901385,0.21706197342263447,10.165034581062208,0.7134774486939102,339,1.771577,53.908667,173.24,96.76,0.8612,2.491,1250.4,1257.1,6.315,6.349,1.587,1,belt,2024,United Kingdom,europe,0.27690506,0.12659110695266326,other,False
6,0.10664576114603289,0.25042917293071215,0.1486368578067081,0.3544596519013483,7.137512486341761,0.8933542388539671,292,121.553896,36.4593535,33.28,56.72,0.7937,1.962,687.2,726.6,3.471,3.67,1.087,1,cluster,2024,China,east_asia,0.7564929,2.7642742937950944,other,False
7,0.25450710426983436,0.1286648677932592,0.4572854434221419,0.23875053251734926,10.099360236844696,0.7454928957301656,284,6.5257175,54.0031695,103.0,167.0,0.6896,1.49,798.1,780.1,4.031,3.94,1.817,1,rule_grid,2024,Netherlands,europe,0.24394669,0.2097953530687171,other,False
8,0.5200152019195153,0.23622612603215293,0.574731230087411,0.43161062871100353,8.056029159076898,0.47998479808048466,278,111.5842055,20.990707,61.73,28.27,0.5656,1.141,726.5,712.6,3.669,3.599,1.07,7,multi_cluster,2024,China,east_asia,1.9632953,1.8682636711038982,other,False
9,0.2699638659942175,0.13211638557072916,0.5057097492704354,0.2044798765602569,9.784261835706465,0.7300361340057825,267,-3.505876,54.030201,131.71,138.29,0.7152,1.585,723.1,738.9,3.652,3.732,1.453,3,multi_cluster,2024,United Kingdom,europe,0.32410148,0.6291759445557146,other,False
10,0.27083523075000876,0.05710374669956519,0.3494422013802448,0.1001655286309656,10.015439604242056,0.7291647692499912,246,-2.850594,58.196648,47.05,42.95,0.732,1.653,1162.1,1130.9,5.869,5.711,1.433,1,cluster,2024,United Kingdom,europe,0.3679459,0.1442257601142116,other,False
11,0.25415689004726055,0.14007021045976326,0.4406320001675414,0.22179335487630414,10.158835808890274,0.7458431099527394,246,7.6926805,54.471491,85.64,4.36,0.863,2.51,650.9,600.4,3.287,3.033,1.596,1,belt,2024,Germany,europe,0.15909462,0.5750860417480558,other,False
12,0.4446972931329608,0.5972945755746106,0.7079293448496331,0.7565311041994562,7.910681950000731,0.5553027068670392,244,116.207802,22.6310215,20.73,69.27,0.9785,6.751,555.4,541.8,2.805,2.736,0.987,21,multi_cluster,2024,China,east_asia,2.92008,5.640706315255273,China strait,True
13,0.30257421514358684,0.12260992004983788,0.5300803861213004,0.2590336200531372,8.926454472616662,0.6974257848564132,215,-3.593973,53.451647,6.19,83.81,0.673,1.435,636.6,712.0,3.215,3.596,1.428,3,multi_cluster,2024,United Kingdom,europe,0.4365902,0.35355384461835043,other,False
14,0.15880085211134182,0.23973349377910072,0.26797267039823425,0.4202619240832595,7.484325028049123,0.8411991478886582,181,123.371441,39.479305,98.41,171.59,0.7306,1.647,736.4,686.0,3.719,3.465,1.067,3,multi_cluster,2024,China,east_asia,1.0076768,1.591232067841469,other,False
15,0.2397110398843063,0.19452796758513094,0.5291789253617151,0.3590510185224172,9.472709810055266,0.7602889601156937,182,4.077370999999999,52.34044,56.26,33.74,0.8258,2.177,1083.2,1106.7,5.471,5.589,1.557,1,cluster,2024,Netherlands,europe,0.39183852,0.13911898941981454,other,False
16,0.2639486826427776,0.12165920243034417,0.45197288608714886,0.21090537998791012,10.278569169873284,0.7360513173572224,178,5.9099155,54.329816,34.99,55.01,0.8171,2.113,823.5,846.6,4.159,4.276,1.754,1,cluster,2024,Netherlands,europe,0.27730957,0.14125602001516877,other,False
17,0.27389346779427093,0.2341610354019212,0.5001359234047889,0.39612557132320714,9.255111338235428,0.7261065322057291,175,1.498285,51.625977,92.11,177.89,0.62,1.277,644.7,647.3,3.256,3.269,1.646,1,cluster,2024,United Kingdom,europe,0.52720726,0.834239495579588,other,False
18,0.24964953904574905,0.13024174700782803,0.45497328440873774,0.24945086086392415,10.098940890346338,0.750350460954251,174,6.96841,54.014252,27.53,62.47,0.8621,2.501,846.7,822.1,4.276,4.152,1.459,2,multi_cluster,2024,Germany,europe,0.17219108,0.1415099369362713,other,False
19,0.19692886841698262,0.15102741066161246,0.1920312889948351,0.27633465227016724,7.220571641012423,0.8030711315830174,171,120.620415,34.282251,14.33,75.67,0.8399,2.291,654.5,646.1,3.306,3.263,1.239,3,multi_cluster,2024,China,east_asia,0.62631065,2.1177763041452646,other,False
20,0.2669363757311839,0.11921053947830468,0.4416696352498382,0.19837943103665323,10.32904108489357,0.7330636242688161,167,6.348662,54.480202,82.8,7.2,0.6915,1.497,702.9,683.5,3.55,3.452,1.627,1,cluster,2024,Netherlands,europe,0.2745117,0.2875819746490317,other,False
21,0.4346198282370325,0.6524436258660314,0.4004549636122002,0.7881548018085129,8.77545115590021,0.5653801717629675,162,120.922487,27.2727215,175.39,94.61,0.6571,1.384,536.9,489.5,2.712,2.472,0.841,11,multi_cluster,2024,China,east_asia,1.7576145,5.734782519607898,other,False
22,0.2887340880812135,0.2431700495920078,0.4850662698014243,0.3849188728316943,9.201653270276488,0.7112659119187865,161,11.608343,54.553768,172.18,97.82,0.9571,4.724,535.8,496.6,2.706,2.508,1.499,2,multi_cluster,2024,Germany,europe,0.39033163,0.9741830702259603,other,False
23,0.25804003110114226,0.12798584222807957,0.4602562119303575,0.23227419633788582,10.148819947878058,0.7419599688988577,156,6.0937635,54.04368,3.91,86.09,0.8782,2.685,846.3,804.2,4.274,4.062,1.826,1,belt,2024,Netherlands,europe,0.27519974,0.15701235172466466,other,False
24,0.2793220287481816,0.08846811075759786,0.29002926811655055,0.20965414560660597,7.142349307440707,0.7206779712518183,156,121.232172,32.5359345,164.1,105.9,0.8357,2.255,741.5,696.6,3.745,3.518,1.568,1,cluster,2024,China,east_asia,0.60728556,0.4910131745106916,other,False
25,0.2857140410526261,0.28239797231191915,0.4292714027804535,0.447562341220929,9.806231109798725,0.7142859589473739,152,13.106219,54.996092,165.69,104.31,0.8672,2.555,929.4,740.8,4.694,3.741,1.27,3,multi_cluster,2024,Sweden,europe,0.3633366,0.3616753416677438,other,False
26,0.2717094214737529,0.22788468421899324,0.5029442879685542,0.382159258311714,9.5980504073572,0.7282905785262471,140,1.957084,51.925519,37.42,52.58,0.7493,1.729,949.6,896.9,4.796,4.53,1.707,1,cluster,2024,United Kingdom,europe,0.45537233,0.18238454101429255,other,False
27,0.25591235066018087,0.14194662976521594,0.40082485359538345,0.16894969758000197,10.390976636322847,0.7440876493398192,138,7.597775,55.6248915,70.14,19.86,0.8513,2.393,767.8,545.8,3.878,2.757,1.296,13,multi_cluster,2024,Denmark,europe,0.40304032,0.2556276353218433,other,False
