farm_id,paradigm,target_year,n_target,n_actual,turbine_id,x_m,y_m,utm_epsg
162,A,2030,9,6,162_2030_0,601459.4,6111738.1,32630
162,A,2030,9,6,162_2030_1,601606.4,6111057.9,32630
162,A,2030,9,6,162_2030_2,601889.3,6110569.0,32630
162,A,2030,9,6,162_2030_3,602036.3,6109888.9,32630
162,A,2030,9,6,162_2030_4,602319.2,6109400.0,32630
162,A,2030,9,6,162_2030_5,602466.2,6108719.8,32630
162,A,2035,10,6,162_2035_0,601459.4,6111738.1,32630
162,A,2035,10,6,162_2035_1,601606.4,6111057.9,32630
162,A,2035,10,6,162_2035_2,601889.3,6110569.0,32630
162,A,2035,10,6,162_2035_3,602036.3,6109888.9,32630
162,A,2035,10,6,162_2035_4,602319.2,6109400.0,32630
162,A,2035,10,6,162_2035_5,602466.2,6108719.8,32630
162,A,2040,14,6,162_2040_0,601459.4,6111738.1,32630
162,A,2040,14,6,162_2040_1,601606.4,6111057.9,32630
162,A,2040,14,6,162_2040_2,601889.3,6110569.0,32630
162,A,2040,14,6,162_2040_3,602036.3,6109888.9,32630
162,A,2040,14,6,162_2040_4,602319.2,6109400.0,32630
162,A,2040,14,6,162_2040_5,602466.2,6108719.8,32630
107,A,2030,9,9,107_2030_0,563577.1,1003793.4,32648
107,A,2030,9,9,107_2030_1,562835.1,1002240.8,32648
107,A,2030,9,9,107_2030_2,561599.5,1003890.1,32648
107,A,2030,9,9,107_2030_3,564812.7,1002144.1,32648
107,A,2030,9,9,107_2030_4,564967.8,1005314.2,32648
107,A,2030,9,9,107_2030_5,560857.5,1002337.5,32648
107,A,2030,9,9,107_2030_6,561444.4,1000719.9,32648
107,A,2030,9,9,107_2030_7,567687.4,1006770.1,32648
107,A,2030,9,9,107_2030_8,568923.1,1005120.8,32648
107,A,2035,10,10,107_2035_0,563577.1,1003793.4,32648
107,A,2035,10,10,107_2035_1,562835.1,1002240.8,32648
107,A,2035,10,10,107_2035_2,561599.5,1003890.1,32648
107,A,2035,10,10,107_2035_3,565554.8,1003696.6,32648
107,A,2035,10,10,107_2035_4,564812.7,1002144.1,32648
107,A,2035,10,10,107_2035_5,560857.5,1002337.5,32648
107,A,2035,10,10,107_2035_6,566945.4,1005217.5,32648
107,A,2035,10,10,107_2035_7,561444.4,1000719.9,32648
107,A,2035,10,10,107_2035_8,567687.4,1006770.1,32648
107,A,2035,10,10,107_2035_9,568923.1,1005120.8,32648
107,A,2040,14,14,107_2040_0,563577.1,1003793.4,32648
107,A,2040,14,14,107_2040_1,563057.7,1002706.6,32648
107,A,2040,14,14,107_2040_2,564961.5,1003725.7,32648
107,A,2040,14,14,107_2040_3,564442.1,1002638.9,32648
107,A,2040,14,14,107_2040_4,561673.4,1002774.3,32648
107,A,2040,14,14,107_2040_5,563468.6,1001574.3,32648
107,A,2040,14,14,107_2040_6,565070.0,1005944.8,32648
107,A,2040,14,14,107_2040_7,560808.4,1003928.8,32648
107,A,2040,14,14,107_2040_8,560289.0,1002842.0,32648
107,A,2040,14,14,107_2040_9,560699.9,1001709.7,32648
107,A,2040,14,14,107_2040_10,561564.8,1000555.2,32648
107,A,2040,14,14,107_2040_11,567838.7,1005809.4,32648
107,A,2040,14,14,107_2040_12,569223.0,1005741.7,32648
107,A,2040,14,14,107_2040_13,569331.6,1007960.8,32648
4,E,2030,7,7,4_2030_0,559863.7,2355029.3,32649
4,E,2030,7,7,4_2030_1,559375.8,2351186.1,32649
4,E,2030,7,7,4_2030_2,565634.4,2357420.8,32649
4,E,2030,7,7,4_2030_3,552653.3,2353601.6,32649
4,E,2030,7,7,4_2030_4,556996.4,2363203.5,32649
4,E,2030,7,7,4_2030_5,550725.8,2350722.2,32649
4,E,2030,7,7,4_2030_6,548822.2,2360336.1,32649
4,E,2035,7,7,4_2035_0,559863.7,2355029.3,32649
4,E,2035,7,7,4_2035_1,559375.8,2351186.1,32649
4,E,2035,7,7,4_2035_2,565634.4,2357420.8,32649
4,E,2035,7,7,4_2035_3,552653.3,2353601.6,32649
4,E,2035,7,7,4_2035_4,556996.4,2363203.5,32649
4,E,2035,7,7,4_2035_5,550725.8,2350722.2,32649
4,E,2035,7,7,4_2035_6,548822.2,2360336.1,32649
4,E,2040,10,10,4_2040_0,559863.7,2355029.3,32649
4,E,2040,10,10,4_2040_1,557948.2,2358396.5,32649
4,E,2040,10,10,4_2040_2,562755.1,2359348.3,32649
4,E,2040,10,10,4_2040_3,557472.3,2360800.0,32649
4,E,2040,10,10,4_2040_4,555068.8,2360324.1,32649
4,E,2040,10,10,4_2040_5,552177.4,2356005.1,32649
4,E,2040,10,10,4_2040_6,556484.5,2346867.1,32649
4,E,2040,10,10,4_2040_7,550249.9,2353125.7,32649
4,E,2040,10,10,4_2040_8,551201.7,2348318.8,32649
4,E,2040,10,10,4_2040_9,548322.3,2350246.3,32649
14,A,2030,28,28,14_2030_0,533279.8,4366067.5,32651
14,A,2030,28,28,14_2030_1,531530.0,4366404.5,32651
14,A,2030,28,28,14_2030_2,534692.7,4363980.7,32651
14,A,2030,28,28,14_2030_3,533953.7,4369567.2,32651
14,A,2030,28,28,14_2030_4,534355.7,4362230.8,32651
14,A,2030,28,28,14_2030_5,537116.5,4367143.4,32651
14,A,2030,28,28,14_2030_6,529106.2,4363241.8,32651
14,A,2030,28,28,14_2030_7,538529.4,4365056.6,32651
14,A,2030,28,28,14_2030_8,528367.2,4368828.3,32651
14,A,2030,28,28,14_2030_9,530519.1,4361154.9,32651
14,A,2030,28,28,14_2030_10,537855.4,4361556.9,32651
14,A,2030,28,28,14_2030_11,531931.9,4359068.1,32651
14,A,2030,28,28,14_2030_12,536377.5,4372730.0,32651
14,A,2030,28,28,14_2030_13,526617.4,4369165.2,32651
14,A,2030,28,28,14_2030_14,527019.4,4361828.9,32651
14,A,2030,28,28,14_2030_15,531128.0,4373740.9,32651
14,A,2030,28,28,14_2030_16,526682.4,4360079.0,32651
14,A,2030,28,28,14_2030_17,542029.1,4364382.7,32651
14,A,2030,28,28,14_2030_18,529845.1,4357655.2,32651
14,A,2030,28,28,14_2030_19,538464.4,4374142.8,32651
14,A,2030,28,28,14_2030_20,540214.2,4373805.9,32651
14,A,2030,28,28,14_2030_21,533551.8,4376903.6,32651
14,A,2030,28,28,14_2030_22,531801.9,4377240.6,32651
14,A,2030,28,28,14_2030_23,540551.2,4375555.7,32651
14,A,2030,28,28,14_2030_24,537388.4,4377979.5,32651
14,A,2030,28,28,14_2030_25,530389.0,4379327.4,32651
14,A,2030,28,28,14_2030_26,528639.2,4379664.3,32651
14,A,2030,28,28,14_2030_27,528976.2,4381414.2,32651
14,A,2035,36,36,14_2035_0,533279.8,4366067.5,32651
14,A,2035,36,36,14_2035_1,535029.7,4365730.5,32651
14,A,2035,36,36,14_2035_2,531193.0,4364654.6,32651
14,A,2035,36,36,14_2035_3,536779.5,4365393.6,32651
14,A,2035,36,36,14_2035_4,533953.7,4369567.2,32651
14,A,2035,36,36,14_2035_5,532203.9,4369904.2,32651
14,A,2035,36,36,14_2035_6,529443.1,4364991.6,32651
14,A,2035,36,36,14_2035_7,530454.0,4370241.2,32651
14,A,2035,36,36,14_2035_8,532268.9,4360818.0,32651
14,A,2035,36,36,14_2035_9,538529.4,4365056.6,32651
14,A,2035,36,36,14_2035_10,538192.4,4363306.8,32651
14,A,2035,36,36,14_2035_11,536040.6,4370980.1,32651
14,A,2035,36,36,14_2035_12,537790.4,4370643.1,32651
14,A,2035,36,36,14_2035_13,537855.4,4361556.9,32651
14,A,2035,36,36,14_2035_14,535768.6,4360144.0,32651
14,A,2035,36,36,14_2035_15,540279.2,4364719.6,32651
14,A,2035,36,36,14_2035_16,540616.2,4366469.5,32651
14,A,2035,36,36,14_2035_17,539942.2,4362969.8,32651
14,A,2035,36,36,14_2035_18,527019.4,4361828.9,32651
14,A,2035,36,36,14_2035_19,540953.1,4368219.3,32651
14,A,2035,36,36,14_2035_20,538127.4,4372393.0,32651
14,A,2035,36,36,14_2035_21,529378.1,4374077.8,32651
14,A,2035,36,36,14_2035_22,541290.1,4369969.2,32651
14,A,2035,36,36,14_2035_23,529845.1,4357655.2,32651
14,A,2035,36,36,14_2035_24,531465.0,4375490.7,32651
14,A,2035,36,36,14_2035_25,528095.3,4357992.2,32651
14,A,2035,36,36,14_2035_26,526345.4,4358329.2,32651
14,A,2035,36,36,14_2035_27,533551.8,4376903.6,32651
14,A,2035,36,36,14_2035_28,527758.3,4356242.4,32651
14,A,2035,36,36,14_2035_29,525878.4,4374751.8,32651
14,A,2035,36,36,14_2035_30,530052.1,4377577.5,32651
14,A,2035,36,36,14_2035_31,533888.7,4378653.4,32651
14,A,2035,36,36,14_2035_32,530389.0,4379327.4,32651
14,A,2035,36,36,14_2035_33,534225.7,4380403.3,32651
14,A,2035,36,36,14_2035_34,530726.0,4381077.2,32651
14,A,2035,36,36,14_2035_35,534562.7,4382153.1,32651
14,A,2040,48,48,14_2040_0,533279.8,4366067.5,32651
14,A,2040,48,48,14_2040_1,532942.8,4364317.7,32651
14,A,2040,48,48,14_2040_2,531530.0,4366404.5,32651
14,A,2040,48,48,14_2040_3,531866.9,4368154.3,32651
14,A,2040,48,48,14_2040_4,536779.5,4365393.6,32651
14,A,2040,48,48,14_2040_5,532605.9,4362567.8,32651
14,A,2040,48,48,14_2040_6,535703.6,4369230.2,32651
14,A,2040,48,48,14_2040_7,534355.7,4362230.8,32651
14,A,2040,48,48,14_2040_8,529443.1,4364991.6,32651
14,A,2040,48,48,14_2040_9,536105.6,4361893.9,32651
14,A,2040,48,48,14_2040_10,537453.4,4368893.3,32651
14,A,2040,48,48,14_2040_11,534290.7,4371317.1,32651
14,A,2040,48,48,14_2040_12,538529.4,4365056.6,32651
14,A,2040,48,48,14_2040_13,538192.4,4363306.8,32651
14,A,2040,48,48,14_2040_14,538866.3,4366806.5,32651
14,A,2040,48,48,14_2040_15,536040.6,4370980.1,32651
14,A,2040,48,48,14_2040_16,537790.4,4370643.1,32651
14,A,2040,48,48,14_2040_17,539203.3,4368556.3,32651
14,A,2040,48,48,14_2040_18,530791.0,4371991.0,32651
14,A,2040,48,48,14_2040_19,531931.9,4359068.1,32651
14,A,2040,48,48,14_2040_20,540279.2,4364719.6,32651
14,A,2040,48,48,14_2040_21,530182.1,4359405.1,32651
14,A,2040,48,48,14_2040_22,525943.4,4365665.5,32651
14,A,2040,48,48,14_2040_23,532877.8,4373403.9,32651
14,A,2040,48,48,14_2040_24,527019.4,4361828.9,32651
14,A,2040,48,48,14_2040_25,529041.2,4372328.0,32651
14,A,2040,48,48,14_2040_26,526954.3,4370915.1,32651
