farm_id,desc,paradigm,target_year,n_current,n_target,n_actual
162,Small-dense-A,A,2030,7,9,6
162,Small-dense-A,A,2035,7,10,6
162,Small-dense-A,A,2040,7,14,6
107,Small-dense-A-Europe,A,2030,7,9,9
107,Small-dense-A-Europe,A,2035,7,10,10
107,Small-dense-A-Europe,A,2040,7,14,14
4,Small-sparse-E,E,2030,5,7,7
4,Small-sparse-E,E,2035,5,7,7
4,Small-sparse-E,E,2040,5,10,10
14,Mid-standard-A,A,2030,24,28,28
14,Mid-standard-A,A,2035,24,36,36
14,Mid-standard-A,A,2040,24,48,48
129,Mid-standard-A-Europe,A,2030,18,21,21
129,Mid-standard-A-Europe,A,2035,18,27,27
129,Mid-standard-A-Europe,A,2040,18,36,36
112,Mid-constrained-B,B,2030,27,32,32
112,Mid-constrained-B,B,2035,27,40,36
112,Mid-constrained-B,B,2040,27,54,36
91,Mid-expansion-C,C,2030,16,19,19
91,Mid-expansion-C,C,2035,16,24,24
91,Mid-expansion-C,C,2040,16,32,32
83,Mid-expansion-C-dense,C,2030,18,21,21
83,Mid-expansion-C-dense,C,2035,18,27,27
83,Mid-expansion-C-dense,C,2040,18,36,36
21,Large-A,A,2030,50,60,60
21,Large-A,A,2035,50,75,75
21,Large-A,A,2040,50,100,100
151,Large-A-Europe,A,2030,50,60,60
151,Large-A-Europe,A,2035,50,75,72
151,Large-A-Europe,A,2040,50,100,72
73,Large-A-big,A,2030,83,99,57
73,Large-A-big,A,2035,83,124,57
73,Large-A-big,A,2040,83,166,57
153,Large-A-100,A,2030,101,121,4
153,Large-A-100,A,2035,101,151,4
153,Large-A-100,A,2040,101,202,4
