farm_A_display,farm_A_id,farm_A_lon,farm_A_lat,farm_B_display,farm_B_id,farm_B_lon,farm_B_lat,center_dist_km,region,nA,nB,paradigm_A,paradigm_B
farm_0012,12,117.6375,38.6666,farm_0013,13,117.5806,38.6193,7.2,East_Asia,12,3,E,A
farm_0077,77,110.6321,20.5798,farm_0078,78,110.7555,20.5948,10.7,East_Asia,68,120,A,A
farm_0005,5,-71.1658,41.1929,farm_0006,6,-71.1478,41.093,11.2,US_East,8,12,B,B
farm_0086,86,105.8099,9.2189,farm_0088,88,105.7125,9.1406,12.0,East_Asia,82,26,A,C
farm_0056,56,119.3996,25.4058,farm_0058,58,119.3727,25.2975,12.3,East_Asia,59,29,A,A
farm_0087,87,105.5854,9.0822,farm_0088,88,105.7125,9.1406,12.6,East_Asia,39,26,C,C
farm_0083,83,106.585,9.7455,farm_0084,84,106.579,9.6266,13.2,East_Asia,18,36,C,C
farm_0067,67,116.1203,22.7327,farm_0068,68,116.2218,22.6333,14.0,East_Asia,55,244,B,B
farm_0028,28,120.0532,34.5028,farm_0159,159,119.888,34.4617,14.8,East_Asia,55,3,A,E
farm_0021,21,119.4511,37.2621,farm_0022,22,119.6233,37.2428,14.9,East_Asia,50,38,A,A
farm_0009,9,123.3788,39.4746,farm_0010,10,123.2027,39.4769,15.0,East_Asia,189,60,A,A
farm_0084,84,106.579,9.6266,farm_0085,85,106.456,9.5244,15.5,East_Asia,36,28,C,C
farm_0057,57,119.5441,25.2524,farm_0058,58,119.3727,25.2975,15.5,East_Asia,106,29,A,A
farm_0049,49,121.9986,28.9259,farm_0050,50,121.8575,28.8353,15.7,East_Asia,56,40,A,A
farm_0040,40,121.7988,30.7438,farm_0042,42,121.983,30.7484,15.7,East_Asia,32,115,C,A
farm_0048,48,122.0286,29.0656,farm_0049,49,121.9986,28.9259,15.7,East_Asia,41,56,A,A
farm_0046,46,122.0568,29.531,farm_0047,47,122.2286,29.5814,15.7,East_Asia,38,62,A,A
farm_0141,141,4.2423,52.6531,farm_0144,144,4.4203,52.607,16.0,Europe,129,36,E,A
farm_0142,142,5.5908,52.747,farm_0145,145,5.5748,52.6039,16.0,Europe,48,24,A,A
farm_0006,6,-71.1478,41.093,farm_0007,7,-70.9609,41.1238,16.3,US_East,12,20,B,E
farm_0054,54,119.7641,25.6651,farm_0055,55,119.6054,25.5817,16.4,East_Asia,90,47,A,A
farm_0028,28,120.0532,34.5028,farm_0030,30,120.1958,34.4035,16.4,East_Asia,55,25,A,A
farm_0076,76,110.5573,20.7161,farm_0077,77,110.6321,20.5798,16.4,East_Asia,32,68,A,A
farm_0066,66,115.9363,22.6779,farm_0067,67,116.1203,22.7327,16.9,East_Asia,36,55,C,B
farm_0148,148,1.9623,51.9273,farm_0149,149,1.9848,51.7743,17.1,Europe,140,56,E,A
farm_0112,112,13.657,54.8185,farm_0113,113,13.8582,54.8305,17.2,Europe,27,50,B,B
farm_0027,27,119.7916,34.6039,farm_0159,159,119.888,34.4617,17.8,East_Asia,48,3,E,E
farm_0029,29,120.3623,34.5055,farm_0030,30,120.1958,34.4035,18.2,East_Asia,100,25,A,A
farm_0122,122,-3.5107,54.0305,farm_0168,168,-3.2982,53.9928,18.6,Europe,267,30,A,A
farm_0058,58,119.3727,25.2975,farm_0059,59,119.3921,25.1304,18.7,East_Asia,29,125,A,A
farm_0057,57,119.5441,25.2524,farm_0059,59,119.3921,25.1304,18.8,East_Asia,106,125,A,A
farm_0005,5,-71.1658,41.1929,farm_0007,7,-70.9609,41.1238,19.1,US_East,8,20,B,E
farm_0079,79,109.2031,20.1389,farm_0080,80,109.4282,20.1437,19.2,East_Asia,128,61,A,A
farm_0097,97,8.0257,56.5932,farm_0098,98,8.2313,56.6648,19.3,Europe,21,10,C,A
farm_0043,43,121.4796,30.462,farm_0044,44,121.6844,30.3864,19.4,East_Asia,74,40,A,A
farm_0044,44,121.6844,30.3864,farm_0045,45,121.896,30.4497,19.4,East_Asia,40,54,A,A
farm_0041,41,121.569,30.625,farm_0043,43,121.4796,30.462,19.7,East_Asia,118,74,A,A
farm_0113,113,13.8582,54.8305,farm_0114,114,14.0932,54.8111,20.2,Europe,50,131,B,B
farm_0123,123,6.1233,54.0433,farm_0126,126,5.8848,54.0341,20.4,Europe,158,75,A,B
farm_0056,56,119.3996,25.4058,farm_0057,57,119.5441,25.2524,21.1,East_Asia,59,106,A,A
farm_0076,76,110.5573,20.7161,farm_0078,78,110.7555,20.5948,21.7,East_Asia,32,120,A,A
farm_0128,128,0.1494,53.8058,farm_0130,130,0.2928,53.6443,21.7,Europe,35,73,E,A
farm_0103,103,12.6698,55.6945,farm_0105,105,12.7808,55.5128,22.3,Europe,11,48,A,A
farm_0132,132,0.8387,53.4775,farm_0135,135,0.8416,53.2764,22.4,Europe,90,92,E,E
farm_0082,82,106.6985,9.9279,farm_0083,83,106.585,9.7455,22.5,East_Asia,35,18,C,C
farm_0090,90,105.1538,8.6706,farm_0091,91,104.9308,8.5498,23.3,East_Asia,24,16,C,C
farm_0039,39,122.1242,30.9301,farm_0042,42,121.983,30.7484,23.5,East_Asia,55,115,E,A
farm_0040,40,121.7988,30.7438,farm_0041,41,121.569,30.625,23.7,East_Asia,32,118,C,A
farm_0087,87,105.5854,9.0822,farm_0089,89,105.3984,8.9219,23.9,East_Asia,39,56,C,C
farm_0137,137,1.3778,53.2671,farm_0138,138,1.1474,53.1359,24.5,Europe,67,88,E,A
farm_0086,86,105.8099,9.2189,farm_0087,87,105.5854,9.0822,24.5,East_Asia,82,39,A,C
farm_0152,152,1.4972,51.6283,farm_0153,153,1.632,51.4309,24.8,Europe,175,101,A,A
farm_0066,66,115.9363,22.6779,farm_0068,68,116.2218,22.6333,24.9,East_Asia,36,244,C,B
farm_0027,27,119.7916,34.6039,farm_0028,28,120.0532,34.5028,25.0,East_Asia,48,55,E,A
farm_0053,53,119.9959,25.8097,farm_0054,54,119.7641,25.6651,25.5,East_Asia,105,90,B,A
farm_0151,151,1.2299,51.7298,farm_0152,152,1.4972,51.6283,25.5,Europe,50,175,A,A
farm_0102,102,7.6098,55.6337,farm_0104,104,7.8406,55.4865,25.6,Europe,138,80,A,A
farm_0055,55,119.6054,25.5817,farm_0056,56,119.3996,25.4058,26.3,East_Asia,47,59,A,A
farm_0028,28,120.0532,34.5028,farm_0029,29,120.3623,34.5055,26.4,East_Asia,55,100,A,A
farm_0023,23,121.5419,36.4678,farm_0024,24,121.2355,36.427,26.6,East_Asia,293,70,A,A
farm_0095,95,-1.8649,57.0045,farm_0163,163,-1.9953,57.2233,26.8,Europe,5,11,B,A
