farm_id,n_turbines,paradigm,spacing_D,axis_deg,center_lon,center_lat,depth_m,first_year,region,country
farm_0004,5,E,5.4,40.6,-71.5218132019043,41.11566581726074,23.0,2016,US_East,China
farm_0107,7,A,2.9,12.5,10.960354191916329,55.344059807913645,9.0,2016,Europe,Vietnam
farm_0162,7,A,1.9,71.4,106.1244866507394,9.29657690865653,2.0,2020,East_Asia,United Kingdom
farm_0091,16,C,1.9,90.0,104.93077325820924,8.549773007631302,1.0,2020,East_Asia,China
farm_0129,18,A,3.1,116.6,8.168312735027737,53.8356867896186,6.0,2016,Europe,United Kingdom
farm_0083,18,C,1.7,151.7,106.58495775858562,9.745475080278185,2.0,2020,East_Asia,United Kingdom
farm_0014,24,A,3.0,170.9,118.03987566630046,38.66842659314474,11.0,2024,East_Asia,China
farm_0112,27,B,4.7,147.7,13.65702916957714,54.81847586455169,44.0,2019,Europe,Vietnam
farm_0151,50,A,2.8,27.7,1.2299241077899934,51.729778900146485,4.0,2016,Europe,South Korea
farm_0021,50,A,2.9,118.3,119.45112899780274,37.26207092285157,7.0,2021,East_Asia,China
farm_0073,83,A,3.1,62.5,108.21103985338326,21.33938118348639,14.0,2023,East_Asia,United Kingdom
farm_0153,101,A,3.1,142.2,1.6319823029017684,51.4308993084596,21.0,2016,Europe,Denmark
