farm_id,year,n_turb,layout_type,wake_model,country_x,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s,farm_id_int,spacing_D,aspect_ratio,n_turbines,axis_deviation_abs,paradigm,country_y,density_bin,aspect_bin,size_bin,dev_bin,AEP_GWh
3,2019,2,real,gauss,China,60978212.20302364,61532791.95264448,0.3787466596461096,0.0090127512830497,0.8824396000018169,3,4.1,1.48,3,45.9,B,China,中(2.9-4.3D),中等,小(<20),中偏差,0.06097821220302364
10,2014,2,real,gauss,United Kingdom,97669694.63700037,100843495.38343312,0.5887263088426784,0.0314725380587528,0.9418800999992528,10,3.1,1.53,60,76.5,A,United Kingdom,中(2.9-4.3D),中等,中(20-70),大偏差,0.09766969463700037
10,2015,2,real,gauss,United Kingdom,102765727.07138306,104949101.29764906,0.6246397220482802,0.0208041250403247,1.1533578999988094,10,3.1,1.53,60,76.5,A,United Kingdom,中(2.9-4.3D),中等,中(20-70),大偏差,0.10276572707138305
10,2016,2,real,gauss,United Kingdom,92525582.12875757,95009405.36942276,0.5606251946725495,0.0261429195457797,1.5390738999994935,10,3.1,1.53,60,76.5,A,United Kingdom,中(2.9-4.3D),中等,中(20-70),大偏差,0.09252558212875757
10,2017,2,real,gauss,United Kingdom,101323662.91135149,103585032.54650916,0.6127459053661798,0.0218310462386767,1.213211099999171,10,3.1,1.53,60,76.5,A,United Kingdom,中(2.9-4.3D),中等,中(20-70),大偏差,0.10132366291135149
46,2014,2,real,gauss,China,105637007.71295504,106172282.28232288,0.6449145770021675,0.0050415660082025,1.130494600001839,46,3.0,2.7,38,1.9000000000000057,A,China,密(<2.9D),狭长,中(20-70),小偏差,0.10563700771295505
46,2015,2,real,gauss,China,114887646.19477148,115308207.65191372,0.6941012940718432,0.0036472811927821,0.9945702999975764,46,3.0,2.7,38,1.9000000000000057,A,China,密(<2.9D),狭长,中(20-70),小偏差,0.11488764619477149
46,2016,2,real,gauss,China,105376201.46295092,105909294.4022262,0.6491080538558021,0.005033485892661,1.0980730000010226,46,3.0,2.7,38,1.9000000000000057,A,China,密(<2.9D),狭长,中(20-70),小偏差,0.10537620146295092
46,2017,2,real,gauss,China,113824585.4033282,114315375.14810592,0.6875956590753183,0.0042932960167595,1.129537299999356,46,3.0,2.7,38,1.9000000000000057,A,China,密(<2.9D),狭长,中(20-70),小偏差,0.1138245854033282
46,2018,2,real,gauss,China,108349528.09786378,108886454.58280323,0.6630126551087001,0.0049310677530708,1.1193091999994067,46,3.0,2.7,38,1.9000000000000057,A,China,密(<2.9D),狭长,中(20-70),小偏差,0.10834952809786377
46,2019,2,real,gauss,China,114209604.73143584,114716121.430103,0.6882584351659385,0.0044153924692769,1.095138799999404,46,3.0,2.7,38,1.9000000000000057,A,China,密(<2.9D),狭长,中(20-70),小偏差,0.11420960473143583
46,2020,2,real,gauss,China,119874506.55388656,120342358.5095158,0.710830802620295,0.0038876748089681,1.316629599998123,46,3.0,2.7,38,1.9000000000000057,A,China,密(<2.9D),狭长,中(20-70),小偏差,0.11987450655388657
58,2018,2,real,gauss,France,66235665.8023276,66731139.7442524,0.4159486674348631,0.0074249285089944,1.2896055999990494,58,2.4,1.09,29,0.0,A,France,密(<2.9D),近方形,小(<20),小偏差,0.0662356658023276
58,2019,2,real,gauss,France,69530940.84362122,70008249.81856717,0.4343512046702975,0.006817896121999,1.1291295000009995,58,2.4,1.09,29,0.0,A,France,密(<2.9D),近方形,小(<20),小偏差,0.06953094084362123
58,2020,2,real,gauss,France,77204455.23642796,77709389.1010358,0.4798884587047984,0.0064977201654659,1.117821299998468,58,2.4,1.09,29,0.0,A,France,密(<2.9D),近方形,小(<20),小偏差,0.07720445523642797
58,2021,2,real,gauss,France,69377748.65210518,69887700.02603029,0.4296367887794475,0.0072967256575215,1.099947600003361,58,2.4,1.09,29,0.0,A,France,密(<2.9D),近方形,小(<20),小偏差,0.06937774865210518
