farm_id,paradigm,target_year,n_current,n_target,n_added,Sx_m,Sy_m,axis_deg,spacing_D_ref,region
farm_0034,A,2030,928,1113,185,844.0,928.0,21.9,3.8,East_Asia
farm_0034,A,2035,928,1392,464,844.0,928.0,21.9,3.8,East_Asia
farm_0034,A,2040,928,1856,928,844.0,928.0,21.9,3.8,East_Asia
farm_0035,A,2030,443,531,88,533.0,586.0,6.1,2.4,East_Asia
farm_0035,A,2035,443,664,221,533.0,586.0,6.1,2.4,East_Asia
farm_0035,A,2040,443,886,443,533.0,586.0,6.1,2.4,East_Asia
farm_0075,B,2030,278,333,55,675.0,710.0,62.8,3.2,East_Asia
farm_0075,B,2035,278,417,139,675.0,710.0,62.8,3.2,East_Asia
farm_0075,B,2040,278,556,278,675.0,710.0,62.8,3.2,East_Asia
farm_0094,B,2030,246,295,49,1434.0,1510.0,47.3,6.8,Europe
farm_0094,B,2035,246,369,123,1434.0,1510.0,47.3,6.8,Europe
farm_0094,B,2040,246,492,246,1434.0,1510.0,47.3,6.8,Europe
farm_0038,C,2030,134,160,26,779.0,539.0,151.1,2.7,East_Asia
farm_0038,C,2035,134,201,67,779.0,539.0,151.1,2.7,East_Asia
farm_0038,C,2040,134,268,134,779.0,539.0,151.1,2.7,East_Asia
farm_0139,C,2030,89,106,17,1126.0,779.0,102.6,3.9,Europe
farm_0139,C,2035,89,133,44,1126.0,779.0,102.6,3.9,Europe
farm_0139,C,2040,89,178,89,1126.0,779.0,102.6,3.9,Europe
farm_0032,E,2030,589,706,117,1138.0,1138.0,118.5,4.1,East_Asia
farm_0032,E,2035,589,883,294,1138.0,1138.0,118.5,4.1,East_Asia
farm_0032,E,2040,589,1178,589,1138.0,1138.0,118.5,4.1,East_Asia
farm_0150,E,2030,572,686,114,1193.0,1193.0,127.5,4.3,Europe
farm_0150,E,2035,572,858,286,1193.0,1193.0,127.5,4.3,Europe
farm_0150,E,2040,572,1144,572,1193.0,1193.0,127.5,4.3,Europe
